minScore,power,consensusOSPA,consensusPos,consensusCard,localEOSPA,localRMSE,localCardErr,runtimeSeconds
0.000000,1.000000,1.861913807,1.513874446,0.238750000,2.411456765,1.667947736,0.643750000,50.354978085
0.000000,2.000000,1.861913807,1.513874446,0.238750000,2.411456765,1.667947736,0.643750000,50.287198067
0.000000,3.000000,1.882856183,1.500511807,0.237500000,2.427749940,1.669342677,0.645000000,50.229171038
0.400000,1.000000,1.857005092,1.499159864,0.232500000,2.412297928,1.665595149,0.652500000,50.436460018
0.400000,2.000000,1.857005092,1.499159864,0.232500000,2.412297928,1.665595149,0.652500000,50.326959133
0.400000,3.000000,1.875122923,1.499070316,0.240000000,2.413076735,1.667395737,0.652500000,51.304872036
0.600001,1.000000,1.860965076,1.471990894,0.233750000,2.414761654,1.665411917,0.658750000,50.278520823
0.600001,2.000000,1.860965076,1.471990894,0.233750000,2.414761654,1.665411917,0.658750000,50.063344002
0.600001,3.000000,1.857540691,1.472085825,0.235000000,2.412853106,1.665255309,0.655000000,50.017565012
0.850000,1.000000,1.878233818,1.439985829,0.240000000,2.414068497,1.664513229,0.660000000,50.280356884
0.850000,2.000000,1.878233818,1.439985829,0.240000000,2.414068497,1.664513229,0.660000000,51.356021166
0.850000,3.000000,1.878218300,1.439949773,0.240000000,2.414006430,1.664433185,0.660000000,50.220386982
