time,receiver,formation,birthTime,birthLocation,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,retained,selectedForOutput,mixtureUsed,fallbackReason
70,1,1,1,1,0.1346456979,-0.156478660464,0.533610661206,0.494541976167,1,0,1,
70,1,1,1,2,2.13808974993,-0.305849098966,0.894550552616,0.86202843581,1,1,0,
70,1,1,1,3,2.20050189916,-0.265390264965,0.900294572537,0.873814121814,1,1,0,
70,1,1,1,4,3.10845609322,-0.258099777916,0.957240206117,0.945337098253,1,1,1,
70,1,1,1,5,1.72519120161,-0.395500731545,0.848796288162,0.790789430297,1,1,0,
70,1,1,1,6,1.82440680255,-0.395684048803,0.861094068666,0.806702227994,1,1,0,
70,1,1,1,7,2.48258356584,-0.462361868935,0.922911808162,0.882903931111,1,1,0,
70,1,1,1,8,1.19852569091,-0.267833575791,0.768262408284,0.717215679548,1,1,0,
70,1,1,1,9,3.14154300382,-2.27373675443e-13,0.958574196301,0.958574196301,1,1,0,
70,1,1,1,10,-1.11799313082,-1.03911557982,0.246383726895,0.103668806952,1,0,1,
70,1,1,1,11,-4.02247716674,-0.998332808548,0.017593473926,0.00655591570808,0,0,1,
70,1,1,1,12,4.73747106746,2.48689957516e-14,0.991315310994,0.991315310994,1,1,0,
70,1,1,1,13,-3.60046935029,-2.90716735518,0.0265848449882,0.00148977884661,0,0,0,
70,1,1,1,14,-3.62659368883,-2.83195352649,0.0259170934771,0.00156461880549,0,0,0,
70,1,1,1,15,-3.55835595077,-2.78191551856,0.0276966614781,0.00176071775281,0,0,0,
70,1,1,1,16,-3.76864119589,-3.0147598605,0.0225625864323,0.00113113601006,0,0,0,
70,2,1,1,1,-1.88247325106,-0.0273644128971,0.132105049027,0.128999090854,1,0,1,
70,2,1,1,2,3.33793300056,-0.00766061253774,0.96570745624,0.965452855997,1,1,0,
70,2,1,1,3,3.36797905388,-0.00885180765534,0.966688674641,0.966402451023,1,1,0,
70,2,1,1,4,3.24021789067,-0.0197653393292,0.962320011048,0.961596730014,1,1,0,
70,2,1,1,5,1.69727255726,-0.0139378041112,0.845178179413,0.843345602621,1,1,0,
70,2,1,1,6,1.76825581282,-0.0156469891525,0.854240630236,0.85228154884,1,1,0,
70,2,1,1,7,2.4455466187,-0.0152442475768,0.920235173101,0.91910901621,1,1,0,
70,2,1,1,8,1.47502941247,-0.00208916474472,0.813820628618,0.813503877898,1,1,0,
70,2,1,1,10,-1.31406353308,-0.000121469874921,0.211807662435,0.211787384335,1,0,0,
70,2,1,1,11,-4.48115095608,-0.000938902932736,0.0111936599537,0.0111832726042,1,0,0,
70,2,1,1,13,-3.57962664072,-1.16987628473e-08,0.0271295697414,0.0271295694327,1,0,0,
70,2,1,1,14,-3.60208113354,-6.73019684427e-09,0.0265431669258,0.0265431667519,1,0,0,
70,2,1,1,15,-3.7985690277,-2.13704431928e-08,0.0219119182564,0.0219119177984,1,0,0,
70,2,1,1,16,-3.74992035434,-5.05543269469e-08,0.0229791579762,0.0229791568412,1,0,0,
70,3,1,1,1,-2.06331710116,-0.0599618648937,0.11271366271,0.106854732817,1,0,1,
70,3,1,1,2,3.02128779056,-0.0447938618254,0.953526625462,0.951500832496,1,1,0,powered-gm-normalizer-exceeds-one
