time,receiver,formation,networkPayloadLabelCount,localMapCount,scheduledIncoming,lostIncoming,emptyDeliveredIncoming,nonemptyReceivedIncoming,networkLabelsAbsentFromInputs,scheduledLabelCount,transportUnavailableLabels,inputUnionLabelCount,fusedLabelCount,retainedLabelCount,outputMapCount,weakBeforeEtaCount,etaCrossesHalfCount,preEtaExistenceMass,fusedExistenceMass,etaExistenceMassLoss,prunedExistenceMass,retainedNotOutputMass,mixtureUsedLabelCount,normalizerFallbackLabelCount,absentObservableSourceCount,maxExistenceIdentityError,medianNegativeLogEta,maxNegativeLogEta
70,1,1,16,7,2,0,0,2,0,16,0,16,16,11,9,6,1,9.00338846024,8.43939338236,0.563995077878,0.012502167123,0.59821078312,4,0,0,2.22044604925e-16,0.395592390174,3.0147598605
70,2,1,16,7,1,0,0,1,2,14,0,14,14,14,7,7,0,6.78186093761,6.77222564122,0.00963529639295,0,0.450533558617,1,0,0,2.22044604925e-16,0.00487488864123,0.0273644128971
70,3,1,16,7,1,0,0,1,2,14,0,14,14,14,7,7,0,6.96177968454,6.91292968035,0.048850004189,0,0.43155331193,1,5,0,2.22044604925e-16,0.0177321200471,0.313325894449
70,4,1,16,8,2,1,0,1,0,16,0,16,16,16,7,9,0,7.37346964311,7.20651884495,0.166950798159,0,0.636199191605,1,6,0,1.11022302463e-16,0.0283777647533,0.590753893311
70,5,1,16,8,1,0,0,1,0,16,0,16,16,16,7,8,0,7.62252191528,7.41321040998,0.209311505298,0,0.8192723351,1,6,0,2.77555756156e-17,0.00764326663196,0.835323148546
70,6,1,16,8,1,0,0,1,2,14,0,14,14,14,8,6,0,7.60818301858,7.4789080617,0.129274956879,0,0.310293163806,1,3,0,1.38777878078e-17,0.00496481530652,0.544093364988
70,7,2,16,5,2,1,0,1,0,16,0,16,16,16,6,9,2,6.0081519705,5.5796043772,0.428547593301,0,0.988770521398,2,3,0,2.22044604925e-16,0.0123901995444,0.565326522057
70,8,2,16,5,1,0,0,1,0,16,0,16,16,16,5,11,1,5.01514574814,4.86710014249,0.148045605656,0,1.21484470574,1,4,0,5.55111512313e-17,0.00854192046715,0.422898688973
70,9,2,16,5,1,0,0,1,0,16,0,16,16,16,5,12,0,5.26488658639,5.23402723346,0.0308593529306,0,1.23119163913,0,1,0,5.55111512313e-17,0.00822970866546,0.0790234244805
70,10,2,16,6,1,0,0,1,0,16,0,16,16,16,5,11,1,5.46125869802,5.40403552406,0.0572231739558,0,1.28777100452,0,0,0,5.55111512313e-17,0.00932675895589,0.0580925500486
70,11,2,16,7,1,0,0,1,0,16,0,16,16,16,6,9,0,6.00898306018,5.90563575989,0.103347300287,0,1.08342596551,0,0,0,2.22044604925e-16,0.00691379845053,0.204755222169
70,12,2,16,6,1,0,0,1,0,16,0,16,16,16,7,8,0,6.44585309109,6.42880119625,0.01705189484,0,0.738348458929,0,1,0,0,0.00329376188503,0.110864050353
70,13,3,16,5,2,0,0,2,0,16,0,16,16,16,5,11,0,5.26363648951,5.05243516665,0.211201322861,0,0.581580499361,0,7,0,1.11022302463e-16,0.180048027138,0.636738253438
70,14,3,16,5,1,0,0,1,0,16,0,16,16,16,5,11,0,5.19403990868,5.18979857491,0.00424133377605,0,0.534812198878,3,1,0,1.38777878078e-17,0.00159713931746,0.528163232614
70,15,3,16,5,1,0,0,1,0,16,0,16,16,16,5,11,0,5.18110091301,5.17415301984,0.00694789316854,0,0.465829870648,0,4,0,2.42861286637e-17,0.0048356189043,0.31940427326
70,16,3,16,5,2,0,0,2,0,16,0,16,16,9,5,11,0,5.12538814249,4.61961258355,0.505775558947,0.016268284483,0.0900675299481,1,4,0,1.04083408559e-17,0.87754629824,4.94615536306
70,17,3,16,5,1,0,0,1,0,16,0,16,16,16,5,11,0,5.11923817163,5.10970802294,0.00953014868638,0,0.488449410057,0,4,0,1.11022302463e-16,0.00157617444813,0.278897327441
70,18,3,16,5,1,0,0,1,1,15,0,15,15,15,5,10,0,5.07089921509,5.05629718965,0.0146020254424,0,0.536727987719,0,4,0,1.11022302463e-16,0.00078087816455,0.12843803635
