time,receiver,formation,birthTime,birthLocation,predictedExistence,localExistence,predictedMeanPd,localExistenceChange,localLogOddsChange,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,activeExistenceSourceCount,strongInputPresent,selectedForOutput,mixtureUsed,normalizerFallback
1,1,1,1,1,0.06,0.06,0,0,0,-2.60873632979952,-0.365370426039345,0.068578277041848,0.0486094471757336,3,0,0,0,1
1,1,1,1,2,0.06,0.06,0,0,0,-2.60884137962416,-0.374466354336647,0.0685715672572023,0.048185696433528,3,0,0,0,1
1,1,1,1,3,0.06,0.06,0,0,0,-2.61685893201188,-0.406537370883802,0.0680612580287308,0.0463800280642353,3,0,0,0,1
1,1,1,1,4,0.06,0.06,0,0,0,-2.63305986701189,-0.437247362567241,0.0670408133660825,0.0443488047657775,3,0,0,0,1
1,1,1,1,5,0.06,0.06,0,0,0,-2.75153531304195,-1.95399252334028e-14,0.06,0.0599999999999989,3,0,0,0,0
1,1,1,1,6,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,3,0,0,0,0
1,1,1,1,7,0.06,0.06,0,0,0,-2.75153531304195,-1.24344978758018e-14,0.06,0.0599999999999993,3,0,0,0,0
1,1,1,1,8,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,3,0,1,0,0
1,1,1,1,9,0.06,0.06,0,0,0,-2.75153531304195,-5.32907051820075e-15,0.06,0.0599999999999997,3,0,0,0,0
1,1,1,1,10,0.06,0.06,0,0,0,-2.75153531304195,-5.32907051820075e-15,0.06,0.0599999999999997,3,0,0,0,0
1,1,1,1,11,0.06,0.06,0,0,0,-2.75153531304195,-1.24344978758018e-14,0.06,0.0599999999999993,3,0,0,0,0
1,1,1,1,12,0.06,0.06,0,0,0,-2.75153531304195,-8.88178419700125e-15,0.06,0.0599999999999995,3,0,0,0,0
1,1,1,1,13,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,3,0,0,0,0
1,1,1,1,14,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,3,0,0,0,0
1,1,1,1,15,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,3,0,0,0,0
1,1,1,1,16,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,3,0,0,0,0
1,1,1,1,17,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,3,0,0,0,0
1,1,1,1,18,0.06,0.06,0,0,0,-2.75153531304195,-3.5527136788005e-15,0.06,0.0599999999999998,3,0,0,0,0
1,1,1,1,19,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,3,0,0,0,0
1,1,1,1,20,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,3,0,0,0,0
1,1,1,1,21,0.06,0.06,0,0,0,-2.75153531304195,-1.24344978758018e-14,0.06,0.0599999999999993,3,0,0,0,0
