time,labelFusionCount,uninformedWeightSum,noCurrentOpportunityWeightSum,negativeLogOddsMagnitude,uninformedNegativeMagnitude,weakBeforeSpatialCount,strongInputWeakPoolCount,strongWeakWithUninformedCount,allInputsUninformedCount,localLabelCount,localUninformedLabelCount,retainedLabelCount,retainedInformedLabelCount
1,864,746,746,2078.60734947778,2052.64534352932,774,0,0,709,864,746,864,155
2,864,709,742,2059.34458102189,1958.41663388794,751,13,11,673,864,709,864,191
3,864,673,742,2062.80673944078,1866.16532846413,744,29,29,637,864,673,864,227
4,864,635,741,2074.8746544793,1767.57351230346,744,15,14,598,864,635,863,265
5,864,598,742,2091.32437135008,1670.96069094305,743,32,28,540,863,598,862,322
6,864,533.4,741,2115.00814977347,1496.13920952759,742,20,15,478,862,539,864,386
7,864,480.947368421053,741.013157894737,2122.94569545546,1354.13890385018,741,16,1,449,864,478,864,415
8,864,449.147368421053,738,2137.82368579475,1269.38682500602,737,29,1,420,864,449,863,443
9,864,415.614035087719,735.9,2147.51690563931,1179.03761428453,733,27,0,371,863,418,864,493
10,864,374.094736842105,736,2180.19843479721,1065.23226835224,735,25,0,325,864,371,863,538
11,864,325,737.95,2197.89480482712,928.890103004007,734,21,0,291,863,325,864,573
12,864,291.947368421053,731.583333333333,2199.66967799893,837.523233218607,729,26,0,269,864,289,862,593
13,864,271.1,731.3,2212.52841190002,780.595906595241,726,25,1,241,862,269,861,620
14,864,238.947368421053,729.84649122807,2232.68904945502,690.552419369824,724,24,1,206,861,240,862,656
15,864,205,727.866666666667,2247.13292823296,594.619523568503,721,28,0,180,862,205,860,680
16,864,179.963157894737,724.9,2287.76706066319,523.905710722745,719,19,0,159,860,180,853,694
17,864,159,720.557017543859,2309.40209858164,464.562612805014,713,23,0,142,853,159,859,717
18,864,141.773684210526,718.40350877193,2313.92415336584,415.732332562513,711,25,0,121,859,141,856,735
19,864,120.3,719.3,2349.58459516194,354.036754065665,709,28,0,109,856,121,851,742
20,863,109.086842105263,717.270175438596,2371.45988546123,322.190847237459,705,24,1,97,851,109,851,754
21,863,97.0868421052632,715.95350877193,2399.60915819508,287.774910995951,705,20,1,87,851,97,853,766
22,864,89.8,713.166666666667,2432.77980691381,267.124848440504,707,29,0,82,853,87,850,768
23,863,78.45,706.29649122807,2445.94940432478,234.190908139243,701,22,0,73,850,82,845,772
24,862,73,702.266666666666,2462.52946437938,218.69198214647,703,33,0,65,845,73,842,777
25,858,64.95,700.433333333333,2462.85945000348,195.261183128606,697,21,0,61,842,65,831,770
26,858,61,698.616666666666,2467.96634078423,184.029418087847,694,25,0,55,831,61,837,782
27,857,55,697.666666666667,2474.50616786388,166.50785039282,687,29,0,48,837,55,835,787
28,860,48.0368421052632,701.873684210526,2481.6983659522,145.933528652245,683,23,0,42,835,48,826,784
29,856,42,694.820175438597,2463.69354226598,128.036144815833,677,24,0,37,826,42,830,793
30,857,37,695.833333333333,2463.30962010527,113.183154352707,676,30,0,32,830,37,820,788
31,856,32,690.14649122807,2458.66562849152,98.224759729488,670,19,0,27,820,32,823,796
32,858,27,687.720175438596,2449.50394158609,83.1610368613015,666,27,0,22,823,27,818,796
33,860,22,692.064035087719,2462.00750333799,67.9920605643211,669,25,0,19,818,22,817,798
34,856,19,683.723684210526,2436.08700675593,58.9200109921531,663,27,0,16,817,19,813,797
35,853,16,677.566666666666,2413.31239008498,49.7848554008019,656,31,0,12,813,16,817,805
36,854,12,678.370175438596,2399.77435221007,37.4645881981374,649,23,0,8,817,12,802,794
37,853,8,674.60350877193,2374.48309211537,25.0603193849779,644,15,0,6,802,8,822,816
38,853,6,679.120175438597,2370.2348104612,18.8581573974501,644,25,0,4,822,6,813,809
39,853,5.4,677.933333333333,2365.21540143283,17.0289431773443,645,27,0,4,813,4,814,810
40,851,4,679.416666666667,2342.91107210484,12.6559410446484,645,20,0,2,814,4,811,809
