sensor,formation,reference_eospa,candidate_eospa,reference_conditional_rmse,candidate_conditional_rmse
1,1,146.843904672,138.758948094,2.75465554481,16.2036438724
2,1,146.841751556,143.637595984,1.006521093e-13,8.25241612165
3,1,146.841751556,146.841751556,7.28037097363e-14,7.28037097363e-14
4,1,146.842954709,145.229427092,2.05917242749,1.6175604645
5,1,145.231806682,145.231806682,4.36747375401,4.36747375401
6,1,143.620797569,143.620117942,4.70497143644,4.50280117707
7,2,135.340558441,135.340558441,14.4689074685,14.4689074685
8,2,136.960959483,133.407581376,11.2178267433,12.6815382253
9,2,138.66796504,138.66796504,9.37609313714,9.37609313714
10,2,140.339515285,140.339515285,11.2846181199,11.2846181199
11,2,138.747042416,138.740810621,15.4339146078,15.1003367565
12,2,136.985266221,136.985326645,12.9540149888,12.957425537
13,3,137.08267033,126.469182058,15.7573678686,13.9609701948
14,3,140.361473278,135.050915692,14.6340902906,14.2221645715
15,3,138.568859961,136.937295427,8.20429951465,9.33648565433
16,3,140.352092138,129.974645966,14.2052948148,11.3981717138
17,3,138.746718613,133.603428964,14.1127654843,15.786601907
18,3,137.194457458,137.194457458,20.5312577873,20.5312577873
19,4,137.064465795,128.2149772,14.7815271346,11.5103778684
20,4,137.051942576,131.742678373,14.1200610203,13.4294550998
21,4,138.676353059,138.676353059,10.3055299921,10.3055299921
22,4,138.735742466,133.65914118,14.2617068022,15.8224279869
23,4,137.020960896,137.022498302,14.8960594184,13.4315544179
24,4,142.039651838,140.3965488,14.1873467217,13.7049492608
25,5,140.338494376,130.04211233,11.9008643062,14.09577511
26,5,135.34731674,131.789539228,15.8194240324,15.9382451866
27,5,137.02958703,137.02958703,15.3740940658,15.3740940658
28,5,140.338641276,130.023139668,11.1328224889,13.180655279
29,5,140.37105241,135.3396754,11.5003776804,14.820240067
30,5,140.324602027,138.736857148,10.163346713,15.5771465494
31,6,137.08710093,137.08710093,15.9981983751,15.9981983751
32,6,137.121711474,137.121711474,18.4451669651,18.4451669651
33,6,138.753377739,137.115505241,15.4463322601,17.4343622983
34,6,140.380185439,130.101309786,12.3570312802,14.3550261709
35,6,138.712476096,131.760567533,13.1083538213,13.8601746151
36,6,137.140341359,137.140341359,16.0789100758,16.0789100758
