sensor,step,reference_count,candidate_count,common_count,added_count,lost_count,common_reference_squared_error,common_candidate_squared_error,added_squared_error,lost_squared_error
1,1,1,3,0,3,1,0,0,817.228462138967,4.03896783473158e-27
1,2,1,4,1,3,0,30.3525086822182,160.586998636691,850.965365261041,0
1,3,2,4,2,2,0,116.241012937669,145.692332302248,646.756683059775,0
1,4,2,4,1,3,1,256.160360510335,202.878055518489,457.888875976521,0.327991901240301
1,5,2,4,1,3,1,252.438057236271,252.671944101529,473.859286995639,1.00114256644618
1,6,2,4,2,2,0,342.498971999849,483.363253507001,428.058810987858,0
1,7,3,7,3,4,0,147.890636584757,317.489461108526,1886.32197958017,0
1,8,3,7,3,4,0,220.494508565797,201.618650227713,2219.09510400432,0
1,9,3,7,3,4,0,258.43327378062,211.671397499613,2586.66551204205,0
1,10,2,8,2,6,0,147.184295866422,168.56709205814,2570.8058960827,0
1,11,4,9,4,5,0,250.413386855574,368.585439842492,2515.40214943112,0
1,12,4,10,4,6,0,239.234147697211,196.876089583352,2452.19150097311,0
1,13,5,10,4,6,1,378.76901293988,320.100883713493,2445.79210728893,49.7246058324609
1,14,6,13,5,8,1,340.953682639868,205.813864628433,3213.98080500232,54.2369460589955
1,15,7,12,6,6,1,285.434047375972,292.564038732875,3478.52387246322,243.994996334645
1,16,6,12,4,8,2,341.739998351073,550.046782174893,3869.35175421295,190.024875092352
1,17,7,12,6,6,1,244.456353565978,300.551617430535,3502.98311290501,604.123434456279
1,18,7,12,6,6,1,342.200087988482,522.395816372207,3874.83864623568,267.287477374041
1,19,7,15,7,8,0,1282.88418011734,946.41595322581,3501.95655122509,0
1,20,6,14,6,8,0,949.641997612468,395.345442274428,2923.69394982983,0
1,21,6,14,5,9,1,88.3048859529074,184.903304895463,2323.30889094308,23.5935690256407
1,22,7,14,6,8,1,298.427218956634,408.380990472802,1941.34897430764,32.7336965193663
1,23,7,14,7,7,0,538.004909908555,960.893392001193,1531.73005035833,0
1,24,8,14,7,7,1,204.703665773979,572.169634057304,852.341284090417,276.372359378238
1,25,8,14,7,7,1,779.093742753471,1462.14809932126,884.031501711859,123.17762313896
1,26,7,13,7,6,0,785.725796623671,1137.75509378254,689.547491908409,0
1,27,8,14,7,7,1,821.250259019218,1090.03204904439,997.844266665175,787.484227482939
1,28,8,15,8,7,0,748.152423792862,648.110866886783,1072.86330026447,0
1,29,8,15,8,7,0,171.477033069834,171.94903018229,1187.90761967931,0
1,30,8,15,8,7,0,242.154756813879,336.86699998309,1312.85620558911,0
1,31,8,14,8,6,0,758.057672202363,507.042538342384,955.613723083886,0
1,32,8,13,7,6,1,532.63952557838,158.954366963597,959.71254121995,176.828624702835
1,33,8,14,7,7,1,430.494188344494,241.879439168442,1451.26397051553,45.0048922643509
1,34,8,14,7,7,1,446.905183744709,371.443025021655,1692.54129841026,351.436851461649
1,35,8,14,8,6,0,870.169152259243,965.48958133659,975.239951602338,0
1,36,8,14,8,6,0,499.672906734396,366.021864141092,977.374130185321,0
1,37,8,14,8,6,0,278.31714544807,682.233202495213,982.310338216003,0
1,38,8,13,8,5,0,528.417329762628,1193.36229224605,762.591053012224,0
1,39,8,13,8,5,0,586.260297901428,1077.84723462692,763.526562459539,0
1,40,8,14,8,6,0,999.734392198365,1125.17338047617,999.550183238062,0
2,1,1,1,1,0,0,8.07793566946316e-28,8.07793566946316e-28,0,0
2,2,1,3,0,3,1,0,0,817.228462138971,2.98883619770137e-26
2,3,1,3,0,3,1,0,0,199.072864949807,34.940926295282
2,4,2,4,2,2,0,57.0777315543216,152.11484899088,649.027209404779,0
2,5,2,4,1,3,1,288.647732048101,197.63202451182,501.728048231579,1.0011425664462
2,6,2,4,1,3,1,314.05148581617,336.44728149949,489.944812067451,1.17250914754604
2,7,2,4,1,3,1,150.285479720066,156.860011437679,1182.04630770178,31.9209583752948
2,8,3,7,3,4,0,262.786509366977,409.355694254971,2556.29299678962,0
2,9,3,7,3,4,0,399.756666984276,553.240240995754,3063.16671098386,0
2,10,3,7,2,5,1,287.130808012693,179.026479231231,3901.38172465045,121.281568934212
2,11,3,9,2,7,1,170.286469575349,143.07754331814,4523.32422869243,102.250664951072
2,12,4,9,4,5,0,82.8120436333753,404.224784785093,2996.78938805377,0
2,13,5,10,4,6,1,393.205626384273,267.368195973171,2595.2395156028,66.604256471172
2,14,5,10,4,6,1,283.374124267416,159.871414733331,2804.41235658504,80.4355528382038
2,15,6,13,6,7,0,626.6873135469,375.605503257752,3125.19908752115,0
2,16,6,12,4,8,2,200.506268456742,137.946919878455,4078.75407854329,200.57785115623
2,17,7,13,6,7,1,463.258112873382,529.856482034318,4353.82951814104,135.364390394343
2,18,7,13,7,6,0,299.847116776875,606.622775988307,4047.8904745593,0
2,19,8,14,8,6,0,435.111146345153,567.969803206041,4378.7008392079,0
2,20,7,15,7,8,0,976.872131936826,1071.94066132169,4155.06768751987,0
