sensor,formation,reference_eospa,candidate_eospa,reference_conditional_rmse,candidate_conditional_rmse
1,1,130.155736095,108.652734091,8.79270362178,14.1338960689
2,1,130.684114836,109.952188807,8.44663976773,14.3930267369
3,1,131.467171963,111.466237712,8.97151205447,15.1998256604
4,1,132.002950657,113.695774325,9.79068085491,15.124258072
5,1,131.533322924,114.345137211,9.84037275241,16.3957014307
6,1,130.807964873,109.16867156,8.08288735174,12.9353642585
7,2,134.035989815,113.133495589,7.340666321,12.0317986432
8,2,134.473340402,111.225225877,6.34915472668,11.162855356
9,2,134.476846914,111.749769465,7.19374347797,10.8920137899
10,2,133.50161381,111.039833307,7.95802876086,11.2845354993
11,2,132.977300232,110.995026633,8.04435047484,11.8871185483
12,2,133.506840333,111.700223398,7.25288522771,11.5641835575
13,3,135.937467829,113.192489335,8.33539794318,14.3118230944
14,3,136.274108673,114.032474698,8.10263173814,15.0291630293
15,3,136.623600946,114.533890022,8.57335105479,15.9587432099
16,3,136.959042427,113.898792911,8.31474630281,12.2572444424
17,3,136.71035218,114.417210573,8.14261194666,13.0064275677
18,3,136.286272844,114.483193193,8.16345796448,13.7889848421
19,4,136.64878523,120.458790769,9.72834376061,24.3289293392
20,4,136.971918707,120.500895035,8.62007135978,26.7458767335
21,4,136.627213865,120.680787326,8.14168425814,27.6614260442
22,4,136.613986054,119.680831075,7.72005829044,19.8105802154
23,4,136.615032134,119.914809986,7.88761212655,20.5242172638
24,4,136.977405393,120.934493148,9.18695104309,20.6168396668
25,5,137.370604974,123.301469141,8.26825706984,34.39920575
26,5,137.218191314,123.761281017,8.74165621216,35.4571559908
27,5,136.792923398,124.052047698,8.80164693616,35.5168546369
28,5,137.196640485,122.197341196,7.59673881754,32.4483896827
29,5,137.376133278,122.420471636,7.78330285305,33.2500585701
30,5,137.719448351,123.182187988,7.96521802651,34.1218196384
31,6,135.602502965,122.410021976,9.52406978906,36.0654788694
32,6,135.954829276,123.013560926,9.23620240836,35.9021028766
33,6,135.786173871,123.284289661,9.25104339248,35.4019817232
34,6,135.578797354,121.062557111,8.67103105372,36.2125890139
35,6,135.417083721,121.538614247,9.0290998846,36.4530957404
36,6,135.59936766,122.136311865,9.46261960396,36.6371398518
