formation,lag,pool,query_count,peer_coverage,receiver_pooled_rmse,oracle_pooled_rmse,min_trace_pooled_rmse,oracle_improving_fraction,min_trace_switch_fraction,min_trace_improving_fraction,min_trace_worsening_fraction
0,0,1,7850,0.999872611465,34.7309946979,11.1048424203,27.303867645,0.939108280255,0.997452229299,0.530955414013,0.466369426752
0,0,2,7850,0.966751592357,34.7309946979,33.1498388769,33.9941085537,0.703821656051,0.75898089172,0.437197452229,0.309171974522
0,0,3,7850,0.917452229299,34.7309946979,33.9075311255,34.3646695362,0.51949044586,0.720636942675,0.423439490446,0.28
0,0,4,7850,0.894649681529,34.7309946979,33.9638493669,34.386050783,0.502038216561,0.695159235669,0.409171974522,0.268662420382
0,0,5,7850,0.997452229299,34.7309946979,29.6557287659,32.897696516,0.865732484076,0.952484076433,0.507898089172,0.441401273885
0,1,1,7818,0.999744180097,34.7866399086,11.0830940021,28.0396283897,0.943719621387,0.992581222819,0.501534919417,0.490918393451
0,1,2,7818,0.970069071374,34.7866399086,33.5048597411,34.3094111677,0.72384241494,0.789076490151,0.447301100026,0.32015860834
0,1,3,7818,0.963801483755,34.7866399086,34.3357512518,34.6177153132,0.517139933487,0.735865950371,0.415323612177,0.277308774623
0,1,4,7818,0.941033512407,34.7866399086,34.3800862213,34.6331185912,0.499744180097,0.709260680481,0.401637247378,0.265029419289
0,1,5,7818,0.998720900486,34.7866399086,29.9786353948,33.5902790194,0.876055257099,0.964057303658,0.498337170632,0.460731644922
1,0,1,1315,1,19.4941560197,7.47668542034,23.2508434,0.930038022814,0.995437262357,0.377186311787,0.617490494297
1,0,2,1315,0.973384030418,19.4941560197,16.3371941847,17.6341861233,0.730038022814,0.782509505703,0.416730038023,0.346768060837
1,0,3,1315,0.93536121673,19.4941560197,17.9257516012,18.4579376822,0.507984790875,0.714068441065,0.395437262357,0.298098859316
1,0,4,1315,0.912547528517,19.4941560197,18.0095804322,18.5292283945,0.488212927757,0.692775665399,0.38174904943,0.290494296578
1,0,5,1315,0.994676806084,19.4941560197,11.5238016087,14.7433693304,0.847148288973,0.960456273764,0.447908745247,0.511787072243
1,1,1,1312,0.999237804878,19.5004662608,7.29416636022,24.0430207155,0.942073170732,0.988567073171,0.354420731707,0.633384146341
1,1,2,1312,0.971036585366,19.5004662608,16.8064886757,17.9202847458,0.756859756098,0.788109756098,0.426829268293,0.332317073171
1,1,3,1312,0.96493902439,19.5004662608,18.6893151181,18.9598914623,0.488567073171,0.694359756098,0.368140243902,0.286585365854
1,1,4,1312,0.942073170732,19.5004662608,18.7402691857,19.0032442951,0.469512195122,0.671493902439,0.354420731707,0.27743902439
1,1,5,1312,0.996951219512,19.5004662608,11.3855604881,14.7467493352,0.866615853659,0.966463414634,0.452743902439,0.509146341463
2,0,1,1474,0.999321573948,13.3496943873,6.9845466897,19.935894181,0.94369063772,0.999321573948,0.381275440977,0.618046132972
2,0,2,1474,0.974898236092,13.3496943873,12.1396820467,13.0612563702,0.714382632293,0.77408412483,0.44776119403,0.301221166893
2,0,3,1474,0.930122116689,13.3496943873,12.650485566,13.1207844076,0.523066485753,0.72591587517,0.417910447761,0.285617367707
2,0,4,1474,0.909769335142,13.3496943873,12.7302678764,13.1707999603,0.510176390773,0.706241519674,0.407734056988,0.276119402985
2,0,5,1474,0.999321573948,13.3496943873,10.430155415,13.8914168539,0.886702849389,0.955902306649,0.510854816825,0.441655359566
2,1,1,1474,0.999321573948,13.3496943873,6.86724235186,20.9156094721,0.94369063772,0.993894165536,0.34328358209,0.650610583446
2,1,2,1474,0.972862957938,13.3496943873,12.2203726637,13.0926502531,0.736770691995,0.803256445047,0.44776119403,0.31750339213
2,1,3,1474,0.966757123474,13.3496943873,13.0296793976,13.3800624494,0.516282225237,0.745590230665,0.407734056988,0.284938941655
2,1,4,1474,0.944369063772,13.3496943873,13.0898830027,13.4124533305,0.498643147897,0.722523744912,0.39552238806,0.276119402985
2,1,5,1474,0.999321573948,13.3496943873,10.5463509325,14.2714388403,0.878561736771,0.971506105834,0.493215739484,0.471506105834
3,0,1,1541,1,16.6372721424,5.58318132684,16.6873843654,0.94289422453,0.999351070733,0.512654120701,0.486696950032
3,0,2,1541,0.957819597664,16.6372721424,13.5887348339,15.5410655871,0.684620376379,0.74756651525,0.484750162232,0.249837767683
3,0,3,1541,0.903958468527,16.6372721424,15.2113457429,15.9841058659,0.551589876703,0.710577547047,0.467878001298,0.221284879948
3,0,4,1541,0.879948085659,16.6372721424,15.3638472624,16.0126035712,0.529526281635,0.677482154445,0.449059052563,0.206359506814
3,0,5,1541,0.9961064244,16.6372721424,9.16050322339,16.419346423,0.868267358858,0.943543153796,0.513303049968,0.425048669695
3,1,1,1533,1,16.6533536601,5.69669419238,17.8749411274,0.950424005219,0.998043052838,0.478147423353,0.519895629485
3,1,2,1533,0.966731898239,16.6533536601,14.0749376566,16.0709340396,0.712981082844,0.785388127854,0.502283105023,0.258969341161
3,1,3,1533,0.958251793868,16.6533536601,15.9601616161,16.4235771189,0.558382257012,0.739073711676,0.476842791911,0.218525766471
3,1,4,1533,0.936725375082,16.6533536601,16.1136133633,16.4787478493,0.531637312459,0.705153294194,0.455316373125,0.205479452055
3,1,5,1533,0.998043052838,16.6533536601,9.34785879487,17.2422002602,0.885844748858,0.958904109589,0.503587736464,0.448793215917
4,0,1,1156,1,32.8194684991,9.853677417,20.1542387229,0.920415224913,0.997404844291,0.545847750865,0.451557093426
4,0,2,1156,0.961937716263,32.8194684991,30.3484446258,31.3912970211,0.652249134948,0.726643598616,0.415224913495,0.298442906574
4,0,3,1156,0.89446366782,32.8194684991,31.5303337167,32.1515450171,0.481833910035,0.686851211073,0.404844290657,0.256055363322
