formation,pool,query_count,receiver_pooled_rmse,oracle_pooled_rmse,min_component_trace_pooled_rmse,min_full_risk_pooled_rmse,component_worsening_fraction,full_risk_worsening_fraction,full_risk_switching_fraction
0,1,139,72.3382829789,28.9364731996,66.0958748761,65.2236462399,0.302158273381,0.302158273381,1
0,2,139,72.3382829789,69.4478222637,70.0065041703,69.996700883,0.294964028777,0.294964028777,0.798561151079
0,3,139,72.3382829789,71.1956728579,71.3273325798,71.3274995344,0.258992805755,0.258992805755,0.719424460432
0,4,139,72.3382829789,71.2240331859,71.3488036081,71.3489705124,0.237410071942,0.237410071942,0.697841726619
0,5,139,72.3382829789,63.1221345035,65.1030810905,65.1030810905,0.330935251799,0.330935251799,0.877697841727
1,1,31,11.7336384355,8.42154687814,31.5086792108,31.5086792108,0.645161290323,0.645161290323,1
1,2,31,11.7336384355,11.6211680838,11.7545277266,11.7545277266,0.41935483871,0.41935483871,0.806451612903
1,3,31,11.7336384355,11.66904463,11.7541103912,11.7541103912,0.354838709677,0.354838709677,0.774193548387
1,4,31,11.7336384355,11.66904463,11.7541103912,11.7541103912,0.354838709677,0.354838709677,0.774193548387
1,5,31,11.7336384355,10.7276029979,12.6652252992,12.6652252992,0.612903225806,0.612903225806,0.935483870968
2,1,27,15.4281767675,7.99066125006,14.9276431414,14.9276431414,0.259259259259,0.259259259259,1
2,2,27,15.4281767675,15.2044456622,15.8882788386,15.6643421224,0.259259259259,0.259259259259,0.814814814815
2,3,27,15.4281767675,14.9198238705,15.0322194568,15.0362972377,0.185185185185,0.185185185185,0.481481481481
2,4,27,15.4281767675,15.3839528143,15.4251377291,15.4291116656,0.148148148148,0.148148148148,0.481481481481
2,5,27,15.4281767675,13.3338318838,14.2697460342,14.2697460342,0.333333333333,0.333333333333,0.814814814815
3,1,19,16.6887472207,3.33662992553,6.78540244051,6.0001531742,0.368421052632,0.368421052632,1
3,2,19,16.6887472207,12.5702794614,13.0123452956,13.0123452956,0.210526315789,0.210526315789,0.736842105263
3,3,19,16.6887472207,16.3775320742,16.4674499023,16.4674499023,0.157894736842,0.157894736842,0.631578947368
3,4,19,16.6887472207,16.3775320742,16.4674499023,16.4674499023,0.157894736842,0.157894736842,0.631578947368
3,5,19,16.6887472207,10.4588151947,11.2509890149,11.2509890149,0.210526315789,0.210526315789,0.736842105263
4,1,14,88.6633626715,21.4962762045,31.1643234566,26.5358004749,0,0,1
4,2,14,88.6633626715,68.7494020933,68.7507599504,68.7507599504,0.0714285714286,0.0714285714286,0.785714285714
4,3,14,88.6633626715,82.974560396,83.048597997,83.048597997,0.0714285714286,0.0714285714286,0.785714285714
4,4,14,88.6633626715,82.974560396,83.048597997,83.048597997,0.0714285714286,0.0714285714286,0.785714285714
4,5,14,88.6633626715,55.3292075319,55.3308947305,55.3308947305,0.0714285714286,0.0714285714286,0.857142857143
5,1,20,106.535292883,38.8207323573,78.1368298097,76.9312532586,0.1,0.1,1
5,2,20,106.535292883,104.652884042,106.522644237,106.522644237,0.35,0.35,0.8
5,3,20,106.535292883,105.0828871,105.421837131,105.421837131,0.2,0.2,0.75
5,4,20,106.535292883,105.0828871,105.421837131,105.421837131,0.2,0.2,0.75
5,5,20,106.535292883,87.5922724693,89.7180108239,89.7180108239,0.1,0.1,0.9
6,1,28,115.623210207,51.9763240399,124.480645152,123.291109269,0.214285714286,0.214285714286,1
6,2,28,115.623210207,115.225121499,115.541522599,115.541522599,0.321428571429,0.321428571429,0.821428571429
6,3,28,115.623210207,115.264249054,115.388182531,115.388182531,0.428571428571,0.428571428571,0.892857142857
6,4,28,115.623210207,115.292392039,115.404074568,115.404074568,0.357142857143,0.357142857143,0.785714285714
6,5,28,115.623210207,111.335927076,115.328097707,115.328097707,0.392857142857,0.392857142857,0.964285714286
