arm,start,end,pool,label_pairs,assignment_disagreement,nearest_disagreement,mean_disagreeing_truth_separation
1,1,40,1,22491,0.347294473345,0.405584456005,20.4081423633
1,1,40,2,6341,0.246806497398,0.282447563476,19.6447284345
1,1,5,1,1808,0.440265486726,0.48064159292,23.4949748744
1,1,5,2,567,0.403880070547,0.405643738977,22.0873362445
1,6,20,1,6659,0.447514641838,0.471241928217,20.8026845638
1,6,20,2,2051,0.317406143345,0.335446123842,19.6313364055
1,21,40,1,14024,0.287721049629,0.364731888192,19.5078066914
1,21,40,2,3723,0.183991404781,0.234488315874,18.8408759124
2,1,40,1,124196,0.472342104416,0.426785081645,25.796081656
2,1,40,2,13981,0.208568771905,0.177598168944,21.6297269725
2,1,5,1,5109,0.423370522607,0.482677627716,23.2676837725
2,1,5,2,1019,0.375858684985,0.334641805692,22.182767624
2,6,20,1,52422,0.467265651826,0.494086452253,22.6559706062
2,6,20,2,5559,0.254182406908,0.217485159201,20.4076433121
2,21,40,1,66665,0.480087002175,0.369579239481,28.3702402184
2,21,40,2,7403,0.15129001756,0.126029987843,22.9823962964
