birth_stratum,lag,pool,queries,receiver_pooled_rmse,original_oracle_pooled_rmse,assignment_coherent_oracle_pooled_rmse,nearest_coherent_oracle_pooled_rmse,original_peer_coverage,assignment_coherent_peer_coverage,nearest_coherent_peer_coverage
-1,0,1,7850,34.7309946979,11.1048424203,22.5355988224,21.1124901856,0.999872611465,0.988789808917,0.85974522293
-1,0,4,7850,34.7309946979,33.9638493669,34.1857494371,34.2952249938,0.894649681529,0.778089171975,0.465987261146
-1,0,5,7850,34.7309946979,29.6557287659,31.6914520909,31.9985987677,0.997452229299,0.975796178344,0.672866242038
-1,1,1,7818,34.7866399086,11.0830940021,22.349590868,21.1799094789,0.999744180097,0.987592734715,0.862113072397
-1,1,4,7818,34.7866399086,34.3800862213,34.5329533945,34.5488435555,0.941033512407,0.856996674341,0.512535175237
-1,1,5,7818,34.7866399086,29.9786353948,32.0216461343,32.1998180232,0.998720900486,0.9771041187,0.67613200307
0,0,1,2188,44.4695756622,16.4221195707,28.8559968502,26.2162762784,1,0.962979890311,0.896252285192
0,0,4,2188,44.4695756622,43.6047441459,43.8875504055,44.1350715766,0.836380255941,0.584552102377,0.434186471664
0,0,5,2188,44.4695756622,39.6608851877,41.3961644705,42.6254468956,0.994972577697,0.92550274223,0.735374771481
0,1,1,2184,44.5017062696,16.4651745169,28.534766416,26.5943174235,0.999542124542,0.958791208791,0.889652014652
0,1,4,2184,44.5017062696,44.1354638942,44.2782835478,44.3489651864,0.920787545788,0.706501831502,0.520146520147
0,1,5,2184,44.5017062696,39.8358752478,41.852446046,42.7335557078,0.996794871795,0.926282051282,0.741758241758
1,0,1,5662,30.136083705,8.17040324931,19.5533350054,18.7720902672,0.999823383963,0.998763687743,0.845637583893
1,0,4,5662,30.136083705,29.4033070065,29.5966041369,29.6299446319,0.917167078771,0.852878841399,0.478276227481
1,0,5,5662,30.136083705,24.7277142816,27.0231634668,26.7854354681,0.998410455669,0.995231367008,0.648710702932
1,1,1,5634,30.1912163867,8.08454076471,19.4293788127,18.6632363469,0.999822506212,0.998757543486,0.851437699681
1,1,4,5634,30.1912163867,29.750176329,29.9131461657,29.8980136633,0.948881789137,0.915335463259,0.509584664537
1,1,5,5634,30.1912163867,25.1385896104,27.2738139261,27.0341987616,0.999467518637,0.996805111821,0.650692225772
