separation_in_sigma,eta,kla_r,mil_r
0.0,1.0,0.8,0.8
0.01,0.9999875000781246,0.7999979999925,0.8
0.02,0.9999500012499791,0.7999919998799999,0.8
0.03,0.9998875063278877,0.7999819993924986,0.8
0.04,0.9998000199986667,0.7999679980799915,0.8
0.05,0.9996875488230391,0.7999499953124676,0.8
0.06,0.9995501012348142,0.799927990279903,0.8
0.07,0.9993876875398336,0.7999019819922555,0.8
0.08,0.9992003199146837,0.7998719692794554,0.8
0.09,0.9989880124051737,0.7998379507913967,0.8
0.1,0.9987507809245809,0.7997999249979257,0.8
0.11,0.998488643251663,0.7997578901888286,0.8
0.12,0.9982016190284373,0.7997118444738179,0.8
0.13,0.9978897297577276,0.7996617857825176,0.8
0.14,0.9975529988004797,0.7996077118644462,0.8
0.15,0.9971914513728449,0.799549620289,0.8
0.16,0.9968051145430329,0.7994875084454337,0.8
0.17,0.9963940172279344,0.7994213735428408,0.8
0.18,0.9959581901895135,0.7993512126101324,0.8
0.19,0.9954976660309716,0.7992770224960155,0.8
0.2,0.9950124791926823,0.7991987998689697,0.8
0.21,0.9945026659478988,0.7991165412172238,0.8
0.22,0.9939682643982343,0.79903024284873,0.8
0.23,0.9934093144689159,0.79893990089114,0.8
0.24,0.9928258579038134,0.7988455112917772,0.8
0.25,0.9922179382602435,0.798747069817611,0.8
0.26,0.9915856009035505,0.7986445720552291,0.8
0.27,0.9909288930014639,0.7985380134108095,0.8
0.28,0.9902478635182347,0.7984273891100927,0.8
0.29,0.9895425632085508,0.7983126941983533,0.8
0.3,0.9888130446112331,0.7981939235403713,0.8
0.31,0.9880593620427125,0.7980710718204035,0.8
0.32,0.9872815715902905,0.7979441335421553,0.8
0.33,0.9864797311051822,0.797813103028752,0.8
0.34,0.9856539001953453,0.7976779744227107,0.8
0.35000000000000003,0.9848041402180955,0.797538741685913,0.8
0.36,0.9839305142725083,0.7973953985995774,0.8
0.37,0.9830330871916111,0.7972479387642334,0.8
0.38,0.9821119255343637,0.7970963555996947,0.8
0.39,0.9811670975774323,0.7969406423450358,0.8
0.4,0.9801986733067553,0.7967807920585674,0.8
