time,label_stages,mean_abs_pd_difference,p95_abs_pd_difference,maximum_abs_pd_difference,abs_pd_difference_ge_005_count,mean_zero_pd_count,mean_zero_density_pd_ge_005_count,high_r_count,high_r_abs_pd_difference_ge_005_count,mean_abs_miss_r_difference,maximum_abs_miss_r_difference,mean_miss_position_difference_m,p95_miss_position_difference_m,mean_abs_quadrature_difference,maximum_abs_quadrature_difference,existence_weighted_abs_pd_difference
1,864,0.0305984160245,0.183015110061,0.333744485571,163,746,59,0,0,0.00181160384957,0.0199590592841,3.18341282067,18.1535339212,0.000282940237762,0.00335985255037,0.0305984160245
2,864,0.0130370318355,0.0740708118503,0.301746370791,75,742,52,80,8,0.00197066625729,0.103572210163,1.12455585848,5.70277654935,0.000186968819122,0.00290959933236,0.0156013481103
3,864,0.0132275488788,0.0801274701125,0.303893466262,72,742,45,110,21,0.00240548922498,0.0994575538991,1.20258795469,6.39629030832,0.000202672996383,0.0024866557238,0.0198534953258
4,864,0.0144921014777,0.0925618839396,0.345625497796,79,741,55,115,23,0.0019321579161,0.114367174006,1.28475772956,7.19561430702,0.000186660303154,0.00250164575697,0.0236616439821
5,863,0.0155501759915,0.0967913032942,0.311172202735,82,742,63,114,20,0.00189991651561,0.108560919047,1.43177161112,7.8924445147,0.0001996303397,0.00262747195333,0.0254544920262
6,862,0.0172579536701,0.105538288555,0.375640691095,97,741,75,113,22,0.00198866871786,0.11665044462,1.6293470612,8.74172994564,0.000205764829525,0.00250200152643,0.0244633505958
7,864,0.0195554124966,0.119827204955,0.354248082374,105,741,81,110,24,0.00220831655358,0.100142475097,1.91447281934,11.1716169235,0.000227209601084,0.0037699901754,0.0258716560964
8,864,0.0214495885323,0.134722096585,0.376558414371,113,738,90,110,18,0.00182869079902,0.0915386406904,2.15444735048,13.3708505858,0.000235867579724,0.00244152687362,0.0260502425282
9,863,0.0227881306984,0.146702713782,0.382570045676,117,735,92,120,20,0.00167162474361,0.0658747751374,2.34002955229,14.4333088506,0.000248451499921,0.0024052698832,0.0269040702515
10,864,0.0228499462466,0.138091760307,0.323522061401,123,736,103,122,23,0.00192500959237,0.102237124707,2.49969193963,15.5669862993,0.00026200083769,0.00298807501134,0.0287883184561
11,863,0.0235324875607,0.149671449004,0.335974487476,130,738,112,120,20,0.0015530096216,0.0954647768683,2.70403169494,16.89927792,0.000248800218177,0.00339095181648,0.0289424323387
12,864,0.0229946942961,0.14386802413,0.398503315659,120,731,99,123,19,0.00155756074974,0.0647796643286,2.77392739966,17.7923012672,0.000247608950359,0.00205024540737,0.0243605185354
13,862,0.0231927261028,0.152263522885,0.358041870841,113,732,94,129,20,0.00199005774916,0.142434917693,2.87329705139,18.3221732645,0.000286725079999,0.00397809495412,0.0273063128671
14,861,0.0231568156115,0.151333318653,0.4214749403,117,728,94,133,21,0.00196447244474,0.112286057083,2.94992341824,19.603464628,0.00027420190301,0.00285884114456,0.0265638252448
15,862,0.0235654174296,0.151533654282,0.428319313654,117,726,94,134,24,0.0018117230056,0.0777851189368,2.95707400194,19.163809377,0.000287807000556,0.00344570159455,0.0308496756646
16,860,0.0216601169928,0.146142518465,0.310477931199,109,722,86,137,26,0.00196298326484,0.130175319275,2.8647964844,17.7937001517,0.000294611324453,0.00272270110106,0.0297556606209
17,853,0.0206000529928,0.13126224021,0.303980127653,102,713,79,143,23,0.00166323172282,0.083902164831,2.94329509774,17.2342604432,0.000281947071568,0.00263632270494,0.0257799329594
18,859,0.0226040559034,0.156139173855,0.465640174652,95,713,74,150,24,0.00187433948999,0.116476033458,3.10626416232,19.3668270451,0.000289921677626,0.00303840586825,0.0292239903331
19,856,0.0221881013214,0.140421605518,0.349655502672,103,713,83,151,31,0.00220365176217,0.124994681266,3.09936398538,14.0724539742,0.000321012756018,0.00230339273067,0.032843290218
20,851,0.0213676730059,0.130105022562,0.395833678764,95,706,75,155,30,0.00208189685209,0.136811799637,3.12389623497,14.3430549151,0.000307933310166,0.00285508042084,0.0292330030697
