time,sensor,formation,birth_time,birth_location,predicted_r,component_count,mean_pd,density_pd,coarse_density_pd,pd_difference,quadrature_difference,mean_miss_r,density_miss_r,miss_r_difference,miss_position_difference_m,weighted_pd_abs_difference,fine_density_pd,fine_minus_density_pd
18,6,1,1,8,0.050576591603,1,0.723263052475,0.257622877823,0.259193494442,-0.465640174652,-0.00157061661955,0.014527842677,0.0380425875351,0.0235147448581,36.7169747719,0.0235504929474,0.257778763024,0.000155885201343
18,1,1,1,8,0.0312448802371,1,0.738008032791,0.282203279885,0.283589029155,-0.455804752905,-0.00138574926994,0.00837912157331,0.0226269838962,0.0142478623229,35.3846028868,0.014241564916,0.282105122836,-9.81570490153e-05
15,6,1,1,7,0.0521247487661,1,0.72311854531,0.294799231656,0.295236859332,-0.428319313654,-0.000437627676358,0.0149976741858,0.0373320700067,0.0223343958209,40.6397328198,0.0223260366159,0.294965732305,0.000166500649875
15,1,1,1,8,0.0370843718591,1,0.725748390536,0.303847664364,0.30311023896,-0.421900726172,0.000737425404635,0.0104517461617,0.0261105861643,0.0156588400026,41.1140369906,0.015645923417,0.303872479238,2.48148734418e-05
14,1,1,1,8,0.0526512613799,1,0.720698803375,0.299223863074,0.299852947712,-0.4214749403,-0.000629084637534,0.0152855824496,0.0374873424084,0.0222017599588,41.1024254377,0.0221911872469,0.298716837033,-0.000507026041031
12,6,1,1,6,0.0537202952555,1,0.722545906603,0.324042590944,0.324113641594,-0.398503315659,-7.10506504698e-05,0.0155068188757,0.0369559483132,0.0214491294375,40.6238339081,0.0214077157775,0.324287136988,0.000244546044128
20,6,1,1,8,0.0159711497373,1,0.738328807123,0.342495128359,0.342731214453,-0.395833678764,-0.000236086094542,0.00422905869406,0.0105588661887,0.00632980749468,42.0475426879,0.00632191895462,0.342351648509,-0.000143479849505
12,1,1,1,7,0.0537202952555,1,0.723727856748,0.328620830868,0.327848000097,-0.395107025879,0.000772830771237,0.0154417801328,0.0367148365283,0.0212730563954,40.96650145,0.0212252660878,0.328511084329,-0.000109746539341
9,4,1,1,1,0.0477913268669,1,0.592545512298,0.209975466622,0.207990083112,-0.382570045676,0.00198538351068,0.0200403026422,0.0381390462718,0.0180987436296,16.6849922535,0.0182835301024,0.210327199172,0.000351732549107
9,6,1,1,5,0.0553646816657,1,0.721553359148,0.339406654974,0.339123697245,-0.382146704174,0.000282957728927,0.0160575873152,0.0372739605208,0.0212163732056,35.2772693389,0.0211574306262,0.3396986585,0.000292003526145
9,1,1,1,6,0.0553646816657,1,0.722130240507,0.343501458855,0.344387219261,-0.378628781652,-0.000885760406368,0.0160248525715,0.0370514720421,0.0210266194706,35.4983215832,0.0209626619657,0.343352927666,-0.000148531188863
8,4,1,1,2,0.0500456323058,1,0.592916824018,0.216358409648,0.214739338245,-0.376558414371,0.00161907140276,0.0209957393622,0.0396471298215,0.0186513904593,16.2026402329,0.0188451039472,0.216393675562,3.5265914417e-05
