sensor,formation,reference_eospa,candidate_eospa,reference_rmse,candidate_rmse
1,1,146.843904672,146.854579004,2.75465554481,6.72387296224
2,1,146.841751556,146.841751556,1.006521093e-13,1.58882185808e-14
3,1,146.841751556,146.841751556,7.28037097363e-14,2.84217094304e-14
4,1,146.842954709,146.841751556,2.05917242749,4.26325641456e-14
5,1,145.231806682,146.843631996,4.36747375401,2.57432255408
6,1,143.620797569,146.844194396,4.70497143644,2.93414459073
7,2,135.340558441,137.128576594,14.4689074685,17.8908985518
8,2,136.960959483,138.582204945,11.2178267433,9.75366616493
9,2,138.66796504,140.403067288,9.37609313714,16.6003515151
10,2,140.339515285,141.996285531,11.2846181199,9.1849845485
11,2,138.747042416,140.402960057,15.4339146078,14.7923465832
12,2,136.985266221,137.050668597,12.9540149888,18.1120035854
13,3,137.08267033,138.74863459,15.7573678686,15.7421691586
14,3,140.361473278,140.374533781,14.6340902906,15.3722099768
15,3,138.568859961,141.957381601,8.20429951465,10.3316356603
16,3,140.352092138,143.712679785,14.2052948148,15.9597082483
17,3,138.746718613,142.12426471,14.1127654843,17.8254222142
18,3,137.194457458,138.799766643,20.5312577873,17.0959836465
19,4,137.064465795,140.4461038,14.7815271346,16.1944232901
20,4,137.051942576,138.703365392,14.1200610203,12.611682219
21,4,138.676353059,140.425404698,10.3055299921,14.3884956444
22,4,138.735742466,140.437694173,14.2617068022,15.675283466
23,4,137.020960896,140.352582484,14.8960594184,12.410866546
24,4,142.039651838,143.697029727,14.1873467217,16.9993957635
25,5,140.338494376,142.005686197,11.9008643062,10.926595634
26,5,135.34731674,140.498351843,15.8194240324,20.4069982066
27,5,137.02958703,140.329190947,15.3740940658,11.4756275612
28,5,140.338641276,141.982678984,11.1328224889,7.46303508877
29,5,140.37105241,145.243349113,11.5003776804,7.64185014405
30,5,140.324602027,143.640824457,10.163346713,9.01457387259
31,6,137.08710093,137.200357392,15.9981983751,20.2815493257
32,6,137.121711474,138.753709283,18.4451669651,16.0606355415
33,6,138.753377739,142.012114466,15.4463322601,11.6248926886
34,6,140.380185439,143.649702069,12.3570312802,10.8109920906
35,6,138.712476096,143.656603795,13.1083538213,12.0211416638
36,6,137.140341359,140.460258182,16.0789100758,15.6394989415
