time,reference_eospa,candidate_eospa,reference_rmse,candidate_rmse,reference_count_error,candidate_count_error,reference_disagreement,candidate_disagreement
1,141.096339114,142.601901808,11.9510907762,14.3326797867,21.2222222222,21.6666666667,150,148.713442712
2,138.298358049,141.056081036,11.7124579539,9.69739008264,20.3888888889,21.2222222222,148.958847427,148.168073543
3,137.447413588,139.821983974,12.2255377837,8.52637061025,20.1388888889,20.8611111111,145.653180308,147.158437625
4,137.699997643,139.373527593,10.1577744314,8.76986573881,20.2222222222,20.7222222222,146.704461262,146.058115273
5,137.612268085,139.73947608,9.63170547595,8.09356519516,20.1944444444,20.8333333333,148.679341991,147.332659933
6,137.530864781,139.55914481,10.4703770797,8.43836456969,20.1666666667,20.7777777778,147.097108863,148.168472006
7,137.715717016,139.56423988,9.57833785033,9.30895965896,20.2222222222,20.7777777778,144.015845361,148.662033734
8,137.330151002,139.199159427,8.99067300079,10.0190251525,20.1111111111,20.6666666667,143.182544394,148.664874635
9,137.530239964,139.760894871,8.70332351538,8.88653538662,20.1666666667,20.8333333333,147.103633315,150
10,137.71538959,139.943459375,8.57488552912,7.93460317797,20.2222222222,20.8888888889,147.082389801,147.330725709
11,137.71218519,139.768698612,8.17390963402,8.46304718665,20.2222222222,20.8333333333,145.015789866,145.812273647
12,137.52614894,139.493126264,7.6803248931,8.69732374223,20.1666666667,20.75,144.732337973,147.09562371
13,136.869943188,139.403375078,8.24296844385,8.63094426947,19.9722222222,20.7222222222,146.347376641,147.108622799
14,137.051155855,139.489594155,7.89947539843,8.07581943975,20.0277777778,20.75,145.797038011,145.020162525
15,136.848983184,139.488771766,8.0013427884,8.32546660523,19.9722222222,20.75,147.562386602,147.094145754
16,136.761385972,139.497856053,7.92820549273,8.2168343488,19.9444444444,20.75,147.077832256,148.663271791
17,136.36128505,138.847690416,7.38396036492,8.93196234759,19.8333333333,20.5555555556,146.562719607,147.079824791
18,136.16212321,138.372601291,7.15690970123,8.96434159216,19.7777777778,20.4166666667,146.556872752,145.254394483
19,135.762951167,137.799597662,7.67679921659,8.63976760084,19.6666666667,20.25,146.570417959,145.921123382
20,135.664907546,137.316707119,7.07606623204,8.21080448387,19.6388888889,20.1111111111,147.078466097,147.111099379
21,135.571432979,137.133889393,7.29041389869,8.67250593029,19.6111111111,20.0555555556,147.072682314,145.257189614
22,135.67978492,137.126674638,7.65072434316,8.23350413692,19.6388888889,20.0555555556,146.570063275,142.384685115
23,135.279168263,136.452464828,7.3740864163,7.9565924803,19.5277777778,19.8611111111,146.557713079,142.172949921
24,135.264531198,135.499518426,7.33601703526,8.52335456006,19.5277777778,19.5833333333,147.050399725,144.865467296
25,134.983111709,134.836793753,6.90810295333,8.76460102047,19.4444444444,19.3888888889,147.097711538,144.496448413
26,134.893233693,134.156915141,7.60048452536,9.09069259997,19.4166666667,19.1944444444,145.524273635,143.651789916
27,134.395350767,134.157691059,7.19101618306,8.46096908088,19.2777777778,19.1944444444,144.043736873,139.007828423
28,133.709195516,133.755717332,6.96542314771,8.6132326696,19.0833333333,19.0833333333,144.217004304,138.798156141
29,133.614485433,134.141969341,7.30235978863,8.60915844847,19.0555555556,19.1944444444,144.966068684,138.934027544
30,133.136743553,133.759194451,7.28444139859,8.7985823975,18.9166666667,19.0833333333,142.415234575,142.991878722
31,133.032744291,133.560611403,7.97301743094,8.63746198302,18.8888888889,19.0277777778,143.397657964,141.056338519
32,132.037179989,133.043917708,7.74967859814,8.58300311084,18.6111111111,18.8888888889,142.485364037,140.813412238
33,132.253991152,133.058952417,8.60301516526,8.675790849,18.6666666667,18.8888888889,142.490586622,144.154613334
34,132.144384407,133.559335329,8.59925192433,8.08401166308,18.6388888889,19.0277777778,142.526251809,140.778946996
35,131.445935666,133.438516499,8.68263418977,7.89579850102,18.4444444444,19,141.346861837,142.728563067
36,131.056078981,132.941744395,8.75995577121,8.37324853253,18.3333333333,18.8611111111,133.757654714,140.457556035
37,130.375624824,133.150719051,8.55875069467,7.96183023599,18.1388888889,18.9166666667,133.645907661,140.705668842
38,130.665756238,132.871271989,8.55645081474,8.432010974,18.2222222222,18.8333333333,141.775910477,143.252862236
39,130.578432825,133.081366212,8.53841542442,8.63435853391,18.1944444444,18.8888888889,140.778732839,141.349105071
40,130.386220771,132.987043186,8.87233387712,8.85694443402,18.1388888889,18.8611111111,137.289549939,141.097982831
