x,input_left_intensity,input_right_intensity,kla_intensity,mil_intensity,conditional_ga_intensity
-7.0,0.0001070641806119083,6.155678901365137e-23,3.8864067780012763e-13,5.353209030595415e-05,7.307776326691677e-12
-6.99,0.00011142798117260795,6.802737157439165e-23,4.1679946601451144e-13,5.5713990586303976e-05,7.837258024454738e-12
-6.98,0.00011595804833911264,7.517059626199259e-23,4.469537891460984e-13,5.797902416955632e-05,8.404262615882892e-12
-6.97,0.00012066021724041446,8.305559038986041e-23,4.792417700816899e-13,6.033010862020723e-05,9.011387284492943e-12
-6.96,0.00012554050725242582,9.17585019859163e-23,5.138108539378992e-13,6.277025362621291e-05,9.66140450366254e-12
-6.95,0.00013060512701299363,1.0136320417458016e-22,5.508184203977015e-13,6.530256350649681e-05,1.0357273550655342e-11
-6.94,0.00013586047954347464,1.119620693412017e-22,5.90432435103472e-13,6.793023977173732e-05,1.1102152755041987e-11
-6.93,0.000141313167478057,1.2365681990236656e-22,6.328321425189277e-13,7.06565837390285e-05,1.189941252687851e-11
-6.92,0.0001469699984019657,1.3655946316348794e-22,6.782088028161487e-13,7.348499920098285e-05,1.2752649212707109e-11
-6.91,0.0001528379902996781,1.5079331846608969e-22,7.267664754959834e-13,7.641899514983905e-05,1.3665699830304662e-11
-6.9,0.0001589243771142179,1.6649414561622598e-22,7.787228526107617e-13,7.946218855710895e-05,1.464265773612457e-11
-6.89,0.0001652366144185807,1.838113844497328e-22,8.343101446283282e-13,8.261830720929036e-05,1.568788928257577e-11
-6.88,0.00017178238520029364,2.0290951633591897e-22,8.93776022155779e-13,8.589119260014682e-05,1.6806051525655588e-11
-6.87,0.0001785696057600817,2.2396955945677856e-22,9.573846169312788e-13,8.928480288004085e-05,1.8002111047025557e-11
-6.86,0.00018560643172555358,2.471907108322947e-22,1.0254175856926412e-12,9.280321586277679e-05,1.928136395838582e-11
-6.85,0.00019290126418079496,2.7279214930240536e-22,1.098175240743321e-12,9.645063209039748e-05,2.0649457159989388e-11
-6.84,0.0002004627559126886,3.010150150338829e-22,1.1759777512601532e-12,0.0001002313779563443,2.2112410929343635e-11
-6.83,0.00020829981777475398,3.321245826049038e-22,1.25916641962367e-12,0.00010414990888737699,2.36766429205933e-11
-6.82,0.00021642162516921664,3.664126463450506e-22,1.3481050373011505e-12,0.00010821081258460832,2.5348993659767417e-11
-6.81,0.0002248376246479895,4.0420013838545374e-22,1.443181325076428e-12,0.00011241881232399475,2.713675362603431e-11
-6.8,0.00023355754063316824,4.458400018176553e-22,1.5448084626983932e-12,0.00011677877031658412,2.904769201433441e-11
-6.79,0.0002425913822576034,4.917203434857575e-22,1.6534267133142972e-12,0.0001212956911288017,3.1090087280292094e-11
-6.78,0.00025194945032601726,5.422678932607441e-22,1.7695051483635207e-12,0.00012597472516300863,3.327275957412848e-11
-6.77,0.0002616423443971003,5.979517991884569e-22,1.8935434789350072e-12,0.00013082117219855014,3.560510517645588e-11
-6.76,0.00027168096998692385,6.592877906807128e-22,2.0260739999367517e-12,0.00013584048499346192,3.8097133055325396e-11
-6.75,0.00028207654589395637,7.268427449581333e-22,2.167663653790044e-12,0.00014103827294697818,4.0759503670749476e-11
-6.74,0.000292840611645868,8.012396952728066e-22,2.3189162207454024e-12,0.000146420305822934,4.360357016014605e-11
-6.73,0.00030398503506825667,8.831633230689093e-22,2.4804746433226092e-12,0.00015199251753412834,4.664142204577534e-11
-6.72,0.0003155220199753256,9.73365980204997e-22,2.653023492804759e-12,0.0001577610099876628,4.9885931613278794e-11
-6.71,0.00032746411398246314,1.0726742916954073e-21,2.837291586167098e-12,0.00016373205699123157,5.3350803118907556e-11
-6.7,0.0003398242164406012,1.181996394163412e-21,3.0340547622969214e-12,0.0001699121082203006,5.705062499196861e-11
-6.69,0.00035261558649210545,1.3023298703701077e-21,3.2441388268616197e-12,0.00017630779324605272,6.100092520843392e-11
-6.68,0.00036585185124788614,1.4347704458349742e-21,3.468422675710728e-12,0.00018292592562394307,6.521823002160052e-11
-6.67,0.00037954701408529656,1.5805215197327623e-21,3.707841607254205e-12,0.00018977350704264828,6.972012624615127e-11
-6.66,0.0003937154630663145,1.740904608992787e-21,3.963390834846351e-12,0.00019685773153315725,7.45253273030068e-11
-6.65,0.0004083719794753478,1.917370791884069e-21,4.2361292108225585e-12,0.0002041859897376739,7.965374324397604e-11
