metric,kla_reference,mil,conditional_geometric
eospa,135.180029883,132.617636938,132.339040569
conditionalRmse,8.42531747856,19.735673677,8.52426170239
countError,19.5013888889,18.6319444444,18.6847222222
representativeDisagreement,144.66969891,140.162516091,139.561394004
worstSensorEospa,137.719448351,134.28970068,134.115377354
attemptedBytes,18435344,59867264,19033448
deliveredBytes,17667904,57266464,18251752
attemptedMessages,1840,1840,1840
deliveredMessages,1766,1766,1766
finiteRmseFraction,1,1,1
