sensor,formation,reference_eospa,candidate_eospa,reference_rmse,candidate_rmse
1,1,130.155736095,129.375688266,8.79270362178,9.28125276284
2,1,130.684114836,129.651013775,8.44663976773,10.1974601576
3,1,131.467171963,130.500231025,8.97151205447,9.95817204915
4,1,132.002950657,130.867131375,9.79068085491,10.093830468
5,1,131.533322924,130.010410099,9.84037275241,10.2644035062
6,1,130.807964873,130.09074114,8.08288735174,9.16488420122
7,2,134.035989815,131.299998054,7.340666321,7.17130667368
8,2,134.473340402,131.566765418,6.34915472668,6.57348933814
9,2,134.476846914,131.207374057,7.19374347797,6.32046387565
10,2,133.50161381,130.635639653,7.95802876086,6.9459574873
11,2,132.977300232,130.199087095,8.04435047484,7.32036185207
12,2,133.506840333,130.573799284,7.25288522771,6.71047016321
13,3,135.937467829,132.810425269,8.33539794318,8.47226728111
14,3,136.274108673,133.147232941,8.10263173814,8.07479508346
15,3,136.623600946,133.069569635,8.57335105479,8.31541116442
16,3,136.959042427,133.40861042,8.31474630281,8.1220738637
17,3,136.71035218,133.158986921,8.14261194666,8.30011112546
18,3,136.286272844,132.985147482,8.16345796448,8.42688732404
19,4,136.64878523,132.741559507,9.72834376061,10.0324766761
20,4,136.971918707,132.745175382,8.62007135978,10.4027487093
21,4,136.627213865,132.745930407,8.14168425814,10.5218324838
22,4,136.613986054,132.625223003,7.72005829044,8.94501224456
23,4,136.615032134,132.802575171,7.88761212655,8.77937084336
24,4,136.977405393,133.076658085,9.18695104309,9.40988554914
25,5,137.370604974,133.49688619,8.26825706984,8.28588425444
26,5,137.218191314,133.166325147,8.74165621216,8.65889660891
27,5,136.792923398,133.246664009,8.80164693616,8.37620540342
28,5,137.196640485,133.147755207,7.59673881754,8.17748508299
29,5,137.376133278,133.067889039,7.78330285305,8.41475628214
30,5,137.719448351,133.337909615,7.96521802651,8.90653552978
31,6,135.602502965,133.864484219,9.52406978906,8.00776806158
32,6,135.954829276,133.861802624,9.23620240836,7.8480624633
33,6,135.786173871,133.780191651,9.25104339248,8.14506534
34,6,135.578797354,134.115377354,8.67103105372,7.84222738541
35,6,135.417083721,133.873900727,9.0290998846,8.37734523007
36,6,135.59936766,133.951301253,9.46261960396,8.02826476045
