sensors,arm,horizon,path_coverage,mean_source_hit,reachable_mean,reachable_median,reachable_p10,active_triples,reachable_triples
24,Fixed tree,0,0.311328125,0.251916561015,0.809167372897,1,0.05,61440,19128
24,Fixed tree,3,0.52607421875,0.288975645548,0.549305849344,0.891094182825,0.00323374307479,61440,32322
24,Fixed tree,8,0.6677734375,0.318073424568,0.476319372268,0.0954758918072,0.00122003999423,61440,41028
24,Fixed tree,16,0.728857421875,0.348311830408,0.477887471478,0.138828086379,0.00311632938945,61440,44781
24,Full causal repair,0,0.322135416667,0.251930938185,0.782065321448,1,0.05,61440,19792
24,Full causal repair,3,0.598518880208,0.290405309102,0.485206596993,0.24151875,0.0025,61440,36773
24,Full causal repair,8,0.873372395833,0.321418435739,0.368019915986,0.0626962806817,0.00022465700795,61440,53660
24,Full causal repair,16,0.959391276042,0.354506562272,0.36951197194,0.101170708854,0.00144422315024,61440,58945
24,Sparse causal repair,0,0.311328125,0.251744249132,0.808613899345,1,0.05,61440,19128
24,Sparse causal repair,3,0.501529947917,0.289946829371,0.578124657511,0.950657894737,0.0172697368421,61440,30814
24,Sparse causal repair,8,0.812613932292,0.321291845382,0.395380675392,0.06658659,0.000965739065789,61440,49927
24,Sparse causal repair,16,0.953076171875,0.353968686669,0.37139600917,0.100213268322,0.00159403997299,61440,58557
36,Fixed tree,0,0.205931712963,0.161630389813,0.78487372094,1,0.05,138240,28468
36,Fixed tree,3,0.360337094907,0.191291285429,0.530867590743,0.7105,0.00316019736842,138240,49813
36,Fixed tree,8,0.497164351852,0.214589521088,0.431626926366,0.0787566920108,0.000671909023546,138240,68728
36,Fixed tree,16,0.625730613426,0.238670212335,0.381426459268,0.102038171122,8.6791727096e-05,138240,86501
36,Full causal repair,0,0.216616030093,0.161671743015,0.746351703269,1,0.05,138240,29945
36,Full causal repair,3,0.430953414352,0.192665762124,0.447068652221,0.06946875,0.00193947368421,138240,59575
36,Full causal repair,8,0.683883101852,0.21804838957,0.318838685997,0.0554369535839,0.000216290835526,138240,94540
36,Full causal repair,16,0.91439525463,0.245270930513,0.268232943326,0.05290757617,1.08871026624e-05,138240,126406
36,Sparse causal repair,0,0.208311631944,0.16151651463,0.775360036895,1,0.05,138240,28797
36,Sparse causal repair,3,0.356879340278,0.192374237191,0.539045597433,0.784,0.01715,138240,49335
36,Sparse causal repair,8,0.631828703704,0.218061486751,0.345127540855,0.0608620632895,0.000833347083333,138240,87344
36,Sparse causal repair,16,0.885177951389,0.244959458939,0.276734704649,0.06088006781,4.29390455245e-05,138240,122367
