time,repair_event,fixed_route_messages,causal_route_messages,fixed_eospa,causal_eospa,fixed_rmse,causal_rmse,fixed_interformation_disagreement,causal_interformation_disagreement
1,0,48.0,48.0,142.76965282043156,142.76965282043156,7.455819483123211,7.455819483123211,133.99873713886234,133.99873713886234
2,0,48.0,48.0,140.85295213124292,140.85295213124292,10.34176250803846,10.34176250803846,150.0,150.0
3,0,48.0,48.0,137.7020244447963,137.7020244447963,10.712221410153592,10.712221410153592,150.0,150.0
4,0,48.0,48.0,137.54114457778823,137.54114457778823,10.335845401560416,10.335845401560416,150.0,150.0
5,0,48.0,48.0,134.81091390815328,134.81091390815328,12.155743439840103,12.155743439840103,150.0,150.0
6,0,48.0,48.0,134.34855562021133,134.34855562021133,11.966871549323342,11.966871549323342,150.0,150.0
7,0,48.0,48.0,132.27088847830143,132.27088847830143,15.011277565353033,15.011277565353033,150.0,150.0
8,0,48.0,48.0,131.04062106715273,131.04062106715273,13.685749013622003,13.685749013622003,150.0,150.0
9,0,48.0,48.0,129.9051066819389,129.9051066819389,12.908379716820434,12.908379716820434,147.36149373644415,147.36149373644415
10,0,48.0,48.0,129.91674696474473,129.91674696474473,13.2694058782563,13.2694058782563,147.3635018588197,147.3635018588197
11,0,48.0,48.0,128.24470184808365,128.24470184808365,11.820702736352692,11.820702736352692,147.36120373335544,147.36120373335544
12,0,48.0,48.0,126.64231217130076,126.64231217130076,11.725242475245246,11.725242475245246,145.42670013666793,145.42670013666793
13,0,48.0,48.0,126.54564871706201,126.54564871706201,10.179952230901366,10.179952230901366,142.08178016130773,142.08178016130773
14,0,48.0,48.0,125.62890212975539,125.62890212975539,10.78595290754914,10.78595290754914,143.9519053457793,143.9519053457793
15,0,48.0,48.0,126.68907065326023,126.68907065326023,9.722781642319974,9.722781642319974,143.97533497073206,143.97533497073206
16,0,48.0,48.0,126.15754352031246,126.15754352031246,8.572716028596174,8.572716028596174,143.95767528233984,143.95767528233984
17,0,48.0,48.0,126.33215717879857,126.33215717879857,8.38087919801056,8.38087919801056,142.12851534221195,142.12851534221195
18,0,48.0,48.0,126.07856780999099,126.07856780999099,8.23258878242482,8.23258878242482,144.80972854055835,144.80972854055835
19,0,48.0,48.0,126.01534533525167,126.01534533525167,7.672371931073566,7.672371931073566,144.80631456161646,144.80631456161646
20,0,48.0,48.0,125.14371173372054,125.14371173372054,8.609090554728224,8.609090554728224,144.78949411218957,144.78949411218957
21,0,48.0,48.0,125.16963400423826,125.16963400423826,9.124327633703793,9.124327633703793,144.77913672536187,144.77913672536187
22,0,48.0,48.0,125.60335928302509,125.60335928302509,8.886550684797209,8.886550684797209,144.78142654169991,144.78142654169991
23,0,48.0,48.0,126.28681703100916,126.28681703100916,7.883228416691264,7.883228416691264,144.7824849908429,144.7824849908429
24,0,48.0,48.0,126.27931856891853,126.27931856891853,8.197851788311834,8.197851788311834,144.8326286323418,144.8326286323418
25,0,48.0,48.0,126.70611054379214,126.70611054379214,8.26413808349873,8.26413808349873,144.77708513620698,144.77708513620698
26,0,48.0,48.0,126.07124254062633,126.07124254062633,9.001828649998233,9.001828649998233,144.83728894495434,144.83728894495434
