seed,arm_mode,focus_eospa,focus_posterior_disagreement,focus_map_set_disagreement,focus_cardinality_error,mean_eospa,posterior_disagreement,map_set_disagreement,mean_cardinality_error,attempted_bytes,delivered_bytes,churn,distinct_candidates,infeasible_rate,policy_seconds,total_seconds
7,robust-static,68.5432093230,0.4508763570,55.7810727399,4.2636612022,70.1574642438,0.4621981843,60.4687766825,4.0657894737,35938264,35938264,0.0000000000,0,0.0000000000,0.0000000000,155.6207649708
7,discrepancy,62.2635734217,0.4110932832,51.2347263132,3.5409836066,65.8875417970,0.4379502818,58.4063458570,3.5921052632,36431560,36431560,0.1320085167,34,0.0000000000,63.8411674500,221.2035999298
7,oracle-consensus,69.2544905044,0.4485585551,55.9988286773,4.3743169399,71.2107090734,0.4655307231,61.2968332895,4.2087719298,35917936,35917936,0.0075700227,6,0.0000000000,687.8320479393,845.8967070580
7,oracle-truth,63.9923444270,0.4603099561,51.0879348871,3.7090163934,65.5698146043,0.4697395307,56.3397185316,3.5552631579,35952904,35952904,0.0000000000,1,0.0000000000,683.3206021786,838.7751729488
17,robust-static,65.3521248597,0.4229933716,53.4896648788,3.9098360656,69.1952244898,0.4471886046,59.1479945030,3.9324561404,35776528,35776528,0.0000000000,0,0.0000000000,0.0000000000,164.9633378983
17,discrepancy,61.1696916121,0.3853010822,48.2611255072,3.4193989071,66.1729676929,0.4230323403,55.8297098406,3.5938596491,35994952,35994952,0.1333333333,35,0.0000000000,63.4306001663,222.1666738987
17,oracle-consensus,65.9282689037,0.4180529790,53.0854815180,3.9685792350,69.4709242111,0.4446355912,58.9085373140,3.9692982456,35774248,35774248,0.0075700227,5,0.0000000000,642.5265915394,803.5386531353
17,oracle-truth,65.4729145134,0.4206567614,54.2808317524,3.9303278689,69.1785387605,0.4463074936,59.6760779909,3.9447368421,35741752,35741752,0.0060606061,5,0.0000000000,657.4904971123,814.7645859718
27,robust-static,67.6181884986,0.4665446916,54.8208891747,4.1571038251,70.3743267341,0.4704699063,59.4561495508,4.0342105263,35951944,35951944,0.0000000000,0,0.0000000000,0.0000000000,156.0204589367
27,discrepancy,64.4097606228,0.3986845160,51.0189465557,3.7759562842,68.6070661267,0.4201166158,57.1112892316,3.7833333333,36022648,36022648,0.1346562721,28,0.0000000000,64.2217936516,223.0826160908
27,oracle-consensus,67.2261233523,0.4588160006,55.3376621835,4.1161202186,70.7128160300,0.4618708713,59.8634291375,4.0342105263,36053632,36053632,0.0015186029,2,0.0000000000,655.0161867142,815.4221348763
27,oracle-truth,67.2261233523,0.4588160006,55.3376621835,4.1161202186,70.7128160300,0.4618708713,59.8634291375,4.0342105263,36053632,36053632,0.0015186029,2,0.0000000000,653.3712944984,813.0896108150
