CURRENT ALIGNMENT VERIFIED {"sequence": "0000", "dataset": "v2v_development", "frames": 147, "nonzero_frames": 146, "boundary_frames": 1, "maximum_translation_m": 6.020797289396148, "mean_translation_m": [2.7142857142857144, -0.40816326530612246], "grid_seconds": 0.33377280106651597, "both_receivers_solve_seconds": 0.26556098292348906}
CURRENT ALIGNMENT VERIFIED {"sequence": "0001", "dataset": "v2v_development", "frames": 114, "nonzero_frames": 108, "boundary_frames": 6, "maximum_translation_m": 9.513148795220223, "mean_translation_m": [3.1578947368421053, -0.3991228070175439], "grid_seconds": 0.2720736241026316, "both_receivers_solve_seconds": 0.19986908114515245}
CURRENT ALIGNMENT VERIFIED {"sequence": "0002", "dataset": "v2v_development", "frames": 144, "nonzero_frames": 144, "boundary_frames": 0, "maximum_translation_m": 2.5, "mean_translation_m": [1.2777777777777777, 0.0], "grid_seconds": 0.34199608699418604, "both_receivers_solve_seconds": 0.2585281297797337}
CURRENT ALIGNMENT VERIFIED {"sequence": "0003", "dataset": "v2v_development", "frames": 198, "nonzero_frames": 197, "boundary_frames": 0, "maximum_translation_m": 4.031128874149275, "mean_translation_m": [1.3762626262626263, 0.15151515151515152], "grid_seconds": 0.6491783683886752, "both_receivers_solve_seconds": 0.36570225132163614}
CURRENT ALIGNMENT VERIFIED {"sequence": "0004", "dataset": "v2v_development", "frames": 180, "nonzero_frames": 33, "boundary_frames": 0, "maximum_translation_m": 1.0, "mean_translation_m": [0.11944444444444445, 0.0], "grid_seconds": 0.6015442058851477, "both_receivers_solve_seconds": 0.33480490802321583}
CURRENT ALIGNMENT VERIFIED {"sequence": "0005", "dataset": "v2v_development", "frames": 310, "nonzero_frames": 310, "boundary_frames": 0, "maximum_translation_m": 2.0, "mean_translation_m": [1.020967741935484, 0.0], "grid_seconds": 0.9390918292338029, "both_receivers_solve_seconds": 0.6062955459055956}
CURRENT ALIGNMENT VERIFIED {"sequence": "0006", "dataset": "v2v_development", "frames": 304, "nonzero_frames": 165, "boundary_frames": 0, "maximum_translation_m": 1.5, "mean_translation_m": [0.375, -0.03125], "grid_seconds": 1.2109386718948372, "both_receivers_solve_seconds": 0.548902292328421}
CURRENT ALIGNMENT VERIFIED {"sequence": "0007", "dataset": "v2v_development", "frames": 221, "nonzero_frames": 132, "boundary_frames": 63, "maximum_translation_m": 12.747548783981962, "mean_translation_m": [-0.8529411764705882, -1.581447963800905], "grid_seconds": 0.7088997087848838, "both_receivers_solve_seconds": 0.43764217317220755}
CURRENT ALIGNMENT VERIFIED {"sequence": "0008", "dataset": "v2v_development", "frames": 375, "nonzero_frames": 0, "boundary_frames": 0, "maximum_translation_m": 0.0, "mean_translation_m": [0.0, 0.0], "grid_seconds": 0.9463898654503282, "both_receivers_solve_seconds": 0.680438245064579}
CURRENT ALIGNMENT VERIFIED {"sequence": "v2x_0000", "dataset": "v2x_val", "frames": 104, "nonzero_frames": 0, "boundary_frames": 0, "maximum_translation_m": 0.0, "mean_translation_m": [0.0, 0.0], "grid_seconds": 0.4019657839089632, "both_receivers_solve_seconds": 0.2728369592514355}
CURRENT ALIGNMENT VERIFIED {"sequence": "v2x_0001", "dataset": "v2x_val", "frames": 131, "nonzero_frames": 3, "boundary_frames": 0, "maximum_translation_m": 1.0, "mean_translation_m": [0.015267175572519083, 0.0], "grid_seconds": 0.516490258363774, "both_receivers_solve_seconds": 0.24782415505615063}
CURRENT ALIGNMENT VERIFIED {"sequence": "v2x_0002", "dataset": "v2x_val", "frames": 140, "nonzero_frames": 121, "boundary_frames": 0, "maximum_translation_m": 6.519202405202649, "mean_translation_m": [-4.95, 0.32142857142857145], "grid_seconds": 0.6360155844886322, "both_receivers_solve_seconds": 0.2514667978393845}
CURRENT ALIGNMENT VERIFIED {"sequence": "v2x_0003", "dataset": "v2x_val", "frames": 128, "nonzero_frames": 0, "boundary_frames": 0, "maximum_translation_m": 0.0, "mean_translation_m": [0.0, 0.0], "grid_seconds": 0.444212461123243, "both_receivers_solve_seconds": 0.22403761686291546}
CURRENT ALIGNMENT VERIFIED {"sequence": "v2x_0004", "dataset": "v2x_val", "frames": 116, "nonzero_frames": 0, "boundary_frames": 0, "maximum_translation_m": 0.0, "mean_translation_m": [0.0, 0.0], "grid_seconds": 0.3722195743757766, "both_receivers_solve_seconds": 0.3059053707693238}
ALL RELATIVE TRANSLATIONS INDEPENDENTLY VERIFIED 4390772 integer overlap counts
