POSE INPUT VERIFIED seen_transfer {'sequence': '0001', 'scene': 'testoutput_CAV_data_2022-03-15-09-54-40_1', 'frames': 405, 'raw_frame_first': '000000', 'raw_frame_last': '000404', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0001.mat', 'pose_sha256': '9edc8377bff4bd16983f13eb319588dae2bfa6080ccb128516fee9c3914ce76a', 'relative_transform_max_abs_error': 3.789213394611579e-06, 'label_xy_max_abs_error': 1.7783203119847713e-05, 'source_rotation_max_orthogonality_error': 1.3090157600093022e-06, 'label_rows_checked': 1970, 'max_ego_displacement_m': 3.60733974003007, 'max_ego_yaw_change_deg': 0.40993650772275975}
POSE INPUT VERIFIED seen_transfer {'sequence': '0002', 'scene': 'testoutput_CAV_data_2022-03-15-09-54-40_2', 'frames': 157, 'raw_frame_first': '000000', 'raw_frame_last': '000156', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0002.mat', 'pose_sha256': '9c4914def6ecb13203d59c74e3c9bf6b0374f4158d96d6eccf6fd64fc41adb98', 'relative_transform_max_abs_error': 1.89424316943132e-06, 'label_xy_max_abs_error': 1.2988281255843503e-05, 'source_rotation_max_orthogonality_error': 1.1522774300276595e-06, 'label_rows_checked': 974, 'max_ego_displacement_m': 3.6100554012370956, 'max_ego_yaw_change_deg': 0.050145544142218675}
POSE INPUT VERIFIED seen_transfer {'sequence': '0003', 'scene': 'testoutput_CAV_data_2022-03-15-10-09-50_0', 'frames': 1244, 'raw_frame_first': '000000', 'raw_frame_last': '001243', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0003.mat', 'pose_sha256': '3083ee484e9180a2c42eff6f2b427ddd5fe7ef22d64c0bf5c4ec7dadca99e862', 'relative_transform_max_abs_error': 3.797383655523845e-06, 'label_xy_max_abs_error': 1.7880859374486135e-05, 'source_rotation_max_orthogonality_error': 1.4251410098697903e-06, 'label_rows_checked': 7240, 'max_ego_displacement_m': 3.5343282247125827, 'max_ego_yaw_change_deg': 0.7700278422501105}
POSE INPUT VERIFIED seen_transfer {'sequence': '0004', 'scene': 'testoutput_CAV_data_2022-03-15-10-09-50_2', 'frames': 133, 'raw_frame_first': '000000', 'raw_frame_last': '000132', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0004.mat', 'pose_sha256': '82a8ec3c40917bc663e7cf034d7eea8cfadf0b74267bd726b97a56180a88fa81', 'relative_transform_max_abs_error': 1.8989240828659604e-06, 'label_xy_max_abs_error': 1.3144531251896296e-05, 'source_rotation_max_orthogonality_error': 1.1491608130631548e-06, 'label_rows_checked': 605, 'max_ego_displacement_m': 4.271685849872371, 'max_ego_yaw_change_deg': 0.11997522222395164}
POSE INPUT VERIFIED seen_transfer {'sequence': '0006', 'scene': 'testoutput_CAV_data_2022-03-15-10-29-43_2', 'frames': 122, 'raw_frame_first': '000000', 'raw_frame_last': '000121', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0006.mat', 'pose_sha256': '2322c0f2b5fc97e4eb882f45d4cd83115ee1c31642d58472d9baf19cd5efbf04', 'relative_transform_max_abs_error': 4.7506733835689374e-07, 'label_xy_max_abs_error': 1.562500000318323e-05, 'source_rotation_max_orthogonality_error': 1.0779965601281916e-06, 'label_rows_checked': 970, 'max_ego_displacement_m': 0.012000000000000455, 'max_ego_yaw_change_deg': 0.010033561594283558}
POSE INPUT VERIFIED seen_transfer {'sequence': '0007', 'scene': 'testoutput_CAV_data_2022-03-15-16-00-17_0', 'frames': 148, 'raw_frame_first': '000000', 'raw_frame_last': '000147', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0007.mat', 'pose_sha256': '6a67199229d76dbd5b931cb785f7f85f0de85b841ab9c242ccda7b477d872d03', 'relative_transform_max_abs_error': 1.9034345086765825e-06, 'label_xy_max_abs_error': 1.4746093754069989e-05, 'source_rotation_max_orthogonality_error': 1.4169182500634037e-06, 'label_rows_checked': 568, 'max_ego_displacement_m': 3.430666990542843, 'max_ego_yaw_change_deg': 0.3402997524440397}
POSE INPUT VERIFIED seen_transfer {'sequence': '0008', 'scene': 'testoutput_CAV_data_2022-03-17-10-43-13', 'frames': 410, 'raw_frame_first': '000001', 'raw_frame_last': '000410', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0008.mat', 'pose_sha256': '225722d03d288bc6616be3de1df73d17c8575fde0aa797b3bb956a6b79a535cd', 'relative_transform_max_abs_error': 1.7762308672786276e-06, 'label_xy_max_abs_error': 1.6435546868365236e-05, 'source_rotation_max_orthogonality_error': 1.2809175601313783e-06, 'label_rows_checked': 6883, 'max_ego_displacement_m': 67.34347584591693, 'max_ego_yaw_change_deg': 3.9995736110178672}
POSE INPUT VERIFIED seen_transfer {'sequence': '0009', 'scene': 'testoutput_CAV_data_2022-03-17-10-50-46_3', 'frames': 315, 'raw_frame_first': '000000', 'raw_frame_last': '000314', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0009.mat', 'pose_sha256': '71d1e161f8da3b7f252e011b720f2b2959717080628ce48c8f91632a9faa6648', 'relative_transform_max_abs_error': 3.787337035987548e-06, 'label_xy_max_abs_error': 1.8232421879815774e-05, 'source_rotation_max_orthogonality_error': 1.1422310901565425e-06, 'label_rows_checked': 8008, 'max_ego_displacement_m': 1.8344237194279116, 'max_ego_yaw_change_deg': 0.6300177801563394}
POSE INPUT VERIFIED seen_transfer {'sequence': '0011', 'scene': 'testoutput_CAV_data_2022-03-17-11-51-42_7', 'frames': 107, 'raw_frame_first': '000000', 'raw_frame_last': '000106', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0011.mat', 'pose_sha256': '1575b722fe36eaf5156bcbc1554209f51d9a21346bc5cc1009bb31a6399230ca', 'relative_transform_max_abs_error': 1.9041275010067693e-06, 'label_xy_max_abs_error': 1.545410155756599e-05, 'source_rotation_max_orthogonality_error': 1.103223500109607e-06, 'label_rows_checked': 1369, 'max_ego_displacement_m': 2.002009240737894, 'max_ego_yaw_change_deg': 0.229980186694713}
POSE INPUT VERIFIED seen_transfer {'sequence': '0012', 'scene': 'testoutput_CAV_data_2022-03-17-12-04-22_0', 'frames': 124, 'raw_frame_first': '000000', 'raw_frame_last': '000123', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0012.mat', 'pose_sha256': '43b7542254ef4807bdf8c2935f65eaaf70cc71dee7dcdd82c2599bb714b64128', 'relative_transform_max_abs_error': 9.472337438864997e-07, 'label_xy_max_abs_error': 1.063232421927296e-05, 'source_rotation_max_orthogonality_error': 1.2320851490166262e-06, 'label_rows_checked': 1724, 'max_ego_displacement_m': 0.9045400875583127, 'max_ego_yaw_change_deg': 2.8899434192539015}
POSE INPUT VERIFIED seen_transfer {'sequence': '0013', 'scene': 'testoutput_CAV_data_2022-03-17-12-14-33_0', 'frames': 89, 'raw_frame_first': '000000', 'raw_frame_last': '000088', 'pose_path': 'trials/icra_reviewer_revision/pose_inputs/seen_transfer/poses_0013.mat', 'pose_sha256': '65bfa82143162015a47e88b985735b8909417b36617616c6445f1c89bd897232', 'relative_transform_max_abs_error': 9.469665158690077e-07, 'label_xy_max_abs_error': 1.584472656190883e-05, 'source_rotation_max_orthogonality_error': 1.1267672501702464e-06, 'label_rows_checked': 1364, 'max_ego_displacement_m': 1.7545301365322878, 'max_ego_yaw_change_deg': 0.18999602444584185}
