branch,commit,archive_tag,method_family,in_current_mainline,had_remote_branch
ablation,c965ec94c09f83523ffe11326677ea06deafdb65,ablation,legacy-fusion-and-paper-development,true,true
codex/dual-threshold-event-trigger,85d7d4a1ddfad5699923cf7ab94eab46f22714d2,codex/dual-threshold-event-trigger,legacy-posterior-communication,true,true
codex/effective-kla-graph-validation,5a1625bc130c9143f6f5697b936779d5331d2253,codex/effective-kla-graph-validation,legacy-posterior-communication,true,true
codex/effective-kla-lmb-paper-revision,b5ee09773d25758a341a6295951a3f3208eaaa56,codex/effective-kla-lmb-paper-revision,legacy-posterior-communication,false,true
codex/event-conditioned-h3,3bf0755841da06fadb54ad79db192a2aee2fc23e,codex/event-conditioned-h3,topology-scheduling-prototypes,true,true
codex/formation-fov-120-recalibration,0b79de3a681f7bded021053db1901f607ec536d4,codex/formation-fov-120-recalibration,scenario-and-topology-development,false,true
codex/freshness-weight-compare,362990fdf126ddd33ef701e3e1235d9ace96ea82,codex/freshness-weight-compare,legacy-fusion-and-paper-development,true,false
codex/h3-multiscale-analysis,de2663bc8b531cdd7d1a5505e5c293b7b820c71f,codex/h3-multiscale-analysis,scenario-and-topology-development,false,true
codex/heterogeneous-drop-compare,362990fdf126ddd33ef701e3e1235d9ace96ea82,codex/heterogeneous-drop-compare,legacy-fusion-and-paper-development,true,false
codex/ideal-common-scenario-ga-aa,58674f0b9a25e9274f4b45d53d97470cbb6e325c,codex/ideal-common-scenario-ga-aa,legacy-fusion-and-paper-development,true,true
codex/label-effective-oracle,1c70a43085f9016bfc1cc8243c00470e81eed1c9,codex/label-effective-oracle,source-and-oracle-diagnostics,false,true
codex/learned-dynamic-topology-scenarios,f00475dc6df00e5bd8e6ca1f16285812624d2694,codex/learned-dynamic-topology-scenarios,scenario-and-topology-development,true,true
codex/multirate-ct-fi-stress,83934e65fccbf1add0dbe6293c63705278e6bd77,codex/multirate-ct-fi-stress,legacy-fusion-and-paper-development,true,false
codex/multistyle-formation-scenes,a5b0fbe254e26a9487dbbceff9f8ef207833c3cf,codex/multistyle-formation-scenes,scenario-and-topology-development,false,true
codex/nonradial-scenarios-v2,99d0eefce7fc6d17053c34e9de277f421e738393,codex/nonradial-scenarios-v2,scenario-and-topology-development,true,true
codex/paper-writing-optimization,345f5182d062627ac70cc024995acadeddd01b6d,codex/paper-writing-optimization,legacy-fusion-and-paper-development,true,false
codex/posterior-bayes-risk-routing,706d99265d92028e13bb11af619b4d4a4007ec1d,codex/posterior-bayes-risk-routing,topology-scheduling-prototypes,true,true
codex/research-worktree,282ca8180510315424dbb488ce7cfd80e624115f,codex/research-worktree,legacy-posterior-communication,true,false
codex/structure-aware-decoupled-kla,9962e378cc2c62273b94ce74828084065292ddd3,codex/structure-aware-decoupled-kla,legacy-fusion-and-paper-development,true,true
codex/support-matched-scale-scenarios,7ff8d2dea250d32aaf289e8641ef1ebfcea1f9ea,codex/support-matched-scale-scenarios,scenario-and-topology-development,false,true
codex/target-overlap-scene,75c33179f01207527835e8fb8fd2023e862cffcc,codex/target-overlap-scene,scenario-and-topology-development,false,true
codex/topology-recovery-validation,ecaa01d19dc4f8b2cef2e979ebb27df8db222686,codex/topology-recovery-validation,legacy-posterior-communication,true,true
codex/topology-risk-aware-recovery,b9e7c67058a9d32e680fb64f54d6f6362ad5238a,codex/topology-risk-aware-recovery,legacy-posterior-communication,false,true
codex/v133-on-policy-teacher,de40c57b95b168948b7c6e7f2d21902e146fd8b8,codex/v133-on-policy-teacher,source-and-oracle-diagnostics,true,true
codex/v134-multistyle-generalization,dd90078326e796293fb4910e99498c58b8ccb71f,codex/v134-multistyle-generalization,source-and-oracle-diagnostics,false,true
codex/v135-lineage-isolated-relay,cd1ace287e8e5392f636f7aea7f72436c80a2b95,codex/v135-lineage-isolated-relay,source-and-oracle-diagnostics,false,true
codex/v143-role-multiplexed,7ea7ef6bfb5f2245baa6aa313432200441b21298,codex/v143-role-multiplexed,source-and-oracle-diagnostics,true,true
