sequence,condition,reference,er_minus_reference_ospa_m
0000,reliable,lineage,0.414500812430604
0001,reliable,lineage,1.3938287264755873
0002,reliable,lineage,-0.11293093286755695
0003,reliable,lineage,-0.30079408282090636
0004,reliable,lineage,-0.033077680631746986
0005,reliable,lineage,-0.15550526558715916
0006,reliable,lineage,0.20791800016822037
0007,reliable,lineage,0.05249621188180953
0008,reliable,lineage,-0.011904171941761299
0000,reliable,mil_support,-0.6504633163282709
0001,reliable,mil_support,0.02405308563529296
0002,reliable,mil_support,-1.294215159507714
0003,reliable,mil_support,-0.464069458239849
0004,reliable,mil_support,0.35152811658059857
0005,reliable,mil_support,-0.27724675898300166
0006,reliable,mil_support,-0.01798958801674644
0007,reliable,mil_support,-0.326219480532429
0008,reliable,mil_support,-0.07176362526662983
0000,reliable,tc_ospa2_w5,-1.08905548418887
0001,reliable,tc_ospa2_w5,-1.7419216119916845
0002,reliable,tc_ospa2_w5,-2.375285667434645
0003,reliable,tc_ospa2_w5,-0.5615762572861112
0004,reliable,tc_ospa2_w5,0.20111409067880004
0005,reliable,tc_ospa2_w5,-0.6317394727696621
0006,reliable,tc_ospa2_w5,-0.25101361759808327
0007,reliable,tc_ospa2_w5,-0.4881085526889475
0008,reliable,tc_ospa2_w5,-0.3973530416691421
0000,reliable,tc_ospa2_w10,-0.7699104048853465
0001,reliable,tc_ospa2_w10,-1.2859626216760747
0002,reliable,tc_ospa2_w10,-1.9598872566519816
0003,reliable,tc_ospa2_w10,-0.7057416677951398
0004,reliable,tc_ospa2_w10,0.1518571590459068
0005,reliable,tc_ospa2_w10,-0.6947014937899549
0006,reliable,tc_ospa2_w10,-0.04835146353330089
0007,reliable,tc_ospa2_w10,-0.4663100790649075
0008,reliable,tc_ospa2_w10,-0.5167988716109572
0000,intermittent,lineage,-0.1304007743523261
0001,intermittent,lineage,0.4606557975631489
0002,intermittent,lineage,0.00315260419168073
0003,intermittent,lineage,-0.10379517472343824
0004,intermittent,lineage,-0.047164474728802475
0005,intermittent,lineage,-0.13365308805064746
0006,intermittent,lineage,0.05040382025405066
0007,intermittent,lineage,0.011236252856484441
0008,intermittent,lineage,-0.014104804899681911
0000,intermittent,mil_support,-0.3891967381546282
0001,intermittent,mil_support,-0.17074840102889333
0002,intermittent,mil_support,-0.46254427827017164
0003,intermittent,mil_support,-0.4765084722763655
0004,intermittent,mil_support,0.1994562676428897
0005,intermittent,mil_support,-0.14865964830898548
0006,intermittent,mil_support,-0.13856324828165079
0007,intermittent,mil_support,-0.0407210703789147
0008,intermittent,mil_support,-0.07940823006259834
0000,intermittent,tc_ospa2_w5,-1.741466105155708
0001,intermittent,tc_ospa2_w5,-1.0100066170918476
0002,intermittent,tc_ospa2_w5,-0.30556913581206846
0003,intermittent,tc_ospa2_w5,-0.3452171003469795
0004,intermittent,tc_ospa2_w5,0.05270923794949045
0005,intermittent,tc_ospa2_w5,-0.7011216752427023
0006,intermittent,tc_ospa2_w5,-0.3116343689125438
0007,intermittent,tc_ospa2_w5,-1.02789948964997
0008,intermittent,tc_ospa2_w5,-0.6683355150314777
0000,intermittent,tc_ospa2_w10,-1.5970248993860796
0001,intermittent,tc_ospa2_w10,-0.8664835059967588
0002,intermittent,tc_ospa2_w10,-0.1440401333918242
0003,intermittent,tc_ospa2_w10,-0.4374557506294092
0004,intermittent,tc_ospa2_w10,0.0012634471519783474
0005,intermittent,tc_ospa2_w10,-0.7343111317102267
0006,intermittent,tc_ospa2_w10,-0.2107948776606996
0007,intermittent,tc_ospa2_w10,-1.0507740762264683
0008,intermittent,tc_ospa2_w10,-0.7691092439978283
