dataset,cohort,split,sequence,scene,recording,geometry,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_asymmetric,147,2.4132499879515246,2.986878221061812,1.2732600814521653,15.183673469387756,6.122448979591836,0.2687074829931973
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_er,147,2.6175947589940143,3.307663128448342,1.3339431341298043,14.204081632653061,10.53061224489796,0.2755102040816326
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_fixed_025,147,2.532670641536666,3.1650230524457665,1.234474451780692,14.938775510204081,8.571428571428571,0.272108843537415
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_fixedx_000,147,2.4931863000325607,3.0705175863587493,1.214188916858654,16.653061224489797,5.63265306122449,0.282312925170068
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_guarded_scalar,147,2.4132518976183985,2.9868809486308465,1.2732659723583635,15.183673469387756,6.122448979591836,0.2687074829931973
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_no_curvature,147,2.2984410097241676,2.848731911625065,1.2760808223640328,13.959183673469388,6.122448979591836,0.25170068027210885
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_projected_space,147,2.2984434631523,2.848735404465866,1.276084722459545,13.959183673469388,6.122448979591836,0.25170068027210885
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_lineage,147,2.5395482514421954,3.1271579668644116,1.2141880055959131,16.653061224489797,6.122448979591836,0.2891156462585034
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_asymmetric,147,1.979611037311224,2.4072117203215764,0.20249777447904754,14.693877551020408,4.408163265306122,0.22448979591836735
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_er,147,2.242465426652271,2.7810313707372782,0.2633034218581524,13.714285714285714,9.306122448979592,0.23809523809523808
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_fixed_025,147,2.1689412707612203,2.640040697651397,0.1629126955975226,14.693877551020408,6.857142857142857,0.24489795918367346
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_fixedx_000,147,2.054849406199961,2.4672353828310616,0.1435153741737037,16.163265306122447,3.4285714285714284,0.24489795918367346
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_guarded_scalar,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_no_curvature,147,1.9973690403082813,2.3800081941575324,0.19031832966701753,13.714285714285714,4.8979591836734695,0.23129251700680273
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_projected_space,147,2.0540331210216,2.436678047012996,0.19032139789624042,13.714285714285714,5.387755102040816,0.23809523809523808
v2v,development,test,0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_lineage,147,2.1112403445538552,2.5475354198425153,0.1435112359521936,16.163265306122447,4.408163265306122,0.24489795918367346
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_asymmetric,405,4.214056635209934,5.849782475381391,3.7830676239167156,3.8222222222222224,57.06666666666667,0.7790123456790123
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_er,405,4.441929844135956,6.181103314319057,3.616012117976045,4.177777777777778,61.06666666666667,0.8345679012345679
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence,405,4.297058559993291,5.959202773508073,3.6231632661140782,4.0,58.4,0.7950617283950617
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_fixed_025,405,4.343808190049482,6.070838195312178,3.6163333555355397,4.0,60.08888888888889,0.8185185185185185
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_fixedx_000,405,4.219935727007139,5.859586215014949,3.6163219290734943,4.177777777777778,57.06666666666667,0.7790123456790123
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_guarded_scalar,405,4.238564725828149,5.872947036154152,3.782856276310625,3.8222222222222224,57.06666666666667,0.7790123456790123
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_no_curvature,405,4.264893596106638,5.918822702201348,3.623745954716105,4.0,58.044444444444444,0.7901234567901234
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_projected_space,405,4.29706502787259,5.95921382883119,3.6232055760149544,4.0,58.4,0.7950617283950617
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_lineage,405,4.37468549306821,6.086674109047456,3.61552834442582,4.177777777777778,59.91111111111111,0.8185185185185185
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_asymmetric,405,3.752457896426865,4.916333187589803,0.7730699437269241,1.6,42.84444444444444,0.6123456790123457
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_er,405,3.8929865203315157,5.1500030466110225,0.6068295659276624,1.9555555555555555,45.68888888888889,0.6518518518518519
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence,405,3.9068683016236667,5.1235129485532545,0.584801610667442,1.7777777777777777,45.51111111111111,0.6469135802469136
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_fixed_025,405,3.857002216238211,5.1107186550165595,0.601106871011501,1.7777777777777777,45.68888888888889,0.6493827160493827
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_fixedx_000,405,3.545003393239408,4.6262024297956135,0.607070530838792,1.9555555555555555,38.93333333333333,0.5580246913580247
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_guarded_scalar,405,3.7697330919637837,4.946065498873661,0.7758371522523457,1.6,43.2,0.6172839506172839
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_no_curvature,405,3.887292194759983,5.079679844795783,0.5856080627071956,1.7777777777777777,44.62222222222222,0.6345679012345679
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_gaussian_evidence_projected_space,405,3.90687805968622,5.123529922341633,0.5849093467011494,1.7777777777777777,45.51111111111111,0.6469135802469136
v2v,seen_transfer,train,0001,testoutput_CAV_data_2022-03-15-09-54-40_1,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_lineage,405,3.700152391707231,4.824600187488498,0.6061280333100442,1.9555555555555555,41.06666666666667,0.5876543209876544
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_asymmetric,157,2.094408419303439,2.851955042238934,0.699660206622835,5.732484076433121,16.96815286624204,0.2961783439490446
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_er,157,2.267491488856701,3.126536517390598,0.6993744985026428,5.961783439490445,20.866242038216562,0.3471337579617834
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence,157,2.0942075076796547,2.8503982244018933,0.6867301808340944,5.503184713375796,16.96815286624204,0.2929936305732484
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_fixed_025,157,2.2480854664179932,3.0991247662313675,0.6941473633800299,5.732484076433121,20.866242038216562,0.34394904458598724
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_fixedx_000,157,2.2128572782931353,3.0527432453946193,0.6993734468624155,5.961783439490445,20.178343949044585,0.3375796178343949
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_guarded_scalar,157,2.0944081806971053,2.8519545684383227,0.699660340165271,5.732484076433121,16.96815286624204,0.2961783439490446
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_no_curvature,157,2.0942074150442656,2.8503980792946115,0.6867298938753321,5.503184713375796,16.96815286624204,0.2929936305732484
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_gaussian_evidence_projected_space,157,2.094207516309092,2.850398243861833,0.6867302243417288,5.503184713375796,16.96815286624204,0.2929936305732484
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,intermittent,marked_lineage,157,2.239410522937303,3.0792987092130804,0.6993753768190931,5.961783439490445,20.40764331210191,0.34076433121019106
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_asymmetric,157,1.929439110053756,2.609219752584358,0.5947098926969935,5.961783439490445,13.299363057324841,0.25477707006369427
v2v,seen_transfer,train,0002,testoutput_CAV_data_2022-03-15-09-54-40_2,testoutput_CAV_data_2022-03-15-09-54-40,all,reliable,marked_er,157,2.0725408397281098,2.7669040699744336,0.5944701645568033,6.420382165605096,14.21656050955414,0.27388535031847133
