cohort,sequence,condition,rule,frames,changed_robot_frames,ospa,gospa,loc2,miss2,false2,countError
new_recording_diagnostic,0000,reliable,original,409,0,2.7891469300589606,4.791739410506965,2.848362636545604,11.970660146699267,24.117359413202934,0.5012224938875306
new_recording_diagnostic,0000,reliable,restore_all_scalar,409,6,2.7644776881280118,4.756954847879278,2.848362636545604,11.970660146699267,23.765281173594133,0.49144254278728605
new_recording_diagnostic,0000,reliable,restore_positive_scalar,409,0,2.7891469300589606,4.800298900982891,2.848362636545604,11.970660146699267,24.293398533007334,0.49877750611246946
new_recording_diagnostic,0000,reliable,restore_negative_scalar,409,6,2.7644776881280118,4.748395357403353,2.848362636545604,11.970660146699267,23.589242053789732,0.4938875305623472
new_recording_diagnostic,0000,intermittent,original,409,0,3.054574397703049,5.209683185021723,4.987462412206425,14.17114914425428,24.557457212713935,0.5012224938875306
new_recording_diagnostic,0000,intermittent,restore_all_scalar,409,3,3.041847702261066,5.187192481688849,4.987462412206425,14.17114914425428,24.293398533007334,0.49755501222493886
new_recording_diagnostic,0000,intermittent,restore_positive_scalar,409,0,3.054574397703049,5.209683185021723,4.987462412206425,14.17114914425428,24.557457212713935,0.5012224938875306
new_recording_diagnostic,0000,intermittent,restore_negative_scalar,409,3,3.041847702261066,5.187192481688849,4.987462412206425,14.17114914425428,24.293398533007334,0.49755501222493886
development,0000,reliable,original,147,0,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808
development,0000,reliable,restore_all_scalar,147,0,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808
development,0000,reliable,restore_positive_scalar,147,0,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808
development,0000,reliable,restore_negative_scalar,147,0,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808
development,0000,intermittent,original,147,0,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885
development,0000,intermittent,restore_all_scalar,147,0,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885
development,0000,intermittent,restore_positive_scalar,147,0,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885
development,0000,intermittent,restore_negative_scalar,147,0,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885
development,0001,reliable,original,114,0,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296
development,0001,reliable,restore_all_scalar,114,0,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296
development,0001,reliable,restore_positive_scalar,114,0,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296
development,0001,reliable,restore_negative_scalar,114,0,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296
development,0001,intermittent,original,114,0,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456
development,0001,intermittent,restore_all_scalar,114,0,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456
development,0001,intermittent,restore_positive_scalar,114,0,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456
development,0001,intermittent,restore_negative_scalar,114,0,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456
development,0002,reliable,original,144,0,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667
development,0002,reliable,restore_all_scalar,144,0,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667
development,0002,reliable,restore_positive_scalar,144,0,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667
development,0002,reliable,restore_negative_scalar,144,0,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667
development,0002,intermittent,original,144,0,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333
development,0002,intermittent,restore_all_scalar,144,0,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333
development,0002,intermittent,restore_positive_scalar,144,0,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333
development,0002,intermittent,restore_negative_scalar,144,0,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333
development,0003,reliable,original,198,0,6.122249479331334,15.250273261067981,11.934718309063507,241.8181818181818,55.63636363636363,3.121212121212121
development,0003,reliable,restore_all_scalar,198,16,6.146094034415097,15.28272444980676,11.904163601705156,244.36363636363637,54.90909090909091,3.1666666666666665
development,0003,reliable,restore_positive_scalar,198,2,6.119295216122757,15.244202844038343,12.026386253323254,241.45454545454547,55.63636363636363,3.1161616161616164
development,0003,reliable,restore_negative_scalar,198,16,6.146094034415097,15.28272444980676,11.904163601705156,244.36363636363637,54.90909090909091,3.1666666666666665
development,0003,intermittent,original,198,0,6.629738284342926,16.1817846794556,10.327580337150478,262.90909090909093,60.36363636363637,3.3333333333333335
development,0003,intermittent,restore_all_scalar,198,9,6.637353163434781,16.10668459976383,10.154999574753578,263.45454545454544,58.54545454545455,3.3661616161616164
development,0003,intermittent,restore_positive_scalar,198,6,6.623484155000141,16.176973427245134,10.341803763126823,262.1818181818182,60.72727272727273,3.3181818181818183
development,0003,intermittent,restore_negative_scalar,198,5,6.6404922260469865,16.104210159535345,10.140852689517553,263.8181818181818,58.18181818181818,3.3762626262626263
development,0004,reliable,original,180,0,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222
development,0004,reliable,restore_all_scalar,180,28,5.030592648223381,20.631782580810263,60.80563219139066,335.2,46.8,4.0055555555555555
development,0004,reliable,restore_positive_scalar,180,2,5.00163072746422,20.589349600155952,61.15991979919887,331.2,48.8,3.922222222222222
development,0004,reliable,restore_negative_scalar,180,26,5.03055980499621,20.631549166147938,60.79092179893378,335.2,46.8,4.0055555555555555
development,0004,intermittent,original,180,0,5.157977066480075,21.18528848483337,57.55235961007309,354.8,53.2,4.188888888888889
development,0004,intermittent,restore_all_scalar,180,14,5.171971898093701,21.207249997285622,57.10217557158692,357.4,52.2,4.238888888888889
development,0004,intermittent,restore_positive_scalar,180,1,5.15799348809366,21.185405192164534,57.55971480630153,354.8,53.2,4.188888888888889
