sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes,runtime_s,maximum_bernoulli_count
0000,reliable,qualified_exist,147,3.8487297657742148,4.870508607059032,0.24534976607055414,15.673469387755102,27.918367346938776,0.48299319727891155,72.13283122474286,630,750504,4854528,2.564729916666667,23
0000,reliable,ceiling_association,147,3.8534867080126607,4.891096268840735,0.15900317871235276,16.653061224489797,27.428571428571427,0.47619047619047616,46.746934541431656,626,714864,4854528,1.3575335,22
0000,reliable,ceiling_score,147,3.1632761168668186,3.9620620037178607,0.2224833910948967,17.142857142857142,17.632653061224488,0.36054421768707484,65.4101169818995,624,791328,4854528,1.3727405416666667,24
0000,reliable,ceiling_calibrated,147,3.255156269601186,4.07759246719676,0.2256839519219055,16.653061224489797,19.102040816326532,0.3741496598639456,66.35108186504017,626,741000,4854528,1.3726287916666666,24
0000,intermittent,qualified_exist,147,3.96132069559732,5.108084014450409,1.373065492853881,15.918367346938776,27.918367346938776,0.48639455782312924,403.6812548990412,629,768432,4854528,1.1050118333333334,22
0000,intermittent,ceiling_association,147,4.090472353207834,5.286348952153816,1.2933724642484854,16.653061224489797,29.387755102040817,0.5034013605442177,380.2515044890547,626,778368,4854528,1.121689125,23
0000,intermittent,ceiling_score,147,3.9239703263240706,5.0382925451851674,1.291992325631732,17.632653061224488,24.73469387755102,0.4523809523809524,379.84574373572906,622,843384,4854528,1.230600125,26
0000,intermittent,ceiling_calibrated,147,3.857828945024865,4.932490585067233,1.3688972726729052,16.408163265306122,24.489795918367346,0.4523809523809524,402.45579816583415,627,776424,4854528,1.0647020416666666,24
0001,reliable,qualified_exist,114,7.193531192082701,6.897881157712179,0.8374250780432799,22.105263157894736,49.89473684210526,0.8947368421052632,190.93291779386786,114,509712,3764736,0.93773125,30
0001,reliable,ceiling_association,114,6.974797538495548,6.641864031584281,0.8374063765900462,22.105263157894736,45.473684210526315,0.8333333333333334,190.92865386253055,114,505176,3764736,0.9182252916666667,26
0001,reliable,ceiling_score,114,5.2290008979933935,5.05208014205048,0.8501982020541429,22.105263157894736,27.157894736842106,0.5964912280701754,193.84519006834455,114,535200,3764736,1.01324475,29
0001,reliable,ceiling_calibrated,114,5.5496273247967425,5.329114364436227,0.8374063740457849,22.105263157894736,30.31578947368421,0.6403508771929824,190.928653282439,114,532392,3764736,0.9430410833333334,29
0001,intermittent,qualified_exist,114,7.101120952344334,7.338679276755113,0.8332113634674999,21.789473684210527,60.94736842105263,1.043859649122807,189.97219087058994,115,472128,3764736,0.7125069166666667,26
0001,intermittent,ceiling_association,114,7.107099578554011,7.316904832894619,0.8332119474266317,21.789473684210527,60.94736842105263,1.043859649122807,189.97232401327202,115,470616,3764736,0.7466375,25
0001,intermittent,ceiling_score,114,6.09107211466332,5.988759084585631,0.8460057720684225,21.789473684210527,40.421052631578945,0.8114035087719298,192.88931603160034,115,498048,3764736,0.7649152083333334,27
0001,intermittent,ceiling_calibrated,114,6.248590959518581,6.100525238889036,0.8332139253951184,21.789473684210527,41.05263157894737,0.8026315789473685,189.9727749900869,115,499344,3764736,0.7587935833333334,28
0002,reliable,qualified_exist,144,5.091669890505766,4.763774508526266,0.922989083235725,22.5,24.5,0.4583333333333333,265.8208559718888,122,473184,4755456,0.9749764583333334,17
0002,reliable,ceiling_association,144,5.190043501341011,4.791583507855602,0.936596113357839,22.0,24.0,0.4861111111111111,269.73968064705764,124,385272,4755456,0.9460891666666666,14
0002,reliable,ceiling_score,144,4.848019546868167,4.335133627498414,0.928242960653693,22.5,17.0,0.4097222222222222,267.33397266826364,122,394344,4755456,0.9379417083333333,16
0002,reliable,ceiling_calibrated,144,4.955143472119874,4.526336549890415,0.9365969100247435,22.0,20.5,0.4375,269.7399100871263,124,400176,4755456,0.9175930416666667,14
0002,intermittent,qualified_exist,144,6.148642871696854,5.4999837056093535,1.6750340016967253,21.25,30.25,0.5555555555555556,482.40979248865693,127,504072,4755456,1.0248140833333332,19
0002,intermittent,ceiling_association,144,6.152524762355763,5.487478069641983,1.6879717599200545,21.25,30.0,0.5659722222222222,486.13586685697567,127,485928,4755456,1.0090835833333334,18
0002,intermittent,ceiling_score,144,5.944974958930142,5.111390545621173,1.6798800109848613,22.25,23.0,0.5034722222222222,483.8054431636402,123,495648,4755456,1.0231092916666666,18
0002,intermittent,ceiling_calibrated,144,5.998012823976072,5.276166297702648,1.687972913905183,21.25,26.75,0.5208333333333334,486.13619920469273,127,492840,4755456,0.9905547916666667,18
