dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0000,reliable,GCE,testoutput_CAV_data_2022-03-15-09-54-40,original,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,2.2448979591836733
v2v_development,0000,reliable,GCE,testoutput_CAV_data_2022-03-15-09-54-40,paired_veto,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,2.2448979591836733
v2v_development,0000,reliable,GCE,testoutput_CAV_data_2022-03-15-09-54-40,positive_rejected_veto,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,2.2448979591836733
v2v_development,0000,reliable,GCE,testoutput_CAV_data_2022-03-15-09-54-40,negative_rejected_veto,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,2.2448979591836733
v2v_development,0000,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,original,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,2.2244897959183674
v2v_development,0000,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,paired_veto,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,2.2244897959183674
v2v_development,0000,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,positive_rejected_veto,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,2.2244897959183674
v2v_development,0000,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,negative_rejected_veto,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,2.2244897959183674
v2v_development,0000,intermittent,GCE,testoutput_CAV_data_2022-03-15-09-54-40,original,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,2.251700680272109
v2v_development,0000,intermittent,GCE,testoutput_CAV_data_2022-03-15-09-54-40,paired_veto,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,2.251700680272109
