condition,robot,frame,fused_record,near_target,actual_r,noage_r,actual_extracted,noage_extracted,reference_r,base_r,base_direction,actual_direction,extra_scalar,integral_change,negative_reversal,positive_reversal
reliable,1,1,False,False,,,False,False,,,,,,,False,False
reliable,1,2,False,False,,,False,False,,,,,,,False,False
reliable,1,3,True,False,0.01103786738763042,0.010723883201276882,False,False,0.003169719856155823,0.011037867387630419,1.2556131228423562,1.2556131228423562,0.0,0.0,False,False
reliable,1,4,True,False,0.0075715592092868425,0.012226323686394883,False,False,0.010927488713754192,0.012472278816203145,0.13379005020353674,-0.37026975980655286,-0.5291091625421297,0.025049352532040103,True,False
reliable,1,5,True,False,0.009674220161564074,0.010987571810385231,False,False,0.002742008978556744,0.009674220161564074,1.267749320891216,1.267749320891216,0.0,0.0,False,False
reliable,1,6,True,False,0.010343591361802549,0.009072435109343064,False,False,0.003101583580152413,0.010343591361802549,1.2117453770842976,1.2117453770842976,0.0,0.0,False,False
reliable,1,7,True,False,0.0029330616297750032,0.008072409995017004,False,False,0.010240155448184811,0.0074889876771550914,-0.3156589437753201,-1.2576255727274332,-0.9419666289521096,-3.552713678800501e-15,False,False
reliable,1,8,True,False,0.004702775726549109,0.008235233869171877,False,False,0.0017044569399834947,0.004702775726549114,1.01791432217101,1.01791432217101,0.0,0.0,False,False
reliable,1,9,True,False,0.00570564602281919,0.007822315487083795,False,False,0.0021591688288021124,0.005705646022819188,0.9752933509549893,0.9752933509549893,0.0,0.0,False,False
reliable,1,10,True,True,0.007429875547247513,0.008419114156488664,False,False,0.002378936930844037,0.007429875547247514,1.1439312318295185,1.1439312318295185,0.0,0.0,False,False
reliable,1,11,True,True,0.007313970959514737,0.007807922659846929,False,False,0.0027161113619655103,0.007313970959514739,0.9952061806308308,0.9952061806308308,0.0,0.0,False,False
reliable,1,12,True,True,0.0081980353328458,0.00808517392631185,False,False,0.0026947446799354706,0.008198035332845802,1.1181245125411898,1.1181245125411898,0.0,0.0,False,False
reliable,1,13,True,True,0.007890377777603515,0.007764104046376623,False,False,0.002853764752792652,0.007890377777603515,1.0220687528318226,1.0220687528318226,0.0,0.0,False,False
reliable,1,14,True,True,0.020472751625394362,0.019626318072761294,False,False,0.007811473999827476,0.02047275161687992,0.9763442140879541,0.9763442145125381,4.1844481606159894e-10,6.139089236967266e-12,False,False
reliable,1,15,True,True,0.04366502182099214,0.041946492670685454,False,False,0.020268024109140133,0.04366502176693098,0.7916736801844326,0.7916736814790509,1.258085795851094e-09,3.653255475910555e-11,False,False
reliable,1,16,True,True,0.08928556789934146,0.08627855525241555,False,False,0.043228371602782215,0.08928556783227537,0.7746781790316257,0.774678179856408,7.969130348292334e-10,2.786926245335053e-11,False,False
reliable,1,17,True,True,0.17509097792041328,0.17025682144493673,False,False,0.0883927122203486,0.17509097785526237,0.7834523747626645,0.7834523752137417,4.359604046694331e-10,1.511679670329613e-11,False,False
reliable,1,18,True,True,0.3244741417232502,0.31701611643165317,False,False,0.17334006814120909,0.3244741417073234,0.828852436202562,0.8288524362752238,7.029649998633009e-11,2.3652191316614335e-12,False,False
reliable,1,19,True,True,0.5315362874280165,0.5220908564019009,True,False,0.32122940030601616,0.5315362874010725,0.8744405344237476,0.8744405345319537,1.0517301350829746e-10,3.0331293032759277e-12,False,False
