sequence,sensor,frame,score,distance_sensor,positive_3m,positive_12m
0000,ego,0,0.552287,20.69173483787245,1,1
0000,ego,0,0.368718,38.2203648639037,0,0
0000,ego,0,0.223035,23.90847774274665,0,0
0000,ego,1,0.627138,20.584780097499447,1,1
0000,ego,1,0.353661,39.32804745888789,0,0
0000,ego,1,0.256004,23.26835480276784,0,0
0000,ego,2,0.617068,20.511004668588598,1,1
0000,ego,2,0.330888,30.795041868977545,0,0
0000,ego,2,0.263033,37.7575946644603,0,0
0000,ego,2,0.203797,39.89351071150701,0,0
0000,ego,3,0.623945,20.461254542612267,1,1
0000,ego,3,0.298875,29.40415079443494,0,0
0000,ego,3,0.22617,39.869574921481934,0,0
0000,ego,4,0.587489,20.291964108932735,1,1
0000,ego,4,0.282673,28.354210125169242,0,0
0000,ego,4,0.222583,22.93830065321579,0,0
0000,ego,5,0.580146,20.40128904455458,1,1
0000,ego,5,0.258786,29.84792648634677,0,0
0000,ego,5,0.243895,26.90679911643345,0,0
0000,ego,6,0.560294,20.405510115728042,1,1
0000,ego,6,0.251558,39.06507348637747,0,0
0000,ego,7,0.579362,20.409979418134732,1,1
0000,ego,7,0.288506,37.77570247039027,0,0
0000,ego,7,0.269909,11.779620198610141,0,0
0000,ego,8,0.57214,20.198936945447265,1,1
0000,ego,8,0.267972,39.017909078325815,0,0
0000,ego,8,0.235972,36.42596696811883,0,0
0000,ego,8,0.227816,23.802964494467425,0,0
0000,ego,9,0.581633,20.09240842227868,1,1
0000,ego,10,0.647353,20.08862714921744,1,1
0000,ego,10,0.220581,20.36833856143245,0,0
0000,ego,10,0.214868,22.05779145741053,0,0
0000,ego,10,0.211574,35.99316273095928,0,0
0000,ego,11,0.619952,19.903165602048066,1,1
0000,ego,11,0.263517,37.56801688383109,0,0
0000,ego,11,0.262533,35.76696416710392,0,0
0000,ego,12,0.598877,19.80436156890705,1,1
0000,ego,12,0.233319,33.719231122706994,0,0
0000,ego,13,0.578036,19.820156138573463,1,1
0000,ego,13,0.239377,35.36554510334692,0,0
0000,ego,14,0.463,19.754904213311733,1,1
0000,ego,15,0.590027,19.84306637353732,1,1
0000,ego,15,0.224507,26.893352165538605,0,0
0000,ego,16,0.640647,19.815669454912758,1,1
0000,ego,16,0.213993,38.57551414089644,0,0
0000,ego,17,0.65096,19.680717858374912,1,1
0000,ego,17,0.34172,27.89225255475242,0,0
0000,ego,17,0.208577,20.532208372079943,0,0
0000,ego,18,0.610416,19.722571446186056,1,1
0000,ego,18,0.252922,32.92530032482188,0,0
0000,ego,19,0.549464,19.53619522449178,1,1
0000,ego,19,0.247993,33.404813216169146,0,0
0000,ego,20,0.56082,19.610331707623736,1,1
0000,ego,20,0.399594,28.49989945582068,0,0
0000,ego,20,0.329402,31.597124527352676,0,0
0000,ego,21,0.57503,19.593772103733272,1,1
0000,ego,22,0.464897,19.470667631231333,1,1
0000,ego,23,0.591039,19.606279728893796,1,1
0000,ego,23,0.349888,39.693723607923566,0,0
0000,ego,24,0.557144,19.80968763628561,1,1
0000,ego,25,0.582922,19.720267016240747,1,1
0000,ego,25,0.348852,36.46117668228676,0,0
0000,ego,26,0.675235,19.72020585037205,1,1
0000,ego,27,0.590233,19.73715973325795,1,1
0000,ego,27,0.296055,29.61403808724655,0,0
0000,ego,28,0.617894,19.761457614679042,1,1
0000,ego,28,0.328222,30.9589531015321,0,0
0000,ego,28,0.220642,34.91445518100681,0,0
0000,ego,29,0.693413,19.943826954117398,1,1
0000,ego,29,0.444851,32.257457382212415,0,0
0000,ego,30,0.719779,20.035329933592276,1,1
0000,ego,30,0.299838,33.963224641140386,0,0
0000,ego,31,0.791668,19.996760226663383,1,1
0000,ego,32,0.804475,20.059270460173412,1,1
0000,ego,32,0.242799,35.91626582567715,0,0
0000,ego,33,0.806459,20.105733112608487,1,1
0000,ego,33,0.311739,37.78643375401422,0,0
0000,ego,34,0.794606,20.259419882843062,1,1
0000,ego,34,0.246103,39.84096305490981,0,0
0000,ego,34,0.204977,32.182467970289736,0,0
0000,ego,35,0.805048,20.375454911895968,1,1
0000,ego,35,0.306829,32.0446860627788,0,0
0000,ego,35,0.240862,16.02378438149303,0,0
0000,ego,36,0.802263,20.428055626366145,1,1
0000,ego,36,0.295987,33.68519630970216,0,0
0000,ego,37,0.796834,20.467839791129375,1,1
0000,ego,37,0.26111,36.518760638706304,0,0
0000,ego,37,0.225814,35.316208945111775,0,0
0000,ego,38,0.819888,20.533570463890634,1,1
0000,ego,38,0.575367,39.92082365161622,1,1
0000,ego,38,0.353473,37.014959524942626,0,0
0000,ego,38,0.346868,37.937384733267066,0,0
0000,ego,39,0.766551,20.74650082967695,1,1
0000,ego,39,0.74913,39.54400132725115,1,1
0000,ego,40,0.799906,39.100540864626375,1,1
0000,ego,40,0.793218,20.758569467016006,1,1
0000,ego,40,0.27771,34.08254549158675,0,0
0000,ego,41,0.742027,38.84302624016199,1,1
