sequence,condition,candidate,reference,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,support,candidate_sse,reference_sse,candidate_rmse,reference_rmse
0000,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.05666346849320392,0.056668980934988955,2.5093617425919756e-06,0.0,0.4897959183673466,0.006802721088435354,16544,16544,0,638,55.95432667445547,55.95358892210315,0.2961464272725468,0.2961444749351986
0000,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.056657495461633234,0.05666034143787657,-1.6541500305777834e-05,0.0,0.4897959183673466,0.006802721088435354,-54912,-54912,0,638,55.95432667445547,55.95918987554538,0.2961464272725468,0.29615929659312584
0000,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.9194108496786519,-1.3498923372131242,-0.0599852695487022,1.9591836734693864,-15.673469387755102,-0.12244897959183676,-48576,-48576,0,638,55.95432667445547,48.73435001954381,0.2961464272725468,0.27638040552339943
0000,reliable,marked_gaussian_evidence,marked_asymmetric,0.07442147149026135,0.029465454770944977,-0.012176935450287418,-0.979591836734695,0.9795918367346941,0.013605442176870736,354752,354752,0,634,48.77680648019607,59.534345696839985,0.27737163877008064,0.3064355616847485
0000,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,1.2761631973390308e-06,1.7838800330238769e-06,1.987938133884981e-06,0.0,0.0,0.0,4576,4576,0,637,375.168346228837,375.16776177502567,0.7674381389157946,0.7674375411410563
0000,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-2.6244389412788394e-06,-3.969161918249142e-06,-1.1786950031122956e-05,0.0,0.0,0.0,-7040,-1408,0,637,375.168346228837,375.17181159214607,0.7674381389157946,0.7674416832524292
0000,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.6273298820581039,-0.9388465423803147,-0.0701789481377586,1.9591836734693882,-12.0,-0.07142857142857145,10208,10560,0,637,375.168346228837,367.47241446703083,0.7674381389157946,0.7595260176806324
0000,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.11480770206415958,-0.13814452555671375,0.0028227288500013437,-1.2244897959183678,0.0,-0.017006802721088454,346912,258592,0,632,365.03207191503884,374.3384639469366,0.7599884158792364,0.7696152909854186
0001,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,2.567590584590107e-09,2.7983895201089126e-09,-1.0037876974067217e-08,0.0,0.0,0.0,352,352,0,124,196.42712060292587,196.42712289156182,1.2586062459250948,1.2586062532573092
0001,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.21054101214185295,-0.14888536882971692,-2.8452373830423205e-05,0.0,-1.2631578947368425,-0.017543859649122806,-45408,-45408,0,124,196.42712060292587,196.4336077441592,1.2586062459250948,1.2586270289234884
0001,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-2.832734695738398,-2.375754268217487,0.002191145199847977,0.0,-25.894736842105264,-0.32456140350877194,-28512,-28512,0,124,196.42712060292587,195.9275394973605,1.2586062459250948,1.2570046946603137
0001,reliable,marked_gaussian_evidence,marked_asymmetric,-0.011051925325524792,-0.013685879286152947,-0.033518756177077,0.0,0.0,0.0,215280,215280,0,124,196.42712060292587,204.06939701129937,1.2586062459250948,1.2828565561431688
0001,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,5.498730359931869e-10,-6.851497147408736e-11,-1.3709697710417856e-08,0.0,0.0,0.0,-3168,-1760,0,124,196.60120866186688,196.601211787678,1.2591638567878534,1.2591638667977318
0001,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.10526420411916693,-0.0744338374378275,-4.339006318354599e-06,0.0,-0.6315789473684212,-0.00877192982456143,-17248,-17952,0,124,196.60120866186688,196.60219795530747,1.2591638567878534,1.2591670248278304
0001,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-1.8022419558230824,-1.4982376972299418,0.001583565822992794,0.0,-16.105263157894736,-0.20614035087719296,-9856,-4928,0,124,196.60120866186688,196.24015565422454,1.2591638567878534,1.2580071146210958
0001,intermittent,marked_gaussian_evidence,marked_asymmetric,0.004188298826162118,0.022450036591915357,-0.02238614959786256,0.0,0.6315789473684212,0.00877192982456143,304776,221288,0,124,196.60120866186688,201.7052507701796,1.2591638567878534,1.2754039548890421
0002,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.0,0.0,0.0,0.0,0.0,0.0,1056,1056,0,122,24.302964939554904,24.302964939554904,0.4463234596703263,0.4463234596703263
0002,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,0.13596216785445536,0.1360178165038688,-0.001023356345423887,0.5,1.0,0.006944444444444475,-60192,-60192,0,122,24.302964939554904,24.30288571644321,0.4463234596703263,0.4463227322043113
0002,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.4861219360510898,-0.4929735195565028,-0.012337313810435582,3.0,-6.5,-0.10416666666666663,-61248,-61248,0,122,24.302964939554904,23.894223715570263,0.4463234596703263,0.44255428226442
0002,reliable,marked_gaussian_evidence,marked_asymmetric,-0.028911494165789975,-0.004509592799860407,-0.0011569389448397305,0.0,0.0,0.0,174928,174928,0,120,23.869368955713988,24.257602660567578,0.4459948519481847,0.44960726065985984
