sequence,condition,candidate,reference,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,support,candidate_sse,reference_sse,candidate_rmse,reference_rmse
0001,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.019576106863683496,0.04383310375747129,-0.0008064520397536024,0.0,0.8888888888888928,0.012345679012345734,-286528,-286528,0,2104,473.68930464062805,474.3425307928284,0.474486566939067,0.4748136170216046
0001,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.011110101184060639,-0.01195499104570441,0.0021771250826775335,0.0,0.0,0.0,-386144,-386144,0,2104,473.68930464062805,471.92583332365916,0.474486566939067,0.47360252368310024
0001,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.6608717399426967,-1.116212044927324,-0.0017692566581629654,0.0,-16.355555555555554,-0.22716049382716053,315392,315392,0,2104,473.68930464062805,475.1224025337399,0.474486566939067,0.4752037798491887
0001,reliable,marked_gaussian_evidence,marked_asymmetric,0.15441040519680183,0.20717976096345136,-0.1882683330594821,0.1777777777777776,2.6666666666666714,0.03456790123456788,1322512,1322512,0,2104,473.68930464062805,483.6141268309667,0.474486566939067,0.4794315623929241
0001,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.03216496388665302,0.04038007130672483,-0.0005826886020265931,0.0,0.3555555555555543,0.004938271604938316,155232,116864,0,2079,2934.762245552404,2935.234223320045,1.1881170193767776,1.1882125539086072
0001,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.06881070349679774,-0.10087179954257763,0.0022931883193999525,0.0,-1.1555555555555586,-0.016049382716049387,-467456,-373824,0,2079,2934.762245552404,2932.9047630136897,1.1881170193767776,1.1877409657573432
0001,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.4916794140494565,-0.7683464796126307,0.0006245830877662506,0.0,-10.31111111111111,-0.14320987654320982,304128,170016,0,2079,2934.762245552404,2934.256333251313,1.1881170193767776,1.1880146075165023
0001,intermittent,marked_gaussian_evidence,marked_asymmetric,0.08300192478335688,0.10942029812668164,-0.15990435780263734,0.1777777777777776,1.3333333333333286,0.016049382716049387,1653480,1155040,0,2079,2934.762245552404,2921.712247784698,1.1881170193767776,1.1854724781830392
0002,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,8.008854834873347e-07,1.5090006275642054e-06,2.4913808268633986e-06,0.0,0.0,0.0,69344,69344,0,948,185.58013069708943,185.57934840350978,0.44244732063491377,0.44244638808879005
0002,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,3.5522510417607123e-06,4.6992987594585145e-06,7.922849855068748e-06,0.0,0.0,0.0,75328,75328,0,948,185.58013069708943,185.57764292223493,0.44244732063491377,0.4424443550345462
0002,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.3438245407454361,-0.5763062521902231,-0.001523797923350667,0.0,-8.713375796178342,-0.10828025477707004,85888,85888,0,948,185.58013069708943,186.05860324502157,0.44244732063491377,0.44301732405694894
0002,reliable,marked_gaussian_evidence,marked_asymmetric,-0.018124228660628683,-0.025992242380505903,-0.003690368183969839,-0.4585987261146496,0.0,-0.006369426751592355,496360,496360,0,946,185.54376237340773,186.73890630685594,0.4428713756419693,0.44429542091179386
0002,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,9.263538913728553e-08,1.4510728174599308e-07,2.869587623077763e-07,0.0,0.0,0.0,1760,1760,0,948,215.63327678190564,215.63318667685428,0.47692899097053276,0.4769288913251618
0002,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-2.8693617602382204e-05,-4.058108631843638e-05,-9.74390289165683e-05,0.0,0.0,0.0,-66528,-60896,0,948,215.63327678190564,215.66387263698545,0.47692899097053276,0.47696282510999166
0002,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.2100519273438195,-0.36363696531906786,0.0005218175266361591,0.0,-5.273885350318469,-0.060509554140127375,-93984,-65472,0,948,215.63327678190564,215.46942607854191,0.47692899097053276,0.4767477573449958
0002,intermittent,marked_gaussian_evidence,marked_asymmetric,-0.00020091162378443883,-0.0015568178370406471,-0.012930025788740585,-0.2292993630573248,0.0,-0.0031847133757961776,362112,266584,0,946,215.5969084582239,219.1467021617815,0.4773926148670752,0.48130669366154194
0003,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.006247782476703545,0.008534213685043035,-0.01039110672870236,0.05787781350482302,0.057877813504823905,0.0016077170418006548,-220000,-220000,0,6944,2372.86231784212,2397.2832568196327,0.584563121885094,0.5875635146591283
0003,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.019577176097928417,-0.036298787011565636,-0.0836073109247083,0.23151125401929296,-0.6366559485530541,-0.00562700964630225,-1677280,-1677280,0,6946,2373.4900706481144,2397.280498589142,0.5845562659171923,0.5874785804047422
0003,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.3722136479137761,-0.6319479997601598,-0.2115323079649819,1.215434083601286,-9.144694533762058,-0.09565916398713828,-2138400,-2138400,0,6944,2373.483671125334,2171.297584994467,0.5846396531775692,0.5591841058171377
0003,reliable,marked_gaussian_evidence,marked_asymmetric,0.041709297569471504,0.0440069822086393,-0.017956707584716458,0.05787781350482302,0.3472668810289399,0.00562700964630225,5761304,5761304,0,6944,2372.86231784212,2416.10658279809,0.584563121885094,0.5898657611578764
0003,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,0.0119910272091317,0.01706345434344314,0.022241273565529962,0.05787781350482213,0.05787781350482213,0.000803858520900369,-32736,-26752,0,6756,3467.426675216323,3484.106311800776,0.7164053534379992,0.7181263768737011
0003,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_history,-0.022120457572312846,-0.0651816171421502,-0.25432160544333793,0.20257234726688012,-1.1864951768488758,-0.006430868167202564,-120384,-5280,0,6754,3536.680729525475,3578.871246173203,0.7236313937817717,0.727934845437714
0003,intermittent,marked_gaussian_evidence,marked_gaussian_evidence_no_mark,-0.3581542138393745,-0.5575627867913369,-0.14198859493854088,1.0996784565916382,-8.016077170418006,-0.0888263665594855,-961312,-587488,0,6758,3541.50319636568,3246.586104940139,0.7239102489875249,0.6931135179485163
0003,intermittent,marked_gaussian_evidence,marked_asymmetric,0.05267946755857933,0.08068873043950697,0.09331160069724298,0.028938906752410176,0.694533762057878,0.007636655948553062,5654472,3857576,0,6753,3261.315181664911,3303.1173575464045,0.6949411221716508,0.6993806739156478
0004,reliable,marked_gaussian_evidence,marked_gaussian_evidence_no_curvature,-0.04804952182265021,-0.09671783646469256,-0.3951084150040005,0.0,-1.0827067669172932,0.0,18656,18656,0,360,319.41251805307786,424.51135644414205,0.9419432013618884,1.085908933725494
