dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0000,reliable,GCE,testoutput_CAV_data_2022-03-15-09-54-40,original,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,2.2448979591836733
v2v_development,0000,reliable,GCE,testoutput_CAV_data_2022-03-15-09-54-40,joint_mark,147,2.0544479694599533,2.4373576827714034,0.1924114646983022,13.714285714285714,5.387755102040816,0.23809523809523808,2.2448979591836733
v2v_development,0000,reliable,GCE,testoutput_CAV_data_2022-03-15-09-54-40,conditional,147,2.0117837323867174,2.5170387463982267,0.21348616951108776,12.244897959183673,8.326530612244898,0.21768707482993196,2.306122448979592
v2v_development,0000,reliable,GCE,testoutput_CAV_data_2022-03-15-09-54-40,joint,147,1.9967687366566078,2.4019717713411874,0.17925927727971533,13.224489795918368,5.877551020408164,0.22448979591836735,2.258503401360544
v2v_development,0000,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,original,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,2.2244897959183674
v2v_development,0000,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,joint_mark,147,2.073741538838787,2.5050755486360377,0.1642559477468487,15.183673469387756,4.8979591836734695,0.23809523809523808,2.2176870748299318
v2v_development,0000,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,conditional,147,2.010904631960579,2.4982158089218607,0.30971477655173224,12.73469387755102,7.346938775510204,0.2108843537414966,2.2857142857142856
v2v_development,0000,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,joint,147,2.053413198750688,2.476107391087074,0.22924672996582843,14.204081632653061,5.387755102040816,0.23129251700680273,2.238095238095238
v2v_development,0000,intermittent,GCE,testoutput_CAV_data_2022-03-15-09-54-40,original,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,2.251700680272109
v2v_development,0000,intermittent,GCE,testoutput_CAV_data_2022-03-15-09-54-40,joint_mark,147,2.2988180057113263,2.8493579963533806,1.2779838514530784,13.959183673469388,6.122448979591836,0.25170068027210885,2.251700680272109
v2v_development,0000,intermittent,GCE,testoutput_CAV_data_2022-03-15-09-54-40,conditional,147,2.2972943941519044,2.9685581579205182,1.2973191883606119,12.979591836734693,9.306122448979592,0.22108843537414966,2.3095238095238093
v2v_development,0000,intermittent,GCE,testoutput_CAV_data_2022-03-15-09-54-40,joint,147,2.3448250156906716,2.9522281654212748,1.2663440290477277,13.46938775510204,8.081632653061224,0.24489795918367346,2.2857142857142856
v2v_development,0000,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,original,147,2.4132518976183985,2.9868809486308465,1.2732659723583635,15.183673469387756,6.122448979591836,0.2687074829931973,2.2346938775510203
v2v_development,0000,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,joint_mark,147,2.4510209753196968,3.028391099524899,1.2347027253878846,15.673469387755102,6.122448979591836,0.2755102040816326,2.227891156462585
v2v_development,0000,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,conditional,147,2.339042867452982,3.0028886947465976,1.380161554192768,13.224489795918368,8.816326530612244,0.23129251700680273,2.2993197278911564
v2v_development,0000,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-09-54-40,joint,147,2.4770538214730546,3.103862692654914,1.2996935076068645,14.693877551020408,8.081632653061224,0.2619047619047619,2.2687074829931975
v2v_development,0001,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,original,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296,0.7719298245614035
v2v_development,0001,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,joint_mark,114,4.107940720794446,3.991461171754745,0.8587796866843218,19.57894736842105,16.42105263157895,0.4649122807017544,0.7631578947368421
v2v_development,0001,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,conditional,114,4.98931223997749,4.645997025242798,0.860725828500105,18.94736842105263,23.36842105263158,0.5526315789473685,0.868421052631579
