condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence,1,1,0,0,0,0,0,True,0,0,0,0,0,0
reliable,marked_gaussian_evidence,1,2,0,0,0,0,0,True,0,0,0,0,0,0
reliable,marked_gaussian_evidence,2,1,0,9,9,9,0,True,9,0,9,0,0,9
reliable,marked_gaussian_evidence,2,2,0,1,1,1,0,True,9,0,9,0,8,9
reliable,marked_gaussian_evidence,3,1,9,10,19,19,0,True,19,0,19,0,0,10
reliable,marked_gaussian_evidence,3,2,9,0,9,7,2,True,19,0,19,0,12,10
reliable,marked_gaussian_evidence,4,1,19,9,28,25,3,True,25,0,25,0,0,6
reliable,marked_gaussian_evidence,4,2,19,0,19,14,5,True,25,0,25,0,11,6
reliable,marked_gaussian_evidence,5,1,25,9,34,32,2,True,32,3,29,3,0,4
reliable,marked_gaussian_evidence,5,2,25,0,25,21,4,True,32,3,29,3,11,4
reliable,marked_gaussian_evidence,6,1,29,9,38,36,2,True,36,0,36,0,0,7
reliable,marked_gaussian_evidence,6,2,29,0,29,17,12,True,36,0,36,0,19,7
reliable,marked_gaussian_evidence,7,1,36,9,45,42,3,True,42,2,40,2,0,4
reliable,marked_gaussian_evidence,7,2,36,0,36,22,14,True,42,2,40,2,20,4
reliable,marked_gaussian_evidence,8,1,40,10,50,49,1,True,49,0,49,0,0,9
reliable,marked_gaussian_evidence,8,2,40,0,40,21,19,True,49,0,49,0,28,9
reliable,marked_gaussian_evidence,9,1,49,9,58,52,6,True,52,3,49,3,0,0
reliable,marked_gaussian_evidence,9,2,49,1,50,27,23,True,52,3,49,3,25,0
reliable,marked_gaussian_evidence,10,1,49,10,59,55,4,True,55,0,55,0,0,6
reliable,marked_gaussian_evidence,10,2,49,1,50,24,26,True,55,0,55,0,31,6
reliable,marked_gaussian_evidence,11,1,55,10,65,55,10,True,55,6,49,6,0,-6
reliable,marked_gaussian_evidence,11,2,55,1,56,31,25,True,55,6,49,6,24,-6
reliable,marked_gaussian_evidence,12,1,49,10,59,50,9,True,53,6,47,6,3,-2
reliable,marked_gaussian_evidence,12,2,49,2,51,24,27,True,53,6,47,6,29,-2
reliable,marked_gaussian_evidence,13,1,47,10,57,51,6,True,52,5,47,5,1,0
reliable,marked_gaussian_evidence,13,2,47,0,47,20,27,True,52,5,47,5,32,0
reliable,marked_gaussian_evidence,14,1,47,10,57,48,9,True,49,3,46,3,1,-1
reliable,marked_gaussian_evidence,14,2,47,0,47,13,34,True,49,3,46,3,36,-1
reliable,marked_gaussian_evidence,15,1,46,9,55,49,6,True,49,3,46,3,0,0
reliable,marked_gaussian_evidence,15,2,46,0,46,12,34,True,49,3,46,3,37,0
reliable,marked_gaussian_evidence,16,1,46,9,55,52,3,True,52,1,51,1,0,5
reliable,marked_gaussian_evidence,16,2,46,0,46,10,36,True,52,1,51,1,42,5
reliable,marked_gaussian_evidence,17,1,51,11,62,59,3,True,59,1,58,1,0,7
reliable,marked_gaussian_evidence,17,2,51,0,51,12,39,True,59,1,58,1,47,7
reliable,marked_gaussian_evidence,18,1,58,10,68,65,3,True,65,2,63,2,0,5
reliable,marked_gaussian_evidence,18,2,58,0,58,13,45,True,65,2,63,2,52,5
reliable,marked_gaussian_evidence,19,1,63,10,73,71,2,True,71,0,71,0,0,8
reliable,marked_gaussian_evidence,19,2,63,0,63,13,50,True,71,0,71,0,58,8
reliable,marked_gaussian_evidence,20,1,71,10,81,75,6,True,75,6,69,6,0,-2
reliable,marked_gaussian_evidence,20,2,71,0,71,18,53,True,75,6,69,6,57,-2
reliable,marked_gaussian_evidence,21,1,69,10,79,78,1,True,78,1,77,1,0,8
reliable,marked_gaussian_evidence,21,2,69,0,69,9,60,True,78,1,77,1,69,8
reliable,marked_gaussian_evidence,22,1,77,10,87,82,5,True,82,5,77,5,0,0
reliable,marked_gaussian_evidence,22,2,77,0,77,12,65,True,82,5,77,5,70,0
reliable,marked_gaussian_evidence,23,1,77,10,87,81,6,True,81,1,80,1,0,3
reliable,marked_gaussian_evidence,23,2,77,0,77,8,69,True,81,1,80,1,73,3
reliable,marked_gaussian_evidence,24,1,80,10,90,75,15,True,75,3,72,3,0,-8
reliable,marked_gaussian_evidence,24,2,80,0,80,11,69,True,75,3,72,3,64,-8
reliable,marked_gaussian_evidence,25,1,72,9,81,76,5,True,76,3,73,3,0,1
reliable,marked_gaussian_evidence,25,2,72,0,72,11,61,True,76,3,73,3,65,1
reliable,marked_gaussian_evidence,26,1,73,8,81,75,6,True,75,4,71,4,0,-2
reliable,marked_gaussian_evidence,26,2,73,0,73,11,62,True,75,4,71,4,64,-2
reliable,marked_gaussian_evidence,27,1,71,9,80,78,2,True,78,1,77,1,0,6
reliable,marked_gaussian_evidence,27,2,71,0,71,8,63,True,78,1,77,1,70,6
reliable,marked_gaussian_evidence,28,1,77,7,84,79,5,True,79,3,76,3,0,-1
reliable,marked_gaussian_evidence,28,2,77,0,77,10,67,True,79,3,76,3,69,-1
reliable,marked_gaussian_evidence,29,1,76,8,84,81,3,True,81,1,80,1,0,4
reliable,marked_gaussian_evidence,29,2,76,0,76,8,68,True,81,1,80,1,73,4
reliable,marked_gaussian_evidence,30,1,80,8,88,84,4,True,84,3,81,3,0,1
reliable,marked_gaussian_evidence,30,2,80,0,80,10,70,True,84,3,81,3,74,1
reliable,marked_gaussian_evidence,31,1,81,10,91,88,3,True,88,1,87,1,0,6
reliable,marked_gaussian_evidence,31,2,81,0,81,9,72,True,88,1,87,1,79,6
reliable,marked_gaussian_evidence,32,1,87,9,96,92,4,True,92,3,89,3,0,2
reliable,marked_gaussian_evidence,32,2,87,0,87,13,74,True,92,3,89,3,79,2
reliable,marked_gaussian_evidence,33,1,89,10,99,96,3,True,96,1,95,1,0,6
reliable,marked_gaussian_evidence,33,2,89,0,89,13,76,True,96,1,95,1,83,6
reliable,marked_gaussian_evidence,34,1,95,9,104,100,4,True,100,3,97,3,0,2
reliable,marked_gaussian_evidence,34,2,95,0,95,17,78,True,100,3,97,3,83,2
reliable,marked_gaussian_evidence,35,1,97,10,107,104,3,True,104,1,103,1,0,6
reliable,marked_gaussian_evidence,35,2,97,0,97,17,80,True,104,1,103,1,87,6
reliable,marked_gaussian_evidence,36,1,103,9,112,104,8,True,104,5,99,5,0,-4
reliable,marked_gaussian_evidence,36,2,103,0,103,21,82,True,104,5,99,5,83,-4
reliable,marked_gaussian_evidence,37,1,99,9,108,105,3,True,105,3,102,3,0,3
reliable,marked_gaussian_evidence,37,2,99,0,99,17,82,True,105,3,102,3,88,3
reliable,marked_gaussian_evidence,38,1,102,10,112,106,6,True,106,5,101,5,0,-1
reliable,marked_gaussian_evidence,38,2,102,0,102,17,85,True,106,5,101,5,89,-1
reliable,marked_gaussian_evidence,39,1,101,10,111,108,3,True,108,2,106,2,0,5
reliable,marked_gaussian_evidence,39,2,101,0,101,13,88,True,108,2,106,2,95,5
reliable,marked_gaussian_evidence,40,1,106,10,116,110,6,True,110,5,105,5,0,-1
reliable,marked_gaussian_evidence,40,2,106,0,106,15,91,True,110,5,105,5,95,-1
reliable,marked_gaussian_evidence,41,1,105,10,115,112,3,True,112,2,110,2,0,5
reliable,marked_gaussian_evidence,41,2,105,0,105,11,94,True,112,2,110,2,101,5
reliable,marked_gaussian_evidence,42,1,110,10,120,114,6,True,114,5,109,5,0,-1
reliable,marked_gaussian_evidence,42,2,110,0,110,13,97,True,114,5,109,5,101,-1
reliable,marked_gaussian_evidence,43,1,109,10,119,117,2,True,117,1,116,1,0,7
reliable,marked_gaussian_evidence,43,2,109,0,109,10,99,True,117,1,116,1,107,7
reliable,marked_gaussian_evidence,44,1,116,10,126,120,6,True,120,6,114,6,0,-2
reliable,marked_gaussian_evidence,44,2,116,1,117,15,102,True,120,6,114,6,105,-2
reliable,marked_gaussian_evidence,45,1,114,11,125,123,2,True,123,1,122,1,0,8
reliable,marked_gaussian_evidence,45,2,114,0,114,9,105,True,123,1,122,1,114,8
reliable,marked_gaussian_evidence,46,1,122,10,132,126,6,True,126,5,121,5,0,-1
reliable,marked_gaussian_evidence,46,2,122,0,122,14,108,True,126,5,121,5,112,-1
reliable,marked_gaussian_evidence,47,1,121,10,131,129,2,True,129,1,128,1,0,7
reliable,marked_gaussian_evidence,47,2,121,0,121,12,109,True,129,1,128,1,117,7
reliable,marked_gaussian_evidence,48,1,128,10,138,132,6,True,132,5,127,5,0,-1
reliable,marked_gaussian_evidence,48,2,128,0,128,13,115,True,132,5,127,5,119,-1
reliable,marked_gaussian_evidence,49,1,127,10,137,135,2,True,135,1,134,1,0,7
reliable,marked_gaussian_evidence,49,2,127,0,127,9,118,True,135,1,134,1,126,7
reliable,marked_gaussian_evidence,50,1,134,10,144,138,6,True,138,5,133,5,0,-1
reliable,marked_gaussian_evidence,50,2,134,0,134,14,120,True,138,5,133,5,124,-1
reliable,marked_gaussian_evidence,51,1,133,10,143,141,2,True,142,1,141,1,1,8
reliable,marked_gaussian_evidence,51,2,133,1,134,10,124,True,142,1,141,1,132,8
reliable,marked_gaussian_evidence,52,1,141,10,151,144,7,True,144,5,139,5,0,-2
reliable,marked_gaussian_evidence,52,2,141,0,141,13,128,True,144,5,139,5,131,-2
reliable,marked_gaussian_evidence,53,1,139,10,149,132,17,True,132,1,131,1,0,-8
reliable,marked_gaussian_evidence,53,2,139,0,139,9,130,True,132,1,131,1,123,-8
reliable,marked_gaussian_evidence,54,1,131,10,141,136,5,True,136,4,132,4,0,1
reliable,marked_gaussian_evidence,54,2,131,0,131,13,118,True,136,4,132,4,123,1
reliable,marked_gaussian_evidence,55,1,132,11,143,139,4,True,139,2,137,2,0,5
reliable,marked_gaussian_evidence,55,2,132,0,132,12,120,True,139,2,137,2,127,5
reliable,marked_gaussian_evidence,56,1,137,11,148,143,5,True,143,3,140,3,0,3
reliable,marked_gaussian_evidence,56,2,137,0,137,14,123,True,143,3,140,3,129,3
reliable,marked_gaussian_evidence,57,1,140,10,150,146,4,True,146,2,144,2,0,4
reliable,marked_gaussian_evidence,57,2,140,0,140,13,127,True,146,2,144,2,133,4
reliable,marked_gaussian_evidence,58,1,144,10,154,150,4,True,150,2,148,2,0,4
reliable,marked_gaussian_evidence,58,2,144,0,144,13,131,True,150,2,148,2,137,4
reliable,marked_gaussian_evidence,59,1,148,10,158,154,4,True,155,2,153,2,1,5
reliable,marked_gaussian_evidence,59,2,148,1,149,15,134,True,155,2,153,2,140,5
reliable,marked_gaussian_evidence,60,1,153,10,163,158,5,True,160,2,158,2,2,5
reliable,marked_gaussian_evidence,60,2,153,1,154,15,139,True,160,2,158,2,145,5
reliable,marked_gaussian_evidence,61,1,158,10,168,155,13,True,158,5,153,5,3,-5
reliable,marked_gaussian_evidence,61,2,158,3,161,17,144,True,158,5,153,5,141,-5
