condition,arm,window,scope,remote_only_retained,same_frame_pruned,first_local_arrival,return_after_gap,after_refinement_prune,direct_one_frame_rebound
reliable,marked_gaussian_evidence,full,all,26967,25440,1527,0,0,0
reliable,marked_gaussian_evidence,full,target_neighbourhood,19877,19663,214,0,0,0
reliable,marked_gaussian_evidence,original_window,all,15086,14620,466,0,0,0
reliable,marked_gaussian_evidence,original_window,target_neighbourhood,13108,13040,68,0,0,0
reliable,marked_gaussian_evidence_known_censor,full,all,21966,15716,1545,4705,4703,4703
reliable,marked_gaussian_evidence_known_censor,full,target_neighbourhood,15417,11218,224,3975,3974,3974
reliable,marked_gaussian_evidence_known_censor,original_window,all,11151,7002,466,3683,3683,3683
reliable,marked_gaussian_evidence_known_censor,original_window,target_neighbourhood,9572,5945,68,3559,3559,3559
reliable,marked_gaussian_evidence_guarded_scalar,full,all,32597,31071,1525,1,0,0
reliable,marked_gaussian_evidence_guarded_scalar,full,target_neighbourhood,28669,28437,232,0,0,0
reliable,marked_gaussian_evidence_guarded_scalar,original_window,all,16863,16397,466,0,0,0
reliable,marked_gaussian_evidence_guarded_scalar,original_window,target_neighbourhood,15694,15628,66,0,0,0
reliable,marked_gaussian_evidence_guarded_scalar_known_censor,full,all,25081,16749,1532,6800,6799,6799
reliable,marked_gaussian_evidence_guarded_scalar_known_censor,full,target_neighbourhood,18536,12378,217,5941,5941,5941
reliable,marked_gaussian_evidence_guarded_scalar_known_censor,original_window,all,11192,6687,464,4041,4041,4041
reliable,marked_gaussian_evidence_guarded_scalar_known_censor,original_window,target_neighbourhood,9660,5764,69,3827,3827,3827
reliable,marked_lineage,full,all,20789,19538,1248,3,0,0
reliable,marked_lineage,full,target_neighbourhood,9783,9607,176,0,0,0
reliable,marked_lineage,original_window,all,6036,5648,386,2,0,0
reliable,marked_lineage,original_window,target_neighbourhood,34,0,34,0,0,0
reliable,marked_lineage_known_censor,full,all,17258,12547,1249,3462,3458,3458
reliable,marked_lineage_known_censor,full,target_neighbourhood,8165,6333,177,1655,1655,1655
reliable,marked_lineage_known_censor,original_window,all,4581,2781,387,1413,1410,1410
reliable,marked_lineage_known_censor,original_window,target_neighbourhood,34,0,34,0,0,0
intermittent,marked_gaussian_evidence,full,all,29575,26179,1158,2238,0,0
intermittent,marked_gaussian_evidence,full,target_neighbourhood,23977,22127,149,1701,0,0
intermittent,marked_gaussian_evidence,original_window,all,7570,6917,303,350,0,0
intermittent,marked_gaussian_evidence,original_window,target_neighbourhood,6414,6043,46,325,0,0
intermittent,marked_gaussian_evidence_known_censor,full,all,21225,10173,1157,9895,8552,7640
intermittent,marked_gaussian_evidence_known_censor,full,target_neighbourhood,15936,6663,149,9124,8269,7408
intermittent,marked_gaussian_evidence_known_censor,original_window,all,6495,4954,303,1238,1054,888
intermittent,marked_gaussian_evidence_known_censor,original_window,target_neighbourhood,5399,4179,46,1174,1014,849
intermittent,marked_gaussian_evidence_guarded_scalar,full,all,34498,30823,1154,2521,0,0
intermittent,marked_gaussian_evidence_guarded_scalar,full,target_neighbourhood,31626,29068,167,2391,0,0
intermittent,marked_gaussian_evidence_guarded_scalar,original_window,all,8792,8081,303,408,0,0
intermittent,marked_gaussian_evidence_guarded_scalar,original_window,target_neighbourhood,8281,7838,43,400,0,0
intermittent,marked_gaussian_evidence_guarded_scalar_known_censor,full,all,22731,11186,1157,10388,9331,8075
intermittent,marked_gaussian_evidence_guarded_scalar_known_censor,full,target_neighbourhood,17833,8037,151,9645,9075,7869
intermittent,marked_gaussian_evidence_guarded_scalar_known_censor,original_window,all,6744,5011,303,1430,1088,1067
intermittent,marked_gaussian_evidence_guarded_scalar_known_censor,original_window,target_neighbourhood,5825,4413,45,1367,1048,1028
intermittent,marked_lineage,full,all,8836,7140,921,775,0,0
intermittent,marked_lineage,full,target_neighbourhood,300,192,83,25,0,0
intermittent,marked_lineage,original_window,all,4639,4124,256,259,0,0
intermittent,marked_lineage,original_window,target_neighbourhood,24,0,24,0,0,0
intermittent,marked_lineage_known_censor,full,all,7657,5086,923,1648,1031,863
intermittent,marked_lineage_known_censor,full,target_neighbourhood,303,193,84,26,0,0
intermittent,marked_lineage_known_censor,original_window,all,3723,2544,256,923,788,662
intermittent,marked_lineage_known_censor,original_window,target_neighbourhood,24,0,24,0,0,0
