condition,arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
reliable,marked_gaussian_evidence,1,1,False,0,0,0,0.0,0.0,False,,,,
reliable,marked_gaussian_evidence,1,2,False,0,0,0,0.0,0.0,False,,,,
reliable,marked_gaussian_evidence,2,1,False,2,9,1,0.010208584972325912,0.010208584972325912,True,2.21867272339712,0.5833123232191996,0.06757423227289326,0.10166537826254675
reliable,marked_gaussian_evidence,2,2,False,2,9,1,0.010208584972325912,0.010208584972325912,False,,,,
reliable,marked_gaussian_evidence,3,1,False,3,19,1,0.00898572387081437,0.00898572387081437,True,3.6412339107483946,0.37003042845264034,0.07036703932767976,0.14541089494402792
reliable,marked_gaussian_evidence,3,2,False,3,19,1,0.00898572387081437,0.00898572387081437,False,,,,
reliable,marked_gaussian_evidence,4,1,False,3,25,2,0.024720204818748828,0.014597358996544053,True,5.52682460283359,0.3392845228533405,0.0560528450527953,0.3622434424121846
reliable,marked_gaussian_evidence,4,2,False,3,25,2,0.024720204818748828,0.014597358996544053,False,,,,
reliable,marked_gaussian_evidence,5,1,False,3,29,3,0.018355534784338462,0.007752239019189754,True,7.6386161441059945,0.25795751387081123,0.09935741134367751,0.46378836985230193
reliable,marked_gaussian_evidence,5,2,False,3,29,3,0.018355534784338462,0.007752239019189754,False,,,,
reliable,marked_gaussian_evidence,6,1,False,4,36,4,0.03619602126247084,0.010949933142733972,True,10.636602423519623,0.1634631853793837,0.10656854480590164,0.4545264699289852
reliable,marked_gaussian_evidence,6,2,False,4,36,4,0.03619602126247084,0.010949933142733972,False,,,,
reliable,marked_gaussian_evidence,7,1,False,4,40,7,0.05869712723354742,0.012612204144119796,True,12.888734422895684,0.13102753296358147,0.05378356768864491,0.6126277340883529
reliable,marked_gaussian_evidence,7,2,False,4,40,7,0.05869712723354742,0.012612204144119796,False,,,,
reliable,marked_gaussian_evidence,8,1,False,5,49,13,0.098766009406989,0.011090888350095082,True,15.189139801496507,0.14743725156248394,0.051262000733259636,0.7916766373796313
reliable,marked_gaussian_evidence,8,2,False,5,49,13,0.098766009406989,0.011090888350095082,True,3.0494686530501176,0.5935264550533704,35.07648949985105,9.15085635885861e-14
reliable,marked_gaussian_evidence,9,1,False,5,49,15,0.104910494427327,0.00958882231896636,True,18.55939781780686,0.10343704949705923,0.05706067093004055,0.7098384284233891
reliable,marked_gaussian_evidence,9,2,False,5,49,15,0.104910494427327,0.00958882231896636,True,1.9535575071246631,0.608004096101543,35.64463907174475,0.0020443893740253265
reliable,marked_gaussian_evidence,10,1,False,6,55,22,0.17728751389606506,0.011428761570736348,True,22.05248119758563,0.08418651824940232,0.04529137185970938,0.8684827999434765
reliable,marked_gaussian_evidence,10,2,False,6,55,22,0.17728751389606506,0.011428761570736348,True,1.7372999671201383,0.758910811305996,35.80341075488868,0.054982862285855985
reliable,marked_gaussian_evidence,11,1,False,7,49,25,0.15790030495730462,0.008772446877578397,True,24.36420292505205,0.07138524414782096,0.11247041930649476,0.8074603863778114
reliable,marked_gaussian_evidence,11,2,False,7,49,25,0.15790030495730462,0.008772446877578397,True,2.2784832450680135,0.6665643815707406,35.99589844149703,0.32759596267665336
reliable,marked_gaussian_evidence,12,1,False,7,47,25,0.1931189775319309,0.010275526029052016,True,24.891847083861773,0.06672778913531266,0.051580401947551806,0.8172935146747625
reliable,marked_gaussian_evidence,12,2,False,7,47,25,0.1931189775319309,0.010275526029052016,False,,,,
reliable,marked_gaussian_evidence,13,1,False,7,47,23,0.16140329512275983,0.00926607462553568,True,27.051350707661918,0.06070302232676762,0.03365421759250316,0.8593247494864629
reliable,marked_gaussian_evidence,13,2,False,7,47,23,0.16140329512275983,0.00926607462553568,False,,,,
reliable,marked_gaussian_evidence,14,1,False,7,46,26,0.20511452436055388,0.020472751625394362,True,28.52836448325827,0.06028416922696141,0.03193951217151648,0.8974508984146593
reliable,marked_gaussian_evidence,14,2,False,7,46,26,0.20511452436055388,0.020472751625394362,False,,,,
reliable,marked_gaussian_evidence,15,1,False,7,46,24,0.19939483569166344,0.04366502182099214,True,29.0599161400681,0.11162381458179661,0.09931305650821314,0.8621256226075689
reliable,marked_gaussian_evidence,15,2,False,7,46,24,0.19939483569166344,0.04366502182099214,False,,,,
reliable,marked_gaussian_evidence,16,1,False,7,51,21,0.21519195664913102,0.08928556789934146,True,25.80307142079682,0.213698875883309,0.11344635573578923,0.881654832531169
reliable,marked_gaussian_evidence,16,2,False,7,51,21,0.21519195664913102,0.08928556789934146,False,,,,
reliable,marked_gaussian_evidence,17,1,False,6,58,15,0.25369140405338364,0.17509097792041328,True,18.043345880591495,0.3714129724440674,0.03564853079705343,0.902070514568854
reliable,marked_gaussian_evidence,17,2,False,6,58,15,0.25369140405338364,0.17509097792041328,False,,,,
reliable,marked_gaussian_evidence,18,1,False,7,63,10,0.37008494017812305,0.3244741417232502,True,9.132030058764451,0.578849872940629,0.045649281019597344,0.9350139039832711
reliable,marked_gaussian_evidence,18,2,False,7,63,10,0.37008494017812305,0.3244741417232502,False,,,,
reliable,marked_gaussian_evidence,19,1,True,7,71,4,0.5435558989925134,0.5315362874280165,True,3.807574630315686,0.7817380377121513,0.041851459391518776,0.9278863459498401
reliable,marked_gaussian_evidence,19,2,True,7,71,4,0.5435558989925134,0.5315362874280165,False,,,,
reliable,marked_gaussian_evidence,20,1,True,7,69,1,0.7784091729364798,0.7784091729364798,True,1.9070915608585346,0.9100493723256685,0.09105700630675714,0.9878367275179051
reliable,marked_gaussian_evidence,20,2,True,7,69,1,0.7784091729364798,0.7784091729364798,False,,,,
reliable,marked_gaussian_evidence,21,1,True,7,77,1,0.9190862115974582,0.9190862115974582,True,1.2470846911826106,0.9741377643935614,0.09168980582450387,0.9819658113599845
reliable,marked_gaussian_evidence,21,2,True,7,77,1,0.9190862115974582,0.9190862115974582,False,,,,
reliable,marked_gaussian_evidence,22,1,True,7,77,1,0.9797937037892,0.9797937037892,True,1.079534595472112,0.9921613234723232,0.06143679940974246,0.9944190116040919
reliable,marked_gaussian_evidence,22,2,True,7,77,1,0.9797937037892,0.9797937037892,False,,,,
reliable,marked_gaussian_evidence,23,1,True,7,80,1,0.9936098682738692,0.9936098682738692,True,1.0416040524161845,0.9960704403015209,0.1200661223864506,0.9931067822681182
reliable,marked_gaussian_evidence,23,2,True,7,80,1,0.9936098682738692,0.9936098682738692,False,,,,
reliable,marked_gaussian_evidence,24,1,True,7,72,1,0.9968985719366519,0.9968985719366519,True,1.0325722925968692,0.9969772551964806,0.04687810512051207,0.99499682381955
reliable,marked_gaussian_evidence,24,2,True,7,72,1,0.9968985719366519,0.9968985719366519,False,,,,
reliable,marked_gaussian_evidence,25,1,True,7,73,1,0.9973238301860681,0.9973238301860681,True,1.0292638444088313,0.9973085776321565,0.11109578156562097,0.9936896659827537
reliable,marked_gaussian_evidence,25,2,True,7,73,1,0.9973238301860681,0.9973238301860681,False,,,,
reliable,marked_gaussian_evidence,26,1,True,7,71,1,0.9977261123327027,0.9977261123327027,True,1.0316849590412651,0.9970748646765489,0.1446768418821758,0.9952378595152108
reliable,marked_gaussian_evidence,26,2,True,7,71,1,0.9977261123327027,0.9977261123327027,False,,,,
reliable,marked_gaussian_evidence,27,1,True,7,77,1,0.997805720905605,0.997805720905605,True,1.033989010070488,0.9968646460805233,0.09425574860562583,0.9954595767371628
reliable,marked_gaussian_evidence,27,2,True,7,77,1,0.997805720905605,0.997805720905605,False,,,,
reliable,marked_gaussian_evidence,28,1,True,7,76,1,0.9972417236172133,0.9972417236172133,True,1.0360343416837403,0.9966830987390093,0.14609414399609785,0.9910933414249762
reliable,marked_gaussian_evidence,28,2,True,7,76,1,0.9972417236172133,0.9972417236172133,False,,,,
