frame,robot,phase,total_count,near_count,near_sum_r,near_max_r,near_birth_labels,near_labels_from_first_three_frames,near_label_age_sum,ancestry_roots,ancestry_memberships,repeated_roots,labels_with_shared_roots,pairs_with_shared_roots,maximum_root_multiplicity,condition,backend
1,1,local,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
1,2,local,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
1,1,posterior,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
1,2,posterior,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
2,1,local,9,1,0.09606124790532805,0.09606124790532805,1,1,0,1,1,0,0,0,1,reliable,GCE
2,2,local,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
2,1,posterior,9,1,0.010208584972325912,0.010208584972325912,1,1,0,1,1,0,0,0,1,reliable,GCE
2,2,posterior,9,1,0.010208584972325912,0.010208584972325912,1,1,0,1,1,0,0,0,1,reliable,GCE
3,1,local,19,1,0.07589822324160403,0.07589822324160403,1,1,0,1,1,0,0,0,1,reliable,GCE
3,2,local,7,1,0.0010199270145905353,0.0010199270145905353,0,1,1,1,1,0,0,0,1,reliable,GCE
3,1,posterior,19,1,0.00898572387081437,0.00898572387081437,1,1,0,1,1,0,0,0,1,reliable,GCE
3,2,posterior,19,1,0.00898572387081437,0.00898572387081437,1,1,0,1,1,0,0,0,1,reliable,GCE
4,1,local,25,2,0.27439728621226,0.17980567073499207,1,1,1,2,2,0,0,0,1,reliable,GCE
4,2,local,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
4,1,posterior,25,2,0.024720204818748828,0.014597358996544053,1,1,1,2,2,0,0,0,1,reliable,GCE
4,2,posterior,25,2,0.024720204818748828,0.014597358996544053,1,1,1,2,2,0,0,0,1,reliable,GCE
5,1,local,32,5,0.3913097121278153,0.1925527241522907,1,2,6,5,5,0,0,0,1,reliable,GCE
5,2,local,21,2,0.0024754650120740215,0.0014641820539076347,0,1,3,2,2,0,0,0,1,reliable,GCE
5,1,posterior,29,3,0.018355534784338462,0.007752239019189754,1,1,3,3,3,0,0,0,1,reliable,GCE
5,2,posterior,29,3,0.018355534784338462,0.007752239019189754,1,1,3,3,3,0,0,0,1,reliable,GCE
6,1,local,36,4,0.3119896742625242,0.1090901704996884,1,1,6,4,4,0,0,0,1,reliable,GCE
6,2,local,17,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
6,1,posterior,36,4,0.03619602126247084,0.010949933142733972,1,1,6,4,4,0,0,0,1,reliable,GCE
6,2,posterior,36,4,0.03619602126247084,0.010949933142733972,1,1,6,4,4,0,0,0,1,reliable,GCE
7,1,local,42,7,0.745065142186251,0.15125081270127827,1,2,18,7,7,0,0,0,1,reliable,GCE
7,2,local,22,1,0.001094723935256282,0.001094723935256282,0,0,2,1,1,0,0,0,1,reliable,GCE
7,1,posterior,40,7,0.05869712723354742,0.012612204144119796,1,2,18,7,7,0,0,0,1,reliable,GCE
7,2,posterior,40,7,0.05869712723354742,0.012612204144119796,1,2,18,7,7,0,0,0,1,reliable,GCE
8,1,local,49,13,1.1206942676797902,0.1766182347419349,1,4,42,14,14,0,0,0,1,reliable,GCE
8,2,local,21,3,0.0033419265412343675,0.001262798879709966,0,1,11,3,3,0,0,0,1,reliable,GCE
8,1,posterior,49,13,0.098766009406989,0.011090888350095082,1,4,42,14,14,0,0,0,1,reliable,GCE
8,2,posterior,49,13,0.098766009406989,0.011090888350095082,1,4,42,14,14,0,0,0,1,reliable,GCE
9,1,local,52,15,1.0356380733190762,0.12058380436163306,1,4,60,16,16,0,0,0,1,reliable,GCE
9,2,local,27,3,0.0031970422151489652,0.0011089566356392085,0,2,18,4,4,0,0,0,1,reliable,GCE
9,1,posterior,49,15,0.104910494427327,0.00958882231896636,1,4,60,16,16,0,0,0,1,reliable,GCE
9,2,posterior,49,15,0.104910494427327,0.00958882231896636,1,4,60,16,16,0,0,0,1,reliable,GCE
10,1,local,55,22,1.3986459495644912,0.11779273871993204,1,5,97,23,23,0,0,0,1,reliable,GCE
10,2,local,24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
10,1,posterior,55,22,0.1772875138960651,0.011428761570736348,1,5,97,23,23,0,0,0,1,reliable,GCE
10,2,posterior,55,22,0.1772875138960651,0.011428761570736348,1,5,97,23,23,0,0,0,1,reliable,GCE
11,1,local,55,26,1.2416371838754985,0.08864362205483908,1,5,125,27,27,0,0,0,1,reliable,GCE
11,2,local,31,3,0.0032008952450175683,0.0011430874857299483,0,2,22,3,3,0,0,0,1,reliable,GCE
11,1,posterior,49,25,0.15790030495730456,0.008772446877578397,0,5,125,26,26,0,0,0,1,reliable,GCE
11,2,posterior,49,25,0.15790030495730456,0.008772446877578397,0,5,125,26,26,0,0,0,1,reliable,GCE
12,1,local,50,25,1.4680363003806804,0.09721420184073042,1,5,148,26,26,0,0,0,1,reliable,GCE
12,2,local,24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,reliable,GCE
12,1,posterior,47,25,0.19311897753193089,0.010275526029052016,1,5,148,26,26,0,0,0,1,reliable,GCE
12,2,posterior,47,25,0.19311897753193089,0.010275526029052016,1,5,148,26,26,0,0,0,1,reliable,GCE
13,1,local,51,23,1.292513496143737,0.09028749613793319,1,5,154,24,24,0,0,0,1,reliable,GCE
13,2,local,20,2,0.0020441154947273676,0.0010266768099330967,0,0,17,2,2,0,0,0,1,reliable,GCE
13,1,posterior,47,23,0.16140329512275983,0.00926607462553568,1,5,154,24,24,0,0,0,1,reliable,GCE
13,2,posterior,47,23,0.16140329512275983,0.00926607462553568,1,5,154,24,24,0,0,0,1,reliable,GCE
14,1,local,48,26,1.4137148780112996,0.08078071022403366,1,5,187,27,27,0,0,0,1,reliable,GCE
14,2,local,13,1,0.00781147399982748,0.00781147399982748,0,1,11,1,1,0,0,0,1,reliable,GCE
14,1,posterior,46,26,0.2051145243605539,0.020472751625394362,1,5,187,27,27,0,0,0,1,reliable,GCE
14,2,posterior,46,26,0.2051145243605539,0.020472751625394362,1,5,187,27,27,0,0,0,1,reliable,GCE
15,1,local,49,24,1.166993129353666,0.10886125739522505,1,4,173,25,25,0,0,0,1,reliable,GCE
15,2,local,12,1,0.020268024109140418,0.020268024109140418,0,1,12,1,1,0,0,0,1,reliable,GCE
15,1,posterior,46,24,0.19939483569166339,0.04366502182099214,1,4,173,25,25,0,0,0,1,reliable,GCE
15,2,posterior,46,24,0.19939483569166339,0.04366502182099214,1,4,173,25,25,0,0,0,1,reliable,GCE
16,1,local,52,21,1.009394505417381,0.20884395427102662,1,3,160,22,22,0,0,0,1,reliable,GCE
16,2,local,10,1,0.04322837160278222,0.04322837160278222,0,1,13,1,1,0,0,0,1,reliable,GCE
16,1,posterior,51,21,0.21519195664913102,0.08928556789934146,1,3,160,22,22,0,0,0,1,reliable,GCE
16,2,posterior,51,21,0.21519195664913102,0.08928556789934146,1,3,160,22,22,0,0,0,1,reliable,GCE
17,1,local,59,15,0.8186682045508927,0.36556734894675996,1,3,124,16,16,0,0,0,1,reliable,GCE
17,2,local,12,1,0.08839271222034804,0.08839271222034804,0,1,14,1,1,0,0,0,1,reliable,GCE
17,1,posterior,58,15,0.25369140405338364,0.17509097792041328,1,3,124,16,16,0,0,0,1,reliable,GCE
17,2,posterior,58,15,0.25369140405338364,0.17509097792041328,1,3,124,16,16,0,0,0,1,reliable,GCE
18,1,local,65,10,0.8128268422724018,0.5771473779800645,1,2,101,11,11,0,0,0,1,reliable,GCE
