sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
0000,reliable,confirmation_recency,147,3.8534867072325,4.8910962674555964,0.15900317364211092,16.653061224489797,27.428571428571427,0.47619047619047616,46.74693305078061,626,689152,4854528
0000,intermittent,confirmation_recency,147,4.03940347428464,5.218583047602556,1.2933723475709415,16.653061224489797,28.653061224489797,0.4931972789115646,380.25147018585733,626,747184,4854528
0001,reliable,confirmation_recency,114,6.764271083291219,6.431337717403865,0.8374081145981578,22.105263157894736,42.94736842105263,0.7982456140350878,190.92905012837997,114,503168,3764736
0001,intermittent,confirmation_recency,114,6.469542009617761,6.469076868977808,0.8332121185150339,21.789473684210527,47.68421052631579,0.8596491228070176,189.97236302142767,115,469264,3764736
0002,reliable,confirmation_recency,144,5.169704699869186,4.747110187411945,0.9365969824404942,22.0,23.0,0.4722222222222222,269.7399309428623,124,371760,4755456
0002,intermittent,confirmation_recency,144,6.110304086388605,5.387391372233793,1.6879733967290944,21.25,27.5,0.5451388888888888,486.1363382579791,127,469936,4755456
0003,reliable,confirmation_recency,198,6.719260914676204,16.779135449485366,14.279763463052678,232.36363636363637,89.45454545454545,3.0656565656565657,5654.786331368861,2438,5874112,10061312
0003,intermittent,confirmation_recency,198,6.865624403743065,16.956122655267063,13.885789137636603,240.54545454545453,87.81818181818181,3.101010101010101,5498.7724985041,2393,4183696,6866432
0004,reliable,confirmation_recency,180,5.11895118203328,24.34983027728431,62.91298676461671,316.8,221.2,2.25,22648.67523526201,8212,5697616,7943168
0004,intermittent,confirmation_recency,180,5.011651077293106,23.90907468021497,64.84869541447624,308.2,207.4,2.0722222222222224,23345.530349211447,8255,5689504,7910400
0005,reliable,confirmation_recency,310,4.601346880710195,14.622569079634568,20.51317809483559,127.27741935483871,96.15483870967742,1.5032258064516129,12718.17041879807,8546,9654608,14743040
0005,intermittent,confirmation_recency,310,4.994137813003348,15.875360566696644,23.827707106619116,154.21935483870968,109.04516129032258,1.6338709677419354,14773.178406103872,8314,9354880,14759424
0006,reliable,confirmation_recency,304,6.384501163472862,12.859603616406298,2.8607446010924718,63.473684210526315,131.68421052631578,1.631578947368421,1739.3327174642245,3486,4804288,10661888
0006,intermittent,confirmation_recency,304,6.2787724136041705,12.6763889472686,5.74538339133645,60.63157894736842,126.47368421052632,1.5164473684210527,3493.193101932564,3510,4958832,11153408
0007,reliable,confirmation_recency,221,3.9284925816835226,11.736523732677178,20.921697886411312,68.41628959276018,78.84162895927602,1.3755656108597285,9247.3904657938,5524,6639984,10280192
0007,intermittent,confirmation_recency,221,4.548388205267026,14.19119881148387,47.371876997300035,123.96380090497738,101.6470588235294,1.7262443438914028,20938.369632806654,5183,6999824,10018048
0008,reliable,confirmation_recency,375,0.8646833012991025,2.827339399651687,3.082988742110089,9.024,8.064,0.22133333333333333,2312.2415565825695,10688,7582720,12613376
0008,intermittent,confirmation_recency,375,0.973569243837734,3.1170037023954773,3.1725215296998663,11.712,8.256,0.2613333333333333,2379.391147274903,10660,9124832,13137664
