sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
0000,reliable,conservative_recency,147,3.171484713870764,3.9646648697192663,0.13829012908473984,18.612244897959183,16.653061224489797,0.35374149659863946,40.657297950913566,618,766112,4854528
0000,intermittent,conservative_recency,147,4.034907893393895,5.131160292914238,1.207387274550681,19.102040816326532,24.0,0.46258503401360546,354.9718587179002,616,769648,4854528
0001,reliable,conservative_recency,114,5.151406750693783,4.944060582327795,0.8084582137828078,23.36842105263158,24.0,0.5877192982456141,184.32847274248013,110,516896,3764736
0001,intermittent,conservative_recency,114,6.09484107853619,5.960424206720853,0.8116536548953657,22.42105263157895,38.8421052631579,0.7982456140350878,185.05703331614328,113,480496,3764736
0002,reliable,conservative_recency,144,5.079995305422237,4.478611594012637,0.9247355973590319,24.0,16.5,0.4375,266.3238520394011,116,365312,4755456
0002,intermittent,conservative_recency,144,6.11496336425763,5.22943793500035,1.6737882668165234,24.25,22.5,0.5243055555555556,482.05102084315865,115,493440,4755456
0003,reliable,conservative_recency,198,6.515857585197131,16.268316751834167,15.978418390343302,244.72727272727272,71.27272727272727,3.1464646464646466,6327.453682575942,2370,5232224,7800320
0003,intermittent,conservative_recency,198,7.000445080747077,17.218020624132777,14.374479654716557,258.90909090909093,82.0,3.2954545454545454,5692.293943267763,2292,4338864,7210496
0004,reliable,conservative_recency,180,5.112951698255269,24.251202791409195,63.427428500354836,322.8,209.6,2.261111111111111,22833.874260127755,8182,5721328,7992320
0004,intermittent,conservative_recency,180,5.06820747842616,24.00925852776634,65.41689263772581,321.4,199.0,2.238888888888889,23550.081349581258,8189,5699280,7910400
0005,reliable,conservative_recency,310,4.695543616596121,14.889186856867775,18.710178500217765,142.60645161290321,92.67096774193548,1.5903225806451613,11600.310670135012,8414,9901712,14808576
0005,intermittent,conservative_recency,310,5.0279062720597425,16.00074581064814,24.038115799427562,163.04516129032257,105.56129032258065,1.6887096774193548,14903.631795645075,8238,9605104,14726656
0006,reliable,conservative_recency,304,6.187250901926732,12.375758303705267,2.634244616647868,66.07894736842105,119.13157894736842,1.4736842105263157,1601.6207269219049,3464,4842144,10825728
0006,intermittent,conservative_recency,304,6.316281500205927,12.790754270151671,5.065012026123878,65.96052631578948,126.71052631578948,1.544407894736842,3079.5273118833197,3465,5002720,11137024
0007,reliable,conservative_recency,221,3.8104326965087725,11.303943965954648,18.024216364418912,86.6606334841629,57.665158371040725,1.3710407239819005,7966.703633073159,5412,7335328,10640640
0007,intermittent,conservative_recency,221,4.328990783663863,13.513259098881582,38.63818724441731,144.0,75.2579185520362,1.8733031674208145,17078.078762032448,5060,8580416,12901632
0008,reliable,conservative_recency,375,0.8701096182943759,2.840026376994264,3.0655034448189533,9.6,7.872,0.22666666666666666,2299.127583614213,10682,7693792,12629760
0008,intermittent,conservative_recency,375,0.9844368194465772,3.143684925036383,3.1548348259816623,12.48,8.064,0.2693333333333333,2366.1261194862454,10652,9278128,13252352
