panel,cohort,condition,candidate,reference,metric,scene,n,mean,low,high
a,development,reliable,conservative_recency,lineage,ospa,,9,-0.20235642144471375,-0.3456011206656964,-0.08229966508718228
a,development,reliable,confirmation_recency,lineage,ospa,,9,0.1098286482778291,-0.09165223450764474,0.36934987576782774
a,development,intermittent,conservative_recency,lineage,ospa,,9,-0.1118039208206223,-0.2717282419381116,0.018427489922350018
a,development,intermittent,confirmation_recency,lineage,ospa,,9,-0.076202536787023,-0.14099979925615302,-0.011113377268275468
b,reserved,reliable,conservative_recency,lineage,ospa,,6,-0.04666412496436593,-0.17283019219135895,0.045935975599673995
b,reserved,reliable,confirmation_recency,lineage,ospa,,6,-0.06989975026800861,-0.2546280821872065,0.1148285816511893
b,reserved,intermittent,conservative_recency,lineage,ospa,,6,-0.013437939636623764,-0.10914137212143205,0.05330435005011166
b,reserved,intermittent,confirmation_recency,lineage,ospa,,6,-0.07643185752500263,-0.15735575379509928,-0.003444380931012958
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,20,0.09703611962855459,0.0756479783720656,0.11947668193356319
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,20,0.023583533137754787,0.014563186552770694,0.03612012914367939
c,synthetic,,conservative_recency,qualified_exist,ospa,churn_departure,20,0.2496168084994487,0.1283598313490835,0.3708900545049988
c,synthetic,,confirmation_recency,qualified_exist,ospa,churn_departure,20,0.13772426259529152,0.04443510955344256,0.23585388828951656
c,synthetic,,conservative_recency,qualified_exist,ospa,split_no_new,20,0.11765761954318077,0.09083208366284344,0.14485181528007338
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_no_new,20,0.019203281333611225,0.01130217813328751,0.02663255547382421
d,reserved,reliable,conservative_recency,lineage,false2,,6,-4.149287768990464,-8.203455940774527,-0.6005961573319164
d,reserved,reliable,conservative_recency,lineage,miss2,,6,3.1405552960697505,1.2861001889181827,5.029543712379208
d,reserved,reliable,confirmation_recency,lineage,false2,,6,2.8634164519730128,-3.3510653293575507,9.382969014719967
d,reserved,reliable,confirmation_recency,lineage,miss2,,6,-4.886941798654998,-13.10757736322566,3.2779431242695813
d,reserved,intermittent,conservative_recency,lineage,false2,,6,-2.2813848885033194,-3.328902628702405,-1.2183603562457155
d,reserved,intermittent,conservative_recency,lineage,miss2,,6,3.042744600671366,0.9851038358003444,5.106227354476701
d,reserved,intermittent,confirmation_recency,lineage,false2,,6,1.6716851950448515,-1.2318253283718192,4.02889784002205
d,reserved,intermittent,confirmation_recency,lineage,miss2,,6,-6.171990047623109,-14.92244566792234,-0.09999745080684826
