panel,cohort,condition,candidate,reference,metric,scene,unit_index,unit_id,difference
a,development,reliable,conservative_recency,lineage,ospa,,0,0000,-0.262744239472847
a,development,reliable,conservative_recency,lineage,ospa,,1,0001,-0.6482957149133304
a,development,reliable,conservative_recency,lineage,ospa,,2,0002,-0.12460551795108543
a,development,reliable,conservative_recency,lineage,ospa,,3,0003,-0.24881638511140114
a,development,reliable,conservative_recency,lineage,ospa,,4,0004,-0.07858840116294097
a,development,reliable,conservative_recency,lineage,ospa,,5,0005,-0.04914289488923984
a,development,reliable,conservative_recency,lineage,ospa,,6,0006,0.0016805612903461054
a,development,reliable,conservative_recency,lineage,ospa,,7,0007,-0.4042148028415009
a,development,reliable,conservative_recency,lineage,ospa,,8,0008,-0.00648039795042421
a,development,reliable,confirmation_recency,lineage,ospa,,0,0000,0.4192577538888891
a,development,reliable,confirmation_recency,lineage,ospa,,1,0001,0.9645686176841055
a,development,reliable,confirmation_recency,lineage,ospa,,2,0002,-0.03489612350413651
a,development,reliable,confirmation_recency,lineage,ospa,,3,0003,-0.045413055632328
a,development,reliable,confirmation_recency,lineage,ospa,,4,0004,-0.07258891738493034
a,development,reliable,confirmation_recency,lineage,ospa,,5,0005,-0.14333963077516554
a,development,reliable,confirmation_recency,lineage,ospa,,6,0006,0.19893082283647612
a,development,reliable,confirmation_recency,lineage,ospa,,7,0007,-0.28615491766675083
a,development,reliable,confirmation_recency,lineage,ospa,,8,0008,-0.011906714945697616
a,development,intermittent,conservative_recency,lineage,ospa,,0,0000,-0.0568135765557507
a,development,intermittent,conservative_recency,lineage,ospa,,1,0001,-0.5456240762449953
a,development,intermittent,conservative_recency,lineage,ospa,,2,0002,-0.03052690324754348
a,development,intermittent,conservative_recency,lineage,ospa,,3,0003,0.006299154966995069
a,development,intermittent,conservative_recency,lineage,ospa,,4,0004,-0.002722251092811767
a,development,intermittent,conservative_recency,lineage,ospa,,5,0005,-0.04757582791715009
a,development,intermittent,conservative_recency,lineage,ospa,,6,0006,0.15694368822878602
a,development,intermittent,conservative_recency,lineage,ospa,,7,0007,-0.4829754428350377
a,development,intermittent,conservative_recency,lineage,ospa,,8,0008,-0.003240052688092687
a,development,intermittent,confirmation_recency,lineage,ospa,,0,0000,-0.052317995665005945
a,development,intermittent,confirmation_recency,lineage,ospa,,1,0001,-0.17092314516342366
a,development,intermittent,confirmation_recency,lineage,ospa,,2,0002,-0.03518618111656835
a,development,intermittent,confirmation_recency,lineage,ospa,,3,0003,-0.1285215220370164
a,development,intermittent,confirmation_recency,lineage,ospa,,4,0004,-0.059278652225866146
a,development,intermittent,confirmation_recency,lineage,ospa,,5,0005,-0.08134428697354501
a,development,intermittent,confirmation_recency,lineage,ospa,,6,0006,0.11943460162702912
a,development,intermittent,confirmation_recency,lineage,ospa,,7,0007,-0.2635780212318748
a,development,intermittent,confirmation_recency,lineage,ospa,,8,0008,-0.014107628296935903
b,reserved,reliable,conservative_recency,lineage,ospa,,0,0005,-0.01670987115465028
