cohort,sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
development,0000,intermittent,local,147,8.32618895999939,10.33446584471008,8.100591116137968,84.9795918367347,27.183673469387756,0.891156462585034,2381.5737881445616,347,0,0
development,0000,intermittent,lineage,147,4.091721469949646,5.26501824810601,1.2076402281071419,18.612244897959183,26.20408163265306,0.45918367346938777,355.0462270634998,618,844112,4854528.0
development,0000,intermittent,qualified_exist,147,3.96132069559732,5.108084014450409,1.373065492853881,15.918367346938776,27.918367346938776,0.48639455782312924,403.6812548990412,629,768432,4854528
development,0000,intermittent,innovation_recency,147,4.04563654041395,5.205088084518782,1.3730901101741044,15.918367346938776,28.653061224489797,0.4965986394557823,403.6884923911866,629,752016,4854528
development,0000,intermittent,conservative_recency,147,4.034907893393895,5.131160292914238,1.207387274550681,19.102040816326532,24.0,0.46258503401360546,354.9718587179002,616,769648,4854528
development,0000,intermittent,confirmation_recency,147,4.03940347428464,5.218583047602556,1.2933723475709415,16.653061224489797,28.653061224489797,0.4931972789115646,380.25147018585733,626,747184,4854528
development,0000,intermittent,mil_support,147,4.350517433751948,5.7676927189984,2.8380001787571136,13.224489795918368,37.714285714285715,0.5986394557823129,834.3720525545916,640,1669664,4854528.0
development,0000,intermittent,tc_ospa2_w5,147,5.702786800753028,7.5430046369783,5.924305548731523,39.91836734693877,34.285714285714285,0.6972789115646258,1741.7458313270668,531,172048,4854528.0
development,0000,intermittent,tc_ospa2_w10,147,5.5583455949833995,7.2258114192685134,5.8671227366618295,44.08163265306123,26.93877551020408,0.673469387755102,1724.934084578577,514,323856,4854528.0
development,0000,reliable,local,147,8.32618895999939,10.33446584471008,8.100591116137968,84.9795918367347,27.183673469387756,0.891156462585034,2381.5737881445616,347,0,0
development,0000,reliable,lineage,147,3.434228953343611,4.324433618295568,0.13853294007538589,18.122448979591837,20.571428571428573,0.3877551020408163,40.728684382163486,620,766112,4854528.0
development,0000,reliable,qualified_exist,147,3.8487297657742148,4.870508607059032,0.24534976607055414,15.673469387755102,27.918367346938776,0.48299319727891155,72.13283122474286,630,750504,4854528
development,0000,reliable,innovation_recency,147,3.8116674369993384,4.838293280128494,0.24535047919272795,15.673469387755102,27.918367346938776,0.48299319727891155,72.13304088266209,630,660000,4854528
