sequence,dataset,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,reused
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1001696,1001696,4854528,3.2467515833333334,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_miss_history,147,2.054032824829016,2.436677622534812,0.19032104947578685,13.714285714285714,5.387755102040816,0.23809523809523808,1002752,1002752,4854528,2.064484875,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_miss_half,147,2.0540326268697244,2.4366773427626147,0.19032064808739602,13.714285714285714,5.387755102040816,0.23809523809523808,1004512,1004512,4854528,1.659995,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,1016128,754400,4854528,1.659776875,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_miss_history,147,2.298442752297914,2.8487343727613594,1.2760835910866393,13.959183673469388,6.122448979591836,0.25170068027210885,1014720,752992,4854528,1.3901479583333334,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_miss_half,147,2.298442839077698,2.8487345099245216,1.2760837943968926,13.959183673469388,6.122448979591836,0.25170068027210885,1017888,756160,4854528,1.4241948333333334,False
v2xt_0001,v2x_test_mechanism,2023-04-03,reliable,marked_gaussian_evidence,240,8.750048563381354,25.35252026215347,22.59616116684202,484.5,142.8,4.745833333333334,14532896,14532896,18853888,202.190281125,False
v2xt_0001,v2x_test_mechanism,2023-04-03,reliable,marked_gaussian_evidence_miss_history,240,8.414683244564436,24.610359782807905,21.796311460178934,448.8,142.2,4.258333333333334,10294464,10294464,14544896,51.94606091666667,False
v2xt_0001,v2x_test_mechanism,2023-04-03,reliable,marked_gaussian_evidence_miss_half,240,8.577842836544374,24.97328953188079,21.99496502821506,467.4,142.2,4.516666666666667,13843680,13843680,18247680,142.57521620833333,False
v2xt_0001,v2x_test_mechanism,2023-04-03,intermittent,marked_gaussian_evidence,240,8.65398169218026,25.055786637608364,20.84003835463535,474.9,139.5,4.658333333333333,19951584,14535840,24424448,325.65231554166667,False
v2xt_0001,v2x_test_mechanism,2023-04-03,intermittent,marked_gaussian_evidence_miss_history,240,8.392131952931358,24.47990339547054,20.39090453034408,448.95,138.6,4.310416666666667,8170848,6920672,12742656,46.05008470833333,False
v2xt_0001,v2x_test_mechanism,2023-04-03,intermittent,marked_gaussian_evidence_miss_half,240,8.473851340461088,24.67090651719924,20.224289742481567,457.35,139.35,4.416666666666667,16887776,12485440,21016576,245.91721354166665,False
