sequence,dataset,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,reused
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296,700032,700032,3764736,4.194569875,True
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_miss_history,114,4.037052263993767,3.9220392615465993,0.8615224975010759,18.94736842105263,16.42105263157895,0.45614035087719296,700736,700736,3764736,3.58918725,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_miss_half,114,4.037047712678611,3.9220328911782407,0.8615095300031854,18.94736842105263,16.42105263157895,0.45614035087719296,785920,785920,3764736,2.1896760416666665,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence,114,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456,786976,573472,3764736,2.081993833333333,True
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_miss_history,114,4.4913881793113415,4.352179463273538,0.862286021120513,18.94736842105263,22.105263157894736,0.5350877192982456,786976,573472,3764736,1.420754125,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_miss_half,114,4.491384140391849,4.352173734333078,0.8622723932968701,18.94736842105263,22.105263157894736,0.5350877192982456,726784,533696,3764736,1.3517223333333332,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,478784,478784,4755456,4.180842625,True
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_miss_history,144,3.8980634502131752,3.487524698293617,0.08438455349111458,22.5,11.0,0.2847222222222222,475616,475616,4755456,4.6270252916666665,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_miss_half,144,3.8736858681464983,3.4631772401076724,0.08540783562335309,22.0,11.0,0.2916666666666667,472800,472800,4755456,3.0228345416666667,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,507648,401248,4755456,1.948679625,True
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_miss_history,144,4.0631248069413015,3.6038849177901406,0.09833391240975906,22.0,12.25,0.3020833333333333,509056,402304,4755456,2.3239133333333335,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_miss_half,144,4.038747175900558,3.5795374085505296,0.09935706416677584,21.5,12.25,0.3090277777777778,512224,405472,4755456,2.1699285416666667,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence,198,6.122249479331334,15.250273261067981,11.934718309063507,241.8181818181818,55.63636363636363,3.121212121212121,7731328,7731328,10814976,18.5403255,True
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_miss_history,198,6.170938409852165,15.41118549411713,15.787862332023709,240.0,56.72727272727273,3.0707070707070705,7645440,7645440,10847744,22.93173875,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_miss_half,198,6.147752636957865,15.277460193692926,11.942046829359667,241.45454545454547,56.0,3.111111111111111,7888672,7888672,10896896,24.051158291666667,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence,198,6.629738284342926,16.1817846794556,10.327580337150478,262.90909090909093,60.36363636363637,3.3333333333333335,6707008,4713952,10798592,11.856407458333333,True
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_miss_history,198,6.612087979271994,16.128060244277794,10.330686863104596,260.0,60.36363636363637,3.287878787878788,6549664,4503808,10520064,16.46377475,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_miss_half,198,6.630115669782965,16.142169788818045,10.189619070069833,258.90909090909093,61.45454545454545,3.287878787878788,6706656,4628064,10634752,15.863222958333333,False
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence,180,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222,10565536,10565536,14054400,68.645856625,True
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_miss_history,180,4.989232775176561,20.58357369604238,61.17639399991218,329.2,50.4,3.8722222222222222,10443744,10443744,13906944,86.8418465,False
