condition,backend,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
reliable,GCE,1,1,predicted,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,1,local,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,1,posterior,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,1,fused,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,1,target_local,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,1,target_posterior,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,2,predicted,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,2,local,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,2,posterior,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,2,fused,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,1,2,target_posterior,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,2,1,predicted,9,9,9,True,True,0.0,0.0,0.0,True
reliable,GCE,2,1,local,9,9,9,True,True,0.0,0.0,0.0,True
reliable,GCE,2,1,posterior,9,9,9,True,False,0.005277671891670327,1.7763568394002505e-15,3.552713678800501e-15,False
reliable,GCE,2,1,fused,9,9,9,True,False,0.005277671891670327,1.7763568394002505e-15,3.552713678800501e-15,False
reliable,GCE,2,1,target_local,1,1,1,True,True,0.0,0.0,0.0,True
reliable,GCE,2,1,target_posterior,1,1,1,True,True,0.0,0.0,0.0,True
reliable,GCE,2,2,predicted,1,1,1,True,True,0.0,0.0,0.0,True
reliable,GCE,2,2,local,1,1,1,True,True,0.0,0.0,0.0,True
reliable,GCE,2,2,posterior,9,9,9,True,False,0.005277671891670327,1.7763568394002505e-15,3.552713678800501e-15,False
reliable,GCE,2,2,fused,9,9,9,True,False,0.005277671891670327,1.7763568394002505e-15,3.552713678800501e-15,False
reliable,GCE,2,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,2,2,target_posterior,1,1,1,True,True,0.0,0.0,0.0,True
reliable,GCE,3,1,predicted,19,19,19,True,False,0.005224895172753624,1.7763568394002505e-15,0.0,False
reliable,GCE,3,1,local,19,19,19,True,False,0.07200101023620918,0.08555446348985174,0.7929191828077364,False
reliable,GCE,3,1,posterior,19,19,19,True,False,0.08253041953660112,0.2502745071660022,20.86021568165725,False
reliable,GCE,3,1,fused,19,19,19,True,False,0.08253041953660112,0.2502745071660022,20.86021568165725,False
reliable,GCE,3,1,target_local,1,1,1,True,False,0.0008844582338071311,0.031120889577867406,0.18478443740552475,False
reliable,GCE,3,1,target_posterior,1,1,1,True,False,5.6274603103888265e-05,0.031120889577870514,0.18478443740552475,False
reliable,GCE,3,2,predicted,9,9,9,True,False,0.005224895172753624,1.7763568394002505e-15,0.0,False
reliable,GCE,3,2,local,7,7,7,True,True,0.0,0.0,0.0,True
reliable,GCE,3,2,posterior,19,19,19,True,False,0.08253041953661178,0.2502745071660022,20.86021568165725,False
reliable,GCE,3,2,fused,19,19,19,True,False,0.08253041953661178,0.2502745071660022,20.86021568165725,False
reliable,GCE,3,2,target_local,1,1,1,True,True,0.0,0.0,0.0,True
reliable,GCE,3,2,target_posterior,1,1,1,True,False,5.6274603103888265e-05,0.031120889577870514,0.18478443740552475,False
reliable,GCE,4,1,predicted,28,28,28,True,False,0.08170511534123515,0.2502745071660022,0.0,False
reliable,GCE,4,1,local,25,26,25,False,False,0.06248536459028217,0.7969677545292948,5.113000185472458,False
reliable,GCE,4,1,posterior,25,26,25,False,False,0.01806341114012089,1.2263236181078696,17.16460259061091,False
reliable,GCE,4,1,fused,25,26,25,False,False,0.01806341114012089,1.2263236181078696,17.16460259061091,False
reliable,GCE,4,1,target_local,2,2,2,True,False,0.0067801861023425725,0.06507067594599047,0.2654576584078825,False
reliable,GCE,4,1,target_posterior,2,2,2,True,False,0.00033188526708342186,0.06507067594598936,0.2654576584079109,False
reliable,GCE,4,2,predicted,19,19,19,True,False,0.0817051153412457,0.2502745071660022,0.0,False
reliable,GCE,4,2,local,14,15,14,False,False,0.0817051153412457,0.2502745071660022,20.86021568165725,False
reliable,GCE,4,2,posterior,25,26,25,False,False,0.01806341114011667,1.2263236181078696,17.16460259061091,False
reliable,GCE,4,2,fused,25,26,25,False,False,0.01806341114011667,1.2263236181078696,17.16460259061091,False
reliable,GCE,4,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
reliable,GCE,4,2,target_posterior,2,2,2,True,False,0.00033188526708342186,0.06507067594598936,0.2654576584079109,False
reliable,GCE,5,1,predicted,34,35,34,False,False,0.017882777028719654,1.2263236181078696,0.0,False
reliable,GCE,5,1,local,32,32,32,True,False,0.04138987369235289,0.8895190502931718,8.709023397641843,False
reliable,GCE,5,1,posterior,29,31,29,False,False,0.023922037445270786,3.2855440415864834,32.11365517660741,False
reliable,GCE,5,1,fused,32,32,32,True,False,0.023922037445270786,12.225312805196502,32.11365517660741,False
reliable,GCE,5,1,target_local,5,4,4,False,False,0.006723538191913236,0.29376429417065175,5.326356975442025,False
reliable,GCE,5,1,target_posterior,3,3,3,True,False,0.00909257785983624,0.1930122114713808,19.56612738387352,False
reliable,GCE,5,2,predicted,25,26,25,False,False,0.017882777028715435,1.2263236181078696,0.0,False
reliable,GCE,5,2,local,21,22,19,False,False,0.017882777028715435,1.2263236181078696,17.16460259061091,False
reliable,GCE,5,2,posterior,29,31,28,False,False,0.023922037445270786,1.8578570917133255,25.341100816759848,False
reliable,GCE,5,2,fused,32,32,31,False,False,0.023922037445270786,1.9903911494879276,25.341100816759848,False
