condition,arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
reliable,marked_gaussian_evidence_once_initial_negative,1,1,False,0,0,0,0.0,0.0,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,1,2,False,0,0,0,0.0,0.0,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,2,1,False,2,9,1,0.010208584972325912,0.010208584972325912,True,2.21867272339712,0.5833123232191996,0.06757423227289326,0.10166537826254675
reliable,marked_gaussian_evidence_once_initial_negative,2,2,False,2,9,1,0.010208584972325912,0.010208584972325912,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,3,1,False,3,19,1,0.008929449267710419,0.008929449267710419,True,3.9243381214726045,0.35231126275823565,0.07036703932767976,0.15176443374801438
reliable,marked_gaussian_evidence_once_initial_negative,3,2,False,3,19,1,0.008929449267710419,0.008929449267710419,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,4,1,False,3,25,2,0.0245986242487274,0.01452517438545462,True,5.674464973940235,0.3328803274895162,0.0560528450527953,0.3681608269196225
reliable,marked_gaussian_evidence_once_initial_negative,4,2,False,3,25,2,0.0245986242487274,0.01452517438545462,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,5,1,False,3,29,3,0.01849129125347164,0.00782569415865437,True,7.415029535121552,0.2657232587600676,0.09935741134367751,0.45693047554527055
reliable,marked_gaussian_evidence_once_initial_negative,5,2,False,3,29,3,0.01849129125347164,0.00782569415865437,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,6,1,False,4,36,4,0.03608140923682908,0.010908132826441177,True,10.720015538684182,0.15882011434323903,0.10656854480590164,0.45861558788937606
reliable,marked_gaussian_evidence_once_initial_negative,6,2,False,4,36,4,0.03608140923682908,0.010908132826441177,False,,,,
