condition,mode,backend,frame,robot,received,root_present,root_active,root_near_target,root_r,target_detected,output_count,root_extracted,extra_negative,extra_positive,history,base_r,base_I,integral_change,own_r,peer_r,own_a,peer_a,own_positive_gate,peer_positive_gate,both_curvature_allowed,censor_shift,without_negative_r,without_negative_root_extracted,without_negative_target_detected
reliable,original,GCE,1,1,True,False,False,False,,False,0,False,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
reliable,original,GCE,1,2,True,False,False,False,,False,0,False,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
reliable,original,GCE,2,1,True,False,False,False,,False,2,False,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
reliable,original,GCE,2,2,True,False,False,False,,False,2,False,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
reliable,original,GCE,3,1,True,True,True,False,0.01103786738763042,False,3,False,0.0,0.0,0.0,0.011037867387630419,1.7763568394002505e-15,0.0,0.11067216191102269,,0.9918831354511097,,0.35338656774627103,,True,0.0,0.01103786738763042,False,False
reliable,original,GCE,3,2,True,True,True,False,0.01103786738763042,False,3,False,0.0,0.0,0.0,0.011037867387630419,1.7763568394002505e-15,0.0,,0.11067216191102269,,0.9918831354511097,,0.35338656774627103,True,0.0,0.01103786738763042,False,False
reliable,original,GCE,4,1,True,True,True,False,0.0075715592092868425,False,3,False,-0.9419666289521096,0.4128574664099799,0.0,0.012472278816203145,-0.1426924186376688,0.025049352532040103,0.16111758588035682,0.0011036025149998294,0.9942475827641644,0,0.2891614308800432,0,True,0.0,0.019193768254150916,False,False
reliable,original,GCE,4,2,True,True,True,False,0.0075715592092868425,False,3,False,-0.9419666289521096,0.4128574664099799,0.0,0.012472278816203145,-0.1426924186376688,0.025049352532040103,0.0011036025149998294,0.16111758588035682,0,0.9942475827641644,0,0.2891614308800432,True,0.0,0.019193768254150916,False,False
reliable,original,GCE,5,1,True,True,True,False,0.009674220161564074,False,3,False,0.0,0.0,0.0,0.009674220161564074,-1.9539925233402755e-14,0.0,0.08703526476765494,,0.992077779408792,,0.3630039856628683,,True,0.0,0.009674220161564074,False,False
reliable,original,GCE,5,2,True,True,True,False,0.009674220161564074,False,3,False,0.0,0.0,0.0,0.009674220161564074,-1.9539925233402755e-14,0.0,,0.08703526476765494,,0.992077779408792,,0.3630039856628683,True,0.0,0.009674220161564074,False,False
reliable,original,GCE,6,1,True,True,True,False,0.010343591361802549,False,4,False,0.0,0.0,0.0,0.010343591361802549,-4.263256414560601e-14,0.0,0.09839144505792308,,0.9911388244906125,,0.5515705485839235,,True,0.0,0.010343591361802549,False,False
reliable,original,GCE,6,2,True,True,True,False,0.010343591361802549,False,4,False,0.0,0.0,0.0,0.010343591361802549,-4.263256414560601e-14,0.0,,0.09839144505792308,,0.9911388244906125,,0.5515705485839235,True,0.0,0.010343591361802549,False,False
reliable,original,GCE,7,1,True,True,True,False,0.0029330616297750032,False,4,False,-0.9419666289521096,3.6003902753903735e-22,0.0,0.0074889876771550914,-0.10639793495124295,-3.552713678800501e-15,0.06373990747541934,0.0010335408014403636,0.9848028621520887,0,3.821942399385197e-22,0,True,0.0,0.007488987677155066,False,False
reliable,original,GCE,7,2,True,True,True,False,0.0029330616297750032,False,4,False,-0.9419666289521096,3.6003902753903735e-22,0.0,0.0074889876771550914,-0.10639793495124295,-3.552713678800501e-15,0.0010335408014403636,0.06373990747541934,0,0.9848028621520887,0,3.821942399385197e-22,True,0.0,0.007488987677155066,False,False
reliable,original,GCE,8,1,True,True,True,False,0.004702775726549109,False,5,False,0.0,0.0,0.0,0.004702775726549114,-2.4868995751603507e-14,0.0,0.021816681456068507,,0.9869427760284833,,0.15093146708890376,,True,0.0,0.004702775726549109,False,False
reliable,original,GCE,8,2,True,True,True,False,0.004702775726549109,False,5,False,0.0,0.0,0.0,0.004702775726549114,-2.4868995751603507e-14,0.0,,0.021816681456068507,,0.9869427760284833,,0.15093146708890376,True,0.0,0.004702775726549109,False,False
reliable,original,GCE,9,1,True,True,True,False,0.00570564602281919,False,5,False,0.0,0.0,0.0,0.005705646022819188,7.283063041541027e-14,0.0,0.0318484666821961,,0.9857809376401065,,0.03241887643007339,,True,0.0,0.00570564602281919,False,False
reliable,original,GCE,9,2,True,True,True,False,0.00570564602281919,False,5,False,0.0,0.0,0.0,0.005705646022819188,7.283063041541027e-14,0.0,,0.0318484666821961,,0.9857809376401065,,0.03241887643007339,True,0.0,0.00570564602281919,False,False
reliable,original,GCE,10,1,True,True,True,True,0.007429875547247513,False,6,False,0.0,0.0,0.0,0.007429875547247514,6.217248937900877e-15,0.0,0.05300927839937891,,0.9898516845892502,,0.005791706240348631,,True,0.0,0.007429875547247513,False,False
reliable,original,GCE,10,2,True,True,True,True,0.007429875547247513,False,6,False,0.0,0.0,0.0,0.007429875547247514,6.217248937900877e-15,0.0,,0.05300927839937891,,0.9898516845892502,,0.005791706240348631,True,0.0,0.007429875547247513,False,False
reliable,original,GCE,11,1,True,True,True,True,0.007313970959514737,False,7,False,0.0,0.0,0.0,0.007313970959514739,3.375077994860476e-14,0.0,0.05144134588202595,,0.9863360930832203,,4.245671786091125e-06,,True,0.0,0.007313970959514737,False,False
reliable,original,GCE,11,2,True,True,True,True,0.007313970959514737,False,7,False,0.0,0.0,0.0,0.007313970959514739,3.375077994860476e-14,0.0,,0.05144134588202595,,0.9863360930832203,,4.245671786091125e-06,True,0.0,0.007313970959514737,False,False
reliable,original,GCE,12,1,True,True,True,True,0.0081980353328458,False,7,False,0.0,0.0,0.0,0.008198035332845802,3.197442310920451e-14,0.0,0.06389401138835936,,0.9893141422578153,,5.150250413521654e-08,,True,0.0,0.0081980353328458,False,False
reliable,original,GCE,12,2,True,True,True,True,0.0081980353328458,False,7,False,0.0,0.0,0.0,0.008198035332845802,3.197442310920451e-14,0.0,,0.06389401138835936,,0.9893141422578153,,5.150250413521654e-08,True,0.0,0.0081980353328458,False,False
reliable,original,GCE,13,1,True,True,True,True,0.007890377777603515,False,7,False,0.0,0.0,0.0,0.007890377777603515,-2.1316282072803006e-14,0.0,0.059433494697014096,,0.987050817220497,,1.0292639294954897e-08,,True,0.0,0.007890377777603515,False,False
reliable,original,GCE,13,2,True,True,True,True,0.007890377777603515,False,7,False,0.0,0.0,0.0,0.007890377777603515,-2.1316282072803006e-14,0.0,,0.059433494697014096,,0.987050817220497,,1.0292639294954897e-08,True,0.0,0.007890377777603515,False,False
reliable,original,GCE,14,1,True,True,True,True,0.020472751625394362,False,7,False,0.0,4.1844481606159894e-10,0.0,0.02047275161687992,-0.06729633235924837,6.139089236967266e-12,0.05969037839101648,0.00781147399982748,0.9875976112759632,0,4.0094725859979606e-10,0,True,0.0,0.020472751625394362,False,False
reliable,original,GCE,14,2,True,True,True,True,0.020472751625394362,False,7,False,0.0,4.1844481606159894e-10,0.0,0.02047275161687992,-0.06729633235924837,6.139089236967266e-12,0.00781147399982748,0.05969037839101648,0,0.9875976112759632,0,4.0094725859979606e-10,True,0.0,0.020472751625394362,False,False
reliable,original,GCE,15,1,True,True,True,True,0.04366502182099214,False,7,False,0.0,1.258085795851094e-09,0.0,0.04366502176693098,-0.0962306376634352,3.653255475910555e-11,0.10886125739522505,0.020268024109140418,0.9830653545470649,0,1.4169159565531842e-09,0,True,0.0,0.04366502182099214,False,False
reliable,original,GCE,15,2,True,True,True,True,0.04366502182099214,False,7,False,0.0,1.258085795851094e-09,0.0,0.04366502176693098,-0.0962306376634352,3.653255475910555e-11,0.020268024109140418,0.10886125739522505,0,0.9830653545470649,0,1.4169159565531842e-09,True,0.0,0.04366502182099214,False,False
reliable,original,GCE,16,1,True,True,True,True,0.08928556789934146,False,7,False,0.0,7.969130348292334e-10,0.0,0.08928556783227537,-0.10790173016610716,2.786926245335053e-11,0.20884395427102662,0.04322837160278222,0.9828840570126498,0,9.02935843569824e-10,0,True,0.0,0.08928556789934146,False,False
reliable,original,GCE,16,2,True,True,True,True,0.08928556789934146,False,7,False,0.0,7.969130348292334e-10,0.0,0.08928556783227537,-0.10790173016610716,2.786926245335053e-11,0.04322837160278222,0.20884395427102662,0,0.9828840570126498,0,9.02935843569824e-10,True,0.0,0.08928556789934146,False,False
reliable,original,GCE,17,1,True,True,True,True,0.17509097792041328,False,6,False,0.0,4.359604046694331e-10,0.0,0.17509097785526237,-0.10761720392947538,1.511679670329613e-11,0.36556734894675996,0.08839271222034804,0.9831722210700786,0,4.892551772548525e-10,0,True,0.0,0.17509097792041328,False,False
reliable,original,GCE,17,2,True,True,True,True,0.17509097792041328,False,6,False,0.0,4.359604046694331e-10,0.0,0.17509097785526237,-0.10761720392947538,1.511679670329613e-11,0.08839271222034804,0.36556734894675996,0,0.9831722210700786,0,4.892551772548525e-10,True,0.0,0.17509097792041328,False,False
reliable,original,GCE,18,1,True,True,True,True,0.3244741417232502,False,7,False,0.0,7.029649998633009e-11,0.0,0.3244741417073234,-0.10775355113032159,2.3652191316614335e-12,0.5771473779800645,0.17334006814120914,0.9846370585302483,0,7.505450631007517e-11,0,True,0.0,0.3244741417232502,False,False
reliable,original,GCE,18,2,True,True,True,True,0.3244741417232502,False,7,False,0.0,7.029649998633009e-11,0.0,0.3244741417073234,-0.10775355113032159,2.3652191316614335e-12,0.17334006814120914,0.5771473779800645,0,0.9846370585302483,0,7.505450631007517e-11,True,0.0,0.3244741417232502,False,False
reliable,original,GCE,19,1,True,True,True,True,0.5315362874280165,True,7,True,0.0,1.0517301350829746e-10,0.0,0.5315362874010725,-0.09787871237693135,3.0331293032759277e-12,0.7679034898762161,0.32122940030601765,0.9856961076521342,0,1.0816716202457136e-10,0,True,0.0,0.5315362874280165,True,True
reliable,original,GCE,19,2,True,True,True,True,0.5315362874280165,True,7,True,0.0,1.0517301350829746e-10,0.0,0.5315362874010725,-0.09787871237693135,3.0331293032759277e-12,0.32122940030601765,0.7679034898762161,0,0.9856961076521342,0,1.0816716202457136e-10,True,0.0,0.5315362874280165,True,True
reliable,original,GCE,20,1,True,True,True,True,0.7784091729364798,True,7,True,0.0,0.02528661151418795,0.0,0.7739038661280839,-0.1010698938388419,0.0006457617729100917,0.9281181035203869,0.5262209245537364,0.9913978201175876,0,0.020615587889260472,0,True,0.0,0.7784091729364798,True,True
reliable,original,GCE,20,2,True,True,True,True,0.7784091729364798,True,7,True,0.0,0.02528661151418795,0.0,0.7739038661280827,-0.10106989383884901,0.0006457617729171972,0.5262209245537364,0.9281181035203869,0,0.9913978201175876,0,0.020615587889260472,True,0.0,0.7784091729364798,True,True
reliable,original,GCE,21,1,True,True,True,True,0.9190862115974582,True,7,True,0.0,1.2892178067488114e-11,0.0,0.9190862115964792,-0.09259813488618285,2.717825964282383e-13,0.9788211006628592,0.770625081207115,0.9927306216188857,0,9.835728403308155e-12,0,True,0.0,0.9190862115974582,True,True
reliable,original,GCE,21,2,True,True,True,True,0.9190862115974582,True,7,True,0.0,1.2892178067488114e-11,0.0,0.9190862115964792,-0.09259813488618285,2.717825964282383e-13,0.770625081207115,0.9788211006628592,0,0.9927306216188857,0,9.835728403308155e-12,True,0.0,0.9190862115974582,True,True
reliable,original,GCE,22,1,True,True,True,True,0.9797937037892,True,7,True,0.0,5.709784584138981e-13,0.0,0.9797937037891885,-0.09136046187358549,7.993605777301127e-15,0.996435137974933,0.9098953494814835,0.9963872498282643,0,3.438903282695479e-13,0,True,0.0,0.9797937037892,True,True
reliable,original,GCE,22,2,True,True,True,True,0.9797937037892,True,7,True,0.0,5.709784584138981e-13,0.0,0.9797937037891885,-0.09136046187358549,7.993605777301127e-15,0.9098953494814835,0.996435137974933,0,0.9963872498282643,0,3.438903282695479e-13,True,0.0,0.9797937037892,True,True
reliable,original,GCE,23,1,True,True,True,True,0.9936098682738692,True,7,True,0.0,2.1194888280857246e-12,0.0,0.9936098682738557,-0.08509102023416837,1.7763568394002505e-15,0.9988733825994156,0.969995766751308,0.9963536922531052,0,1.2800951605094563e-12,0,True,0.0,0.9936098682738692,True,True
reliable,original,GCE,23,2,True,True,True,True,0.9936098682738692,True,7,True,0.0,2.1194888280857246e-12,0.0,0.9936098682738557,-0.08509102023416126,-5.329070518200751e-15,0.969995766751308,0.9988733825994156,0,0.9963536922531052,0,1.2800951605094563e-12,True,0.0,0.9936098682738692,True,True
reliable,original,GCE,24,1,True,True,True,True,0.9968985719366519,True,7,True,0.0,2.3235657717519036e-12,0.0,0.9968985719366447,-0.08191280183750926,1.9539925233402755e-14,0.9995052074501782,0.9836737695911305,0.997017343364911,0,1.3230810930406515e-12,0,True,0.0,0.9968985719366519,True,True
reliable,original,GCE,24,2,True,True,True,True,0.9968985719366519,True,7,True,0.0,2.3235657717519036e-12,0.0,0.9968985719366447,-0.08191280183751637,2.6645352591003757e-14,0.9836737695911305,0.9995052074501782,0,0.997017343364911,0,1.3230810930406515e-12,True,0.0,0.9968985719366519,True,True
reliable,original,GCE,25,1,True,True,True,True,0.9973238301860681,True,7,True,0.0,3.5723719365669204e-12,0.0,0.9973238301860583,-0.07888710114567132,5.3290705182007514e-14,0.9995358806257467,0.9869295862172853,0.9964938689803037,0,2.1323411525124557e-12,0,True,0.0,0.9973238301860681,True,True
reliable,original,GCE,25,2,True,True,True,True,0.9973238301860681,True,7,True,0.0,3.5723719365669204e-12,0.0,0.9973238301860583,-0.07888710114567132,5.3290705182007514e-14,0.9869295862172853,0.9995358806257467,0,0.9964938689803037,0,2.1323411525124557e-12,True,0.0,0.9973238301860681,True,True
reliable,original,GCE,26,1,True,True,True,True,0.9977261123327027,True,7,True,0.0,3.6016217534679082e-12,0.0,0.9977261123326945,-0.078383043531149,8.881784197001252e-15,0.9996535158500033,0.9873505918842074,0.9972945777287141,0,1.995406855174301e-12,0,True,0.0,0.9977261123327027,True,True
reliable,original,GCE,26,2,True,True,True,True,0.9977261123327027,True,7,True,0.0,3.6016217534679082e-12,0.0,0.9977261123326945,-0.078383043531149,8.881784197001252e-15,0.9873505918842074,0.9996535158500033,0,0.9972945777287141,0,1.995406855174301e-12,True,0.0,0.9977261123327027,True,True
reliable,original,GCE,27,1,True,True,True,True,0.997805720905605,True,7,True,0.0,2.3580262214149435e-12,0.0,0.9978057209055997,-0.07721257242950141,2.7533531010703882e-14,0.9996659969733274,0.9877488512093756,0.997306200915025,0,1.304861203173297e-12,0,True,0.0,0.997805720905605,True,True
reliable,original,GCE,27,2,True,True,True,True,0.997805720905605,True,7,True,0.0,2.3580262214149435e-12,0.0,0.9978057209055997,-0.07721257242950141,2.7533531010703882e-14,0.9877488512093756,0.9996659969733274,0,0.997306200915025,0,1.304861203173297e-12,True,0.0,0.997805720905605,True,True
reliable,original,GCE,28,1,True,True,True,True,0.9972417236172133,True,7,True,0.0,4.563681230165684e-12,0.0,0.9972417236172005,-0.07471029815362051,7.283063041541027e-14,0.9994656113353999,0.987827663696549,0.9956609303350185,0,2.9091100297312073e-12,0,True,0.0,0.9972417236172133,True,True
