sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
v2x_0000,reliable,marked_lineage,104,9.680246574879419,17.58149162178963,0.14274679487955008,316.38461538461536,36.0,3.894230769230769,623768,623768,3434496,2.6728497916666667
v2x_0000,reliable,marked_er,104,9.597237725817807,17.630295654114615,0.1557665220694999,313.61538461538464,42.23076923076923,3.769230769230769,566960,566960,3434496,3.1561057916666666
v2x_0000,reliable,marked_asymmetric,104,9.77248250144017,17.70377635793755,0.14394906539878083,324.6923076923077,33.92307692307692,4.038461538461538,626096,626096,3434496,3.25363525
v2x_0000,reliable,marked_gaussian_evidence_guarded_scalar,104,9.766513077589225,17.690535733366655,0.14385932416834077,324.0,33.92307692307692,4.028846153846154,971136,971136,3434496,1.835340375
v2x_0000,reliable,marked_gaussian_evidence_no_curvature,104,9.748063213278463,17.664264650915666,0.13358403058448012,323.3076923076923,33.92307692307692,4.019230769230769,954592,954592,3434496,2.794899666666667
v2x_0000,reliable,marked_gaussian_evidence_fixedx_000,104,9.83419992262437,17.795193292094936,0.13130889561765888,327.46153846153845,33.92307692307692,4.076923076923077,1041184,1041184,3434496,3.21055125
v2x_0000,reliable,marked_gaussian_evidence,104,9.740904935709999,17.648265488785857,0.13394818308298637,322.61538461538464,33.92307692307692,4.009615384615385,963040,963040,3434496,1.68916975
v2x_0000,reliable,marked_gaussian_evidence_projected_space,104,9.740904934264794,17.648265482529496,0.1339478622292084,322.61538461538464,33.92307692307692,4.009615384615385,963040,963040,3434496,2.92108
v2x_0000,intermittent,marked_lineage,104,9.765207076609762,17.723501571897998,0.15598311468474674,321.5769230769231,36.0,3.9663461538461537,586832,466176,3434496,2.2716092916666666
v2x_0000,intermittent,marked_er,104,9.731606781771788,17.823405067637342,0.16132153777281608,320.53846153846155,43.26923076923077,3.8509615384615383,542336,434640,3434496,2.1989310833333335
v2x_0000,intermittent,marked_asymmetric,104,9.758291037189922,17.700227937800573,0.17067025023133817,324.34615384615387,34.61538461538461,4.024038461538462,576448,461608,3434496,1.201209875
v2x_0000,intermittent,marked_gaussian_evidence_guarded_scalar,104,9.75113324072328,17.684230128272922,0.17106753915830414,323.65384615384613,34.61538461538461,4.014423076923077,890176,713728,3434496,2.0657046666666665
v2x_0000,intermittent,marked_gaussian_evidence_no_curvature,104,9.73930575279579,17.64621286487334,0.15794366723029377,322.61538461538464,33.92307692307692,4.009615384615385,877856,702816,3434496,2.226589875
