sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
0001,reliable,marked_gaussian_evidence_projected_space,114,4.037052226471643,3.9220392082477296,0.8615224599787767,18.94736842105263,16.42105263157895,0.45614035087719296,700032,700032,3764736,6.823899208333334
0001,reliable,marked_gaussian_evidence_projected_all,114,4.037052220586946,3.9220392007604272,0.861522464876097,18.94736842105263,16.42105263157895,0.45614035087719296,699680,699680,3764736,3.0280828333333334
0001,reliable,marked_gaussian_evidence_projected_consensus,114,4.037052225959494,3.9220392083635836,0.8615224742718248,18.94736842105263,16.42105263157895,0.45614035087719296,700032,700032,3764736,2.189717625
0001,intermittent,marked_gaussian_evidence_projected_space,114,4.491388169980123,4.3521794500526125,0.862286002899433,18.94736842105263,22.105263157894736,0.5350877192982456,786976,573472,3764736,1.8127909166666667
0001,intermittent,marked_gaussian_evidence_projected_all,114,4.491388169422709,4.35217945011904,0.8622860167060459,18.94736842105263,22.105263157894736,0.5350877192982456,788032,573472,3764736,2.2658635416666666
0001,intermittent,marked_gaussian_evidence_projected_consensus,114,4.491388169422594,4.3521794501187605,0.8622860166991879,18.94736842105263,22.105263157894736,0.5350877192982456,786976,573472,3764736,2.02277175
0002,reliable,marked_gaussian_evidence_projected_space,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,479136,479136,4755456,6.892390875
0002,reliable,marked_gaussian_evidence_projected_all,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,477376,477376,4755456,3.545925791666667
0002,reliable,marked_gaussian_evidence_projected_consensus,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,479136,479136,4755456,2.595004375
0002,intermittent,marked_gaussian_evidence_projected_space,144,4.063124806636032,3.560748409553966,0.09833389319165188,22.0,11.25,0.3020833333333333,507648,401248,4755456,2.234269708333333
0002,intermittent,marked_gaussian_evidence_projected_all,144,4.0631248142222285,3.5607484222384502,0.09833417577938842,22.0,11.25,0.3020833333333333,508704,401952,4755456,2.7081970833333333
0002,intermittent,marked_gaussian_evidence_projected_consensus,144,4.063124806636032,3.560748409553966,0.09833389319165188,22.0,11.25,0.3020833333333333,507648,401248,4755456,3.5101177083333335
0003,reliable,marked_gaussian_evidence_projected_space,198,6.136200056990344,15.31376501292131,11.41118360760445,242.9090909090909,57.45454545454545,3.121212121212121,7674304,7674304,10831360,28.726626166666666
0003,reliable,marked_gaussian_evidence_projected_all,198,6.309031618065179,15.654907889184832,12.891764771034575,261.8181818181818,54.90909090909091,3.3484848484848486,9204096,9204096,11830784,25.275106166666667
0003,reliable,marked_gaussian_evidence_projected_consensus,198,6.132409199660506,15.316143248710063,14.532414897118493,241.45454545454547,57.09090909090909,3.085858585858586,7599328,7599328,10782208,21.65239083333333
0003,intermittent,marked_gaussian_evidence_projected_space,198,6.6297122703259435,16.178113654957134,10.30779566896099,262.90909090909093,60.18181818181818,3.335858585858586,6752416,4742112,10814976,15.891181875
0003,intermittent,marked_gaussian_evidence_projected_all,198,6.575104151266863,16.02102673184345,10.308391628220994,265.27272727272725,57.81818181818182,3.361111111111111,6737280,4714304,10798592,16.122844791666665
0003,intermittent,marked_gaussian_evidence_projected_consensus,198,6.605127041141311,16.080629253662078,10.297760461962556,262.1818181818182,59.45454545454545,3.330808080808081,6712288,4706208,10798592,16.709778833333335
0004,reliable,marked_gaussian_evidence_projected_space,180,5.001443923789744,20.587839009765286,61.10491577174952,331.2,48.8,3.922222222222222,10722176,10722176,14218240,104.05975129166667
0004,reliable,marked_gaussian_evidence_projected_all,180,5.207339604478989,21.108543879155224,60.08270838907103,364.0,40.8,4.488888888888889,10513792,10513792,13857792,89.03990854166666
0004,reliable,marked_gaussian_evidence_projected_consensus,180,5.095599731570099,20.839669192441,61.35303232174032,344.8,45.2,4.161111111111111,10561312,10561312,14070784,84.54144820833334
0004,intermittent,marked_gaussian_evidence_projected_space,180,5.147817357911435,21.145035141052425,56.55935433365551,352.8,53.6,4.155555555555556,10655648,7822592,13497344,83.68275575
0004,intermittent,marked_gaussian_evidence_projected_all,180,5.22812180342242,21.3881158102362,55.8549857736332,367.0,51.6,4.3805555555555555,10430016,7639904,13480960,73.01676908333333
0004,intermittent,marked_gaussian_evidence_projected_consensus,180,5.156047360893964,21.143065607908774,56.85394071307086,353.6,52.4,4.183333333333334,10327232,7536768,13284352,54.73595291666667
0005,reliable,marked_gaussian_evidence_projected_space,310,4.616048430523369,14.303941158571572,15.375056387473219,133.5483870967742,82.45161290322581,1.664516129032258,15167808,15167808,20608512,53.48867791666667
0005,reliable,marked_gaussian_evidence_projected_all,310,4.6775755249973585,14.20667762383723,13.962965280992544,140.05161290322582,71.07096774193549,1.764516129032258,14420864,14420864,19625472,50.05943679166667
0005,reliable,marked_gaussian_evidence_projected_consensus,310,4.6671465750611425,14.301035636598487,13.262276285722274,136.8,78.96774193548387,1.7193548387096773,14868960,14868960,20231680,52.54204766666667
0005,intermittent,marked_gaussian_evidence_projected_space,310,5.004723780846727,15.407121502543886,17.525272776583236,164.09032258064516,88.14193548387097,1.7870967741935484,14842912,11307456,20575744,41.842975
0005,intermittent,marked_gaussian_evidence_projected_all,310,5.008886712919866,15.219147893490932,16.335175086380243,172.33548387096775,74.20645161290322,1.8951612903225807,14337440,11020224,19330560,38.260357125
0005,intermittent,marked_gaussian_evidence_projected_consensus,310,5.002182362252884,15.308748520839584,16.614804901200447,166.6451612903226,82.10322580645162,1.8193548387096774,15085792,11486624,20755968,56.240018666666664
0006,reliable,marked_gaussian_evidence_projected_space,304,5.502397878890683,10.881917312804141,4.195524786471125,65.84210526315789,84.55263157894737,1.1546052631578947,7882432,7882432,12906496,25.729840291666665
0006,reliable,marked_gaussian_evidence_projected_all,304,5.466691977384886,10.728872040104234,3.084016460921937,66.07894736842105,80.05263157894737,1.1282894736842106,7131616,7131616,12431360,20.186980583333334
0006,reliable,marked_gaussian_evidence_projected_consensus,304,5.479499122541917,10.82730558183648,4.782130474592907,67.02631578947368,80.76315789473684,1.105263157894737,7505792,7505792,12431360,20.512554708333333
0006,intermittent,marked_gaussian_evidence_projected_space,304,5.550574134015328,10.934627592273188,2.339913170123847,65.96052631578948,88.10526315789474,1.238486842105263,7556128,5893504,12627968,18.597212625
0006,intermittent,marked_gaussian_evidence_projected_all,304,5.461542468448338,10.656563517650639,2.4255794430207636,64.89473684210526,80.52631578947368,1.1644736842105263,7933472,6216992,12873728,18.039480208333334
0006,intermittent,marked_gaussian_evidence_projected_consensus,304,5.463897200171641,10.660803899439369,2.524997660020711,61.69736842105263,83.84210526315789,1.1792763157894737,7737408,6067040,12791808,19.324762041666666
0007,reliable,marked_gaussian_evidence_projected_space,221,2.8766871164644217,9.015316667410843,10.762065096265447,65.80995475113122,47.56561085972851,0.9411764705882353,8733184,8733184,12721408,29.798473791666666
0007,reliable,marked_gaussian_evidence_projected_all,221,2.8514044829730336,8.905230554181054,11.027095413149022,61.574660633484164,46.588235294117645,0.8778280542986425,8569504,8569504,12524800,30.627488916666668
