condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_known_censor,1,1,0,0,0,0,0,True,0,0,0,0,0,0
reliable,marked_gaussian_evidence_known_censor,1,2,0,0,0,0,0,True,0,0,0,0,0,0
reliable,marked_gaussian_evidence_known_censor,2,1,0,9,9,9,0,True,9,0,9,0,0,9
reliable,marked_gaussian_evidence_known_censor,2,2,0,1,1,1,0,True,9,0,9,0,8,9
reliable,marked_gaussian_evidence_known_censor,3,1,9,10,19,19,0,True,19,0,19,0,0,10
reliable,marked_gaussian_evidence_known_censor,3,2,9,0,9,7,2,True,19,0,19,0,12,10
reliable,marked_gaussian_evidence_known_censor,4,1,19,9,28,25,3,True,25,0,25,0,0,6
reliable,marked_gaussian_evidence_known_censor,4,2,19,0,19,14,5,True,25,0,25,0,11,6
reliable,marked_gaussian_evidence_known_censor,5,1,25,9,34,32,2,True,32,3,29,3,0,4
reliable,marked_gaussian_evidence_known_censor,5,2,25,0,25,20,5,True,32,3,29,3,12,4
reliable,marked_gaussian_evidence_known_censor,6,1,29,9,38,36,2,True,36,0,36,0,0,7
reliable,marked_gaussian_evidence_known_censor,6,2,29,0,29,16,13,True,36,0,36,0,20,7
reliable,marked_gaussian_evidence_known_censor,7,1,36,9,45,42,3,True,42,2,40,2,0,4
reliable,marked_gaussian_evidence_known_censor,7,2,36,0,36,18,18,True,42,2,40,2,24,4
reliable,marked_gaussian_evidence_known_censor,8,1,40,10,50,49,1,True,49,0,49,0,0,9
reliable,marked_gaussian_evidence_known_censor,8,2,40,0,40,21,19,True,49,2,47,0,26,7
reliable,marked_gaussian_evidence_known_censor,9,1,49,9,58,53,5,True,53,3,50,3,0,1
reliable,marked_gaussian_evidence_known_censor,9,2,47,1,48,24,24,True,53,6,47,3,26,0
reliable,marked_gaussian_evidence_known_censor,10,1,50,10,60,56,4,True,56,0,56,0,0,6
