condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_prune_info,1,1,0,0,0,0,0,True,0,0,0,0,0,0
reliable,marked_gaussian_evidence_prune_info,1,2,0,0,0,0,0,True,0,0,0,0,0,0
reliable,marked_gaussian_evidence_prune_info,2,1,0,9,9,9,0,True,9,0,9,0,0,9
reliable,marked_gaussian_evidence_prune_info,2,2,0,1,1,1,0,True,9,0,9,0,8,9
reliable,marked_gaussian_evidence_prune_info,3,1,9,10,19,19,0,True,19,0,19,0,0,10
reliable,marked_gaussian_evidence_prune_info,3,2,9,0,9,7,2,True,19,0,19,0,12,10
reliable,marked_gaussian_evidence_prune_info,4,1,19,9,28,25,3,True,25,0,25,0,0,6
reliable,marked_gaussian_evidence_prune_info,4,2,19,0,19,14,5,True,25,0,25,0,11,6
reliable,marked_gaussian_evidence_prune_info,5,1,25,9,34,32,2,True,32,3,29,3,0,4
reliable,marked_gaussian_evidence_prune_info,5,2,25,0,25,20,5,True,32,3,29,3,12,4
reliable,marked_gaussian_evidence_prune_info,6,1,29,9,38,37,1,True,37,0,37,0,0,8
reliable,marked_gaussian_evidence_prune_info,6,2,29,0,29,18,11,True,37,0,37,0,19,8
reliable,marked_gaussian_evidence_prune_info,7,1,37,9,46,42,4,True,42,2,40,2,0,3
reliable,marked_gaussian_evidence_prune_info,7,2,37,0,37,19,18,True,42,2,40,2,23,3
reliable,marked_gaussian_evidence_prune_info,8,1,40,10,50,49,1,True,49,2,47,2,0,7
reliable,marked_gaussian_evidence_prune_info,8,2,40,0,40,20,20,True,49,2,47,0,27,7
reliable,marked_gaussian_evidence_prune_info,9,1,47,9,56,51,5,True,51,5,46,5,0,-1
reliable,marked_gaussian_evidence_prune_info,9,2,47,1,48,26,22,True,51,5,46,3,23,-1
reliable,marked_gaussian_evidence_prune_info,10,1,46,10,56,54,2,True,54,0,54,0,0,8
reliable,marked_gaussian_evidence_prune_info,10,2,46,1,47,25,22,True,54,0,54,0,29,8
reliable,marked_gaussian_evidence_prune_info,11,1,54,10,64,55,9,True,55,6,49,6,0,-5
reliable,marked_gaussian_evidence_prune_info,11,2,54,1,55,30,25,True,55,6,49,6,25,-5
reliable,marked_gaussian_evidence_prune_info,12,1,49,10,59,50,9,True,53,7,46,6,2,-3
reliable,marked_gaussian_evidence_prune_info,12,2,49,2,51,26,25,True,53,7,46,7,27,-3
reliable,marked_gaussian_evidence_prune_info,13,1,46,10,56,51,5,True,51,4,47,4,0,1
reliable,marked_gaussian_evidence_prune_info,13,2,46,0,46,19,27,True,51,4,47,4,32,1
reliable,marked_gaussian_evidence_prune_info,14,1,47,10,57,48,9,True,48,4,44,4,0,-3
reliable,marked_gaussian_evidence_prune_info,14,2,47,0,47,14,33,True,48,4,44,3,33,-3
reliable,marked_gaussian_evidence_prune_info,15,1,44,9,53,48,5,True,48,4,44,4,0,0
reliable,marked_gaussian_evidence_prune_info,15,2,44,0,44,12,32,True,48,4,44,2,34,0
reliable,marked_gaussian_evidence_prune_info,16,1,44,9,53,49,4,True,49,5,44,5,0,0
reliable,marked_gaussian_evidence_prune_info,16,2,44,0,44,12,32,True,49,5,44,2,34,0
reliable,marked_gaussian_evidence_prune_info,17,1,44,11,55,53,2,True,53,2,51,2,0,7
reliable,marked_gaussian_evidence_prune_info,17,2,44,0,44,12,32,True,53,2,51,1,40,7
reliable,marked_gaussian_evidence_prune_info,18,1,51,10,61,58,3,True,58,11,47,11,0,-4
reliable,marked_gaussian_evidence_prune_info,18,2,51,0,51,14,37,True,58,11,47,2,35,-4
reliable,marked_gaussian_evidence_prune_info,19,1,47,10,57,55,2,True,55,5,50,5,0,3
reliable,marked_gaussian_evidence_prune_info,19,2,47,0,47,12,35,True,55,5,50,0,38,3
reliable,marked_gaussian_evidence_prune_info,20,1,50,10,60,54,6,True,54,8,46,8,0,-4
reliable,marked_gaussian_evidence_prune_info,20,2,50,0,50,17,33,True,54,8,46,6,35,-4
reliable,marked_gaussian_evidence_prune_info,21,1,46,10,56,55,1,True,55,4,51,4,0,5
reliable,marked_gaussian_evidence_prune_info,21,2,46,0,46,9,37,True,55,4,51,1,43,5
reliable,marked_gaussian_evidence_prune_info,22,1,51,10,61,56,5,True,56,7,49,7,0,-2
reliable,marked_gaussian_evidence_prune_info,22,2,51,0,51,12,39,True,56,7,49,4,41,-2
reliable,marked_gaussian_evidence_prune_info,23,1,49,10,59,52,7,True,52,9,43,9,0,-6
reliable,marked_gaussian_evidence_prune_info,23,2,49,0,49,9,40,True,52,9,43,1,35,-6
reliable,marked_gaussian_evidence_prune_info,24,1,43,10,53,46,7,True,46,5,41,5,0,-2
reliable,marked_gaussian_evidence_prune_info,24,2,43,0,43,11,32,True,46,5,41,2,32,-2
reliable,marked_gaussian_evidence_prune_info,25,1,41,9,50,45,5,True,45,8,37,8,0,-4
reliable,marked_gaussian_evidence_prune_info,25,2,41,0,41,12,29,True,45,8,37,4,29,-4
reliable,marked_gaussian_evidence_prune_info,26,1,37,8,45,42,3,True,42,8,34,8,0,-3
reliable,marked_gaussian_evidence_prune_info,26,2,37,0,37,10,27,True,42,8,34,3,27,-3
reliable,marked_gaussian_evidence_prune_info,27,1,34,9,43,41,2,True,41,4,37,4,0,3
reliable,marked_gaussian_evidence_prune_info,27,2,34,0,34,9,25,True,41,4,37,1,29,3
reliable,marked_gaussian_evidence_prune_info,28,1,37,7,44,40,4,True,40,6,34,6,0,-3
reliable,marked_gaussian_evidence_prune_info,28,2,37,0,37,10,27,True,40,6,34,2,26,-3
reliable,marked_gaussian_evidence_prune_info,29,1,34,8,42,40,2,True,40,4,36,4,0,2
reliable,marked_gaussian_evidence_prune_info,29,2,34,0,34,9,25,True,40,4,36,1,28,2
reliable,marked_gaussian_evidence_prune_info,30,1,36,8,44,41,3,True,41,7,34,7,0,-2
reliable,marked_gaussian_evidence_prune_info,30,2,36,0,36,10,26,True,41,7,34,3,27,-2
reliable,marked_gaussian_evidence_prune_info,31,1,34,10,44,43,1,True,43,4,39,4,0,5
reliable,marked_gaussian_evidence_prune_info,31,2,34,0,34,9,25,True,43,4,39,1,31,5
reliable,marked_gaussian_evidence_prune_info,32,1,39,9,48,45,3,True,45,6,39,6,0,0
reliable,marked_gaussian_evidence_prune_info,32,2,39,0,39,13,26,True,45,6,39,2,28,0
reliable,marked_gaussian_evidence_prune_info,33,1,39,10,49,47,2,True,47,4,43,4,0,4
reliable,marked_gaussian_evidence_prune_info,33,2,39,0,39,14,25,True,47,4,43,1,30,4
reliable,marked_gaussian_evidence_prune_info,34,1,43,9,52,49,3,True,49,6,43,6,0,0
reliable,marked_gaussian_evidence_prune_info,34,2,43,0,43,17,26,True,49,6,43,2,28,0
reliable,marked_gaussian_evidence_prune_info,35,1,43,10,53,51,2,True,51,5,46,5,0,3
reliable,marked_gaussian_evidence_prune_info,35,2,43,0,43,18,25,True,51,5,46,2,30,3
reliable,marked_gaussian_evidence_prune_info,36,1,46,9,55,49,6,True,49,7,42,7,0,-4
reliable,marked_gaussian_evidence_prune_info,36,2,46,0,46,20,26,True,49,7,42,4,26,-4
reliable,marked_gaussian_evidence_prune_info,37,1,42,9,51,48,3,True,48,6,42,6,0,0
reliable,marked_gaussian_evidence_prune_info,37,2,42,0,42,17,25,True,48,6,42,3,28,0
reliable,marked_gaussian_evidence_prune_info,38,1,42,10,52,47,5,True,47,7,40,7,0,-2
reliable,marked_gaussian_evidence_prune_info,38,2,42,0,42,17,25,True,47,7,40,4,27,-2
