condition,arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
reliable,marked_gaussian_evidence_prune_info,1,1,False,0,0,0,0.0,0.0,False,,,,
reliable,marked_gaussian_evidence_prune_info,1,2,False,0,0,0,0.0,0.0,False,,,,
reliable,marked_gaussian_evidence_prune_info,2,1,False,2,9,1,0.010208584972325912,0.010208584972325912,True,2.21867272339712,0.5833123232191996,0.06757423227289326,0.10166537826254675
reliable,marked_gaussian_evidence_prune_info,2,2,False,2,9,1,0.010208584972325912,0.010208584972325912,False,,,,
reliable,marked_gaussian_evidence_prune_info,3,1,False,3,19,1,0.00898572387081437,0.00898572387081437,True,3.6412339107483946,0.37003042845264034,0.07036703932767976,0.14541089494402792
reliable,marked_gaussian_evidence_prune_info,3,2,False,3,19,1,0.00898572387081437,0.00898572387081437,False,,,,
reliable,marked_gaussian_evidence_prune_info,4,1,False,3,25,2,0.023956219235603673,0.013833373413313976,True,5.526824602542846,0.33928452286056554,0.0560528450527953,0.36224344240677686
reliable,marked_gaussian_evidence_prune_info,4,2,False,3,25,2,0.023956219235603673,0.013833373413313976,False,,,,
reliable,marked_gaussian_evidence_prune_info,5,1,False,3,29,3,0.018258225652285187,0.007857414000252298,True,7.494684127109523,0.26118037314855613,0.09935741134367751,0.4478553362074471
reliable,marked_gaussian_evidence_prune_info,5,2,False,3,29,3,0.018258225652285187,0.007857414000252298,False,,,,
reliable,marked_gaussian_evidence_prune_info,6,1,False,4,37,4,0.030386146873092598,0.009853268244780933,True,11.02814628408412,0.16746736392930714,0.10656854480590164,0.4452727822453611
reliable,marked_gaussian_evidence_prune_info,6,2,False,4,37,4,0.030386146873092598,0.009853268244780933,False,,,,
reliable,marked_gaussian_evidence_prune_info,7,1,False,4,40,7,0.05847887403754434,0.012153297776395807,True,13.41718522650067,0.1362107747424811,0.05378356768864491,0.5665243121785685
reliable,marked_gaussian_evidence_prune_info,7,2,False,4,40,7,0.05847887403754434,0.012153297776395807,False,,,,
reliable,marked_gaussian_evidence_prune_info,8,1,False,5,47,13,0.09688909586622135,0.012397461573428683,True,16.509223274322636,0.11138157505325046,0.051262000733259636,0.8026854356268677
reliable,marked_gaussian_evidence_prune_info,8,2,False,5,47,13,0.09688909586622135,0.012397461573428683,True,2.6435122710180656,0.5777742223482352,35.07648949985105,1.4023439352541187e-14
reliable,marked_gaussian_evidence_prune_info,9,1,False,6,46,16,0.10090116041528435,0.01009922486772788,True,18.142582097077373,0.1288833983146386,0.05706067093004055,0.7160114384232139
reliable,marked_gaussian_evidence_prune_info,9,2,False,6,46,16,0.10090116041528435,0.01009922486772788,True,1.9539693082028762,0.6074933394562015,35.64463907174475,0.0020417293551162987
reliable,marked_gaussian_evidence_prune_info,10,1,False,6,54,22,0.12942192672666475,0.01047189530598094,True,20.79429921478207,0.09811597828018018,0.04529137185970938,0.8612426746832808
reliable,marked_gaussian_evidence_prune_info,10,2,False,6,54,22,0.12942192672666475,0.01047189530598094,True,1.7359371637678072,0.7595940388903853,35.80341075488868,0.05493612404612989
reliable,marked_gaussian_evidence_prune_info,11,1,False,7,49,25,0.11199039277891949,0.008187017958783733,True,23.029859776472797,0.0911337318455292,0.11247041930649476,0.7593018546094261
