condition,arm,frame,robot,delivered,phase,pool,output_match,all_components,active_components,near_components,near_active_components,strongest_near_r,strongest_birth_time,strongest_birth_location
reliable,marked_gaussian_evidence,53,1,True,53_96,fused,False,132,131,3,3,0.261401544575907,3,100004
reliable,marked_gaussian_evidence,53,2,True,53_96,fused,False,132,131,3,3,0.261401544575907,3,100004
reliable,marked_gaussian_evidence,54,1,True,53_96,fused,False,136,132,8,8,0.16962237842944403,3,100004
reliable,marked_gaussian_evidence,54,2,True,53_96,fused,False,136,132,8,8,0.16962237842944403,3,100004
reliable,marked_gaussian_evidence,55,1,True,53_96,fused,False,139,137,18,18,0.095391517392623,3,100004
reliable,marked_gaussian_evidence,55,2,True,53_96,fused,False,139,137,18,18,0.095391517392623,3,100004
reliable,marked_gaussian_evidence,56,1,True,53_96,fused,False,143,140,22,22,0.04385664506162759,3,100004
reliable,marked_gaussian_evidence,56,2,True,53_96,fused,False,143,140,22,22,0.04385664506162759,3,100004
reliable,marked_gaussian_evidence,57,1,True,53_96,fused,False,146,144,28,28,0.01443409714159892,3,100004
reliable,marked_gaussian_evidence,57,2,True,53_96,fused,False,146,144,28,28,0.01443409714159892,3,100004
reliable,marked_gaussian_evidence,58,1,True,53_96,fused,False,150,148,33,33,0.004393937535414277,47,100008
reliable,marked_gaussian_evidence,58,2,True,53_96,fused,False,150,148,33,33,0.004393937535414277,47,100008
reliable,marked_gaussian_evidence,59,1,True,53_96,fused,False,155,153,129,129,0.004020903795809621,47,100008
reliable,marked_gaussian_evidence,59,2,True,53_96,fused,False,155,153,129,129,0.004020903795809621,47,100008
reliable,marked_gaussian_evidence,60,1,True,53_96,fused,False,160,158,132,132,0.0038828197614391895,48,100007
reliable,marked_gaussian_evidence,60,2,True,53_96,fused,False,160,158,132,132,0.0038828197614391895,48,100007
reliable,marked_gaussian_evidence,61,1,True,53_96,fused,False,158,153,130,130,0.0038398601057324216,41,100006
reliable,marked_gaussian_evidence,61,2,True,53_96,fused,False,158,153,130,130,0.0038398601057324216,41,100006
reliable,marked_gaussian_evidence,62,1,True,53_96,fused,False,162,160,130,130,0.003759782004566873,41,100006
reliable,marked_gaussian_evidence,62,2,True,53_96,fused,False,162,160,130,130,0.003759782004566873,41,100006
reliable,marked_gaussian_evidence,63,1,True,53_96,fused,False,166,163,128,128,0.0038032551186820323,41,100006
reliable,marked_gaussian_evidence,63,2,True,53_96,fused,False,166,163,128,128,0.0038032551186820323,41,100006
reliable,marked_gaussian_evidence,64,1,True,53_96,fused,False,173,172,132,132,0.0037048898180567385,42,100006
reliable,marked_gaussian_evidence,64,2,True,53_96,fused,False,173,172,132,132,0.0037048898180567385,42,100006
reliable,marked_gaussian_evidence,65,1,True,53_96,fused,False,178,174,132,132,0.0037045225724031505,3,100004
reliable,marked_gaussian_evidence,65,2,True,53_96,fused,False,178,174,132,132,0.0037045225724031505,3,100004
reliable,marked_gaussian_evidence,66,1,True,53_96,fused,False,184,182,131,131,0.003755152488186084,3,100004
reliable,marked_gaussian_evidence,66,2,True,53_96,fused,False,184,182,131,131,0.003755152488186084,3,100004
reliable,marked_gaussian_evidence,67,1,True,53_96,fused,False,186,183,129,129,0.003661942695894366,42,100006
reliable,marked_gaussian_evidence,67,2,True,53_96,fused,False,186,183,129,129,0.003661942695894366,42,100006
reliable,marked_gaussian_evidence,68,1,True,53_96,fused,False,192,191,137,137,0.0036682097958959897,49,100007
reliable,marked_gaussian_evidence,68,2,True,53_96,fused,False,192,191,137,137,0.0036682097958959897,49,100007
reliable,marked_gaussian_evidence,69,1,True,53_96,fused,False,198,196,137,137,0.0036192635649670984,49,100007
reliable,marked_gaussian_evidence,69,2,True,53_96,fused,False,198,196,137,137,0.0036192635649670984,49,100007
reliable,marked_gaussian_evidence,70,1,True,53_96,fused,False,201,200,146,146,0.0036111059932418927,49,100007
reliable,marked_gaussian_evidence,70,2,True,53_96,fused,False,201,200,146,146,0.0036111059932418927,49,100007
reliable,marked_gaussian_evidence,71,1,True,53_96,fused,False,209,207,148,148,0.0035786797915094443,49,100007
reliable,marked_gaussian_evidence,71,2,True,53_96,fused,False,209,207,148,148,0.0035786797915094443,49,100007
reliable,marked_gaussian_evidence,72,1,True,53_96,fused,False,214,211,151,151,0.0035889795990665047,49,100007
reliable,marked_gaussian_evidence,72,2,True,53_96,fused,False,214,211,151,151,0.0035889795990665047,49,100007
reliable,marked_gaussian_evidence,73,1,True,53_96,fused,False,219,216,154,154,0.0034323995468910403,56,100008
reliable,marked_gaussian_evidence,73,2,True,53_96,fused,False,219,216,154,154,0.0034323995468910403,56,100008
reliable,marked_gaussian_evidence,74,1,True,53_96,fused,False,226,225,171,171,0.003453509115584996,55,100007
reliable,marked_gaussian_evidence,74,2,True,53_96,fused,False,226,225,171,171,0.003453509115584996,55,100007
reliable,marked_gaussian_evidence,75,1,True,53_96,fused,False,233,230,170,170,0.0033801512613802986,55,100007
reliable,marked_gaussian_evidence,75,2,True,53_96,fused,False,233,230,170,170,0.0033801512613802986,55,100007
reliable,marked_gaussian_evidence,76,1,True,53_96,fused,False,238,234,178,178,0.003321811680571953,55,100007
reliable,marked_gaussian_evidence,76,2,True,53_96,fused,False,238,234,178,178,0.003321811680571953,55,100007
reliable,marked_gaussian_evidence,77,1,True,53_96,fused,False,225,219,182,182,0.0032656610581919174,55,100007
reliable,marked_gaussian_evidence,77,2,True,53_96,fused,False,225,219,182,182,0.0032656610581919174,55,100007
reliable,marked_gaussian_evidence,78,1,True,53_96,fused,False,227,221,187,187,0.0032139901321435165,56,100007
reliable,marked_gaussian_evidence,78,2,True,53_96,fused,False,227,221,187,187,0.0032139901321435165,56,100007
reliable,marked_gaussian_evidence,79,1,True,53_96,fused,False,227,218,194,194,0.003179258898150218,56,100007
reliable,marked_gaussian_evidence,79,2,True,53_96,fused,False,227,218,194,194,0.003179258898150218,56,100007
reliable,marked_gaussian_evidence,80,1,True,53_96,fused,False,225,223,195,195,0.0030669583996152092,3,100004
reliable,marked_gaussian_evidence,80,2,True,53_96,fused,False,225,223,195,195,0.0030669583996152092,3,100004
reliable,marked_gaussian_evidence,81,1,True,53_96,fused,False,230,225,196,196,0.0031276134497601215,47,100008
reliable,marked_gaussian_evidence,81,2,True,53_96,fused,False,230,225,196,196,0.0031276134497601215,47,100008
reliable,marked_gaussian_evidence,82,1,True,53_96,fused,False,229,225,202,202,0.003088615272836834,3,100004
reliable,marked_gaussian_evidence,82,2,True,53_96,fused,False,229,225,202,202,0.003088615272836834,3,100004
reliable,marked_gaussian_evidence,83,1,True,53_96,fused,False,230,230,206,206,0.0030752209004210594,56,100007
reliable,marked_gaussian_evidence,83,2,True,53_96,fused,False,230,230,206,206,0.0030752209004210594,56,100007
reliable,marked_gaussian_evidence,84,1,True,53_96,fused,False,234,229,208,208,0.0030538461864370926,61,100004
reliable,marked_gaussian_evidence,84,2,True,53_96,fused,False,234,229,208,208,0.0030538461864370926,61,100004
reliable,marked_gaussian_evidence,85,1,True,53_96,fused,False,235,233,211,211,0.0031248924840777477,64,100004
reliable,marked_gaussian_evidence,85,2,True,53_96,fused,False,235,233,211,211,0.0031248924840777477,64,100004
reliable,marked_gaussian_evidence,86,1,True,53_96,fused,False,238,235,214,214,0.0030432874014205673,63,100004
reliable,marked_gaussian_evidence,86,2,True,53_96,fused,False,238,235,214,214,0.0030432874014205673,63,100004
reliable,marked_gaussian_evidence,87,1,True,53_96,fused,False,241,238,217,217,0.0029115699053393358,66,100002
reliable,marked_gaussian_evidence,87,2,True,53_96,fused,False,241,238,217,217,0.0029115699053393358,66,100002
reliable,marked_gaussian_evidence,88,1,True,53_96,fused,False,244,241,220,220,0.0028856722062730695,67,100002
reliable,marked_gaussian_evidence,88,2,True,53_96,fused,False,244,241,220,220,0.0028856722062730695,67,100002
reliable,marked_gaussian_evidence,89,1,True,53_96,fused,False,245,242,224,224,0.0020536468933245104,75,100005
reliable,marked_gaussian_evidence,89,2,True,53_96,fused,False,245,242,224,224,0.0020536468933245104,75,100005
reliable,marked_gaussian_evidence,90,1,True,53_96,fused,False,244,242,223,223,0.002059253033157026,75,100005
reliable,marked_gaussian_evidence,90,2,True,53_96,fused,False,244,242,223,223,0.002059253033157026,75,100005
reliable,marked_gaussian_evidence,91,1,True,53_96,fused,False,244,240,223,223,0.002157130300201211,75,100005
reliable,marked_gaussian_evidence,91,2,True,53_96,fused,False,244,240,223,223,0.002157130300201211,75,100005
reliable,marked_gaussian_evidence,92,1,True,53_96,fused,False,246,242,221,221,0.0023253220521376856,71,100001
reliable,marked_gaussian_evidence,92,2,True,53_96,fused,False,246,242,221,221,0.0023253220521376856,71,100001
reliable,marked_gaussian_evidence,93,1,True,53_96,fused,False,249,247,219,219,0.0024546345003535297,70,100002
reliable,marked_gaussian_evidence,93,2,True,53_96,fused,False,249,247,219,219,0.0024546345003535297,70,100002
reliable,marked_gaussian_evidence,94,1,True,53_96,fused,False,249,246,227,227,0.0020773572244292427,77,100012
reliable,marked_gaussian_evidence,94,2,True,53_96,fused,False,249,246,227,227,0.0020773572244292427,77,100012
reliable,marked_gaussian_evidence,95,1,True,53_96,fused,False,251,245,222,222,0.002372886970113133,73,100003
