mode,condition,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
nominal,reliable,1,1,predicted,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,1,local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,1,posterior,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,1,fused,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,1,target_local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,1,target_posterior,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,2,predicted,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,2,local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,2,posterior,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,2,fused,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,1,2,target_posterior,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,2,1,predicted,9,9,9,True,True,0.0,0.0,0.0,True
nominal,reliable,2,1,local,9,9,9,True,True,0.0,0.0,0.0,True
nominal,reliable,2,1,posterior,9,9,9,True,False,5.637851296924623e-18,1.7763568394002505e-15,3.552713678800501e-15,True
nominal,reliable,2,1,fused,9,9,9,True,False,5.637851296924623e-18,1.7763568394002505e-15,3.552713678800501e-15,True
nominal,reliable,2,1,target_local,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,2,1,target_posterior,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,2,2,predicted,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,2,2,local,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,2,2,posterior,9,9,9,True,False,5.637851296924623e-18,1.7763568394002505e-15,3.552713678800501e-15,True
nominal,reliable,2,2,fused,9,9,9,True,False,5.637851296924623e-18,1.7763568394002505e-15,3.552713678800501e-15,True
nominal,reliable,2,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,2,2,target_posterior,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,3,1,predicted,19,19,19,True,False,5.637851296924623e-18,1.7763568394002505e-15,0.0,True
nominal,reliable,3,1,local,19,19,19,True,False,4.163336342344337e-17,4.6629367034256575e-15,2.842170943040401e-14,True
nominal,reliable,3,1,posterior,19,19,19,True,False,0.002765460382897267,0.25027448276097086,20.860214516757253,False
nominal,reliable,3,1,fused,19,19,19,True,False,0.002765460382897267,0.25027448276097086,20.860214516757253,False
nominal,reliable,3,1,target_local,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,3,1,target_posterior,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,3,2,predicted,9,9,9,True,False,5.637851296924623e-18,1.7763568394002505e-15,0.0,True
nominal,reliable,3,2,local,7,7,7,True,True,0.0,0.0,0.0,True
nominal,reliable,3,2,posterior,19,19,19,True,False,0.0027654603828999313,0.25027448276097086,20.860214516757253,False
nominal,reliable,3,2,fused,19,19,19,True,False,0.0027654603828999313,0.25027448276097086,20.860214516757253,False
nominal,reliable,3,2,target_local,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,3,2,target_posterior,1,1,1,True,True,0.0,0.0,0.0,True
nominal,reliable,4,1,predicted,28,28,28,True,False,0.0027378057790683474,0.25027448276097086,0.0,False
nominal,reliable,4,1,local,25,25,25,True,False,0.0519006980674796,0.39999445199283823,4.2883074245494015,False
nominal,reliable,4,1,posterior,25,25,25,True,False,0.006320656413156506,0.3999944519928107,16.635850222986193,False
nominal,reliable,4,1,fused,25,25,25,True,False,0.006320656413156506,0.3999944519928107,16.635850222986193,False
nominal,reliable,4,1,target_local,2,2,2,True,False,0.0005191472031636224,0.04704792580066863,0.7943765878546856,False
nominal,reliable,4,1,target_posterior,2,2,2,True,False,2.5311056113799454e-05,0.04704792580067618,0.7943765878546287,False
nominal,reliable,4,2,predicted,19,19,19,True,False,0.002737805779070901,0.25027448276097086,0.0,False
nominal,reliable,4,2,local,14,14,14,True,False,0.002737805779070901,0.25027448276097086,20.860214516757253,False
nominal,reliable,4,2,posterior,25,25,25,True,False,0.006320656413156506,0.3999944519928107,16.635850222986193,False
nominal,reliable,4,2,fused,25,25,25,True,False,0.006320656413156506,0.3999944519928107,16.635850222986193,False
nominal,reliable,4,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,4,2,target_posterior,2,2,2,True,False,2.5311056113799454e-05,0.04704792580067618,0.7943765878546287,False
nominal,reliable,5,1,predicted,34,34,34,True,False,0.006257449849024939,0.3999944519928107,0.0,False
nominal,reliable,5,1,local,32,32,32,True,False,0.11319578415364373,1.1083845905435505,8.813320897536528,False
nominal,reliable,5,1,posterior,29,29,29,True,False,0.016640447737030786,1.0833336980701764,11.997386578738745,False
nominal,reliable,5,1,fused,32,32,32,True,False,0.016640447737030786,1.0833336980701764,11.997386578738745,False
nominal,reliable,5,1,target_local,5,4,4,False,False,0.0009545737116822203,0.19520438902173476,3.827783825054638,False
nominal,reliable,5,1,target_posterior,3,3,3,True,False,6.8484054413228e-05,0.07828314133657138,3.156300086930173,False
nominal,reliable,5,2,predicted,25,25,25,True,False,0.006257449849024939,0.3999944519928107,0.0,False
nominal,reliable,5,2,local,21,20,20,False,False,0.0006573825612343617,0.3999944519928107,16.635850222986193,False
nominal,reliable,5,2,posterior,29,29,29,True,False,0.016640447737030786,1.0833336980701764,11.997386578738745,False
nominal,reliable,5,2,fused,32,32,32,True,False,0.016640447737030786,1.0833336980701764,11.997386578738745,False
