sequence,dataset,frame,dx,dy,maximizer_x_cells,maximizer_y_cells,boundary,maximizing_shifts,native_overlap,maximum_overlap
0000,v2v_development,1,0.5,-1.5,1,-3,False,1,254,504
0000,v2v_development,2,0.5,-1.5,1,-3,False,1,251,472
0000,v2v_development,3,0.5,-1.5,1,-3,False,1,271,503
0000,v2v_development,4,0.5,-1.5,1,-3,False,1,267,496
0000,v2v_development,5,0.5,-1.5,1,-3,False,1,277,478
0000,v2v_development,6,0.5,-1.5,1,-3,False,1,275,497
0000,v2v_development,7,0.5,-1.5,1,-3,False,1,286,504
0000,v2v_development,8,1.0,-0.5,2,-1,False,1,278,402
0000,v2v_development,9,1.0,-0.5,2,-1,False,1,284,429
0000,v2v_development,10,0.5,-0.5,1,-1,False,1,349,444
0000,v2v_development,11,0.0,-0.5,0,-1,False,2,349,429
0000,v2v_development,12,0.5,-0.5,1,-1,False,1,370,471
0000,v2v_development,13,0.5,-0.5,1,-1,False,1,354,452
0000,v2v_development,14,0.0,-0.5,0,-1,False,1,348,458
0000,v2v_development,15,0.5,-0.5,1,-1,False,1,391,506
0000,v2v_development,16,0.5,-0.5,1,-1,False,1,408,502
0000,v2v_development,17,0.5,-1.0,1,-2,False,1,399,459
0000,v2v_development,18,0.5,-1.0,1,-2,False,1,358,579
0000,v2v_development,19,2.5,-1.0,5,-2,False,1,286,545
0000,v2v_development,20,0.5,-1.5,1,-3,False,2,304,514
0000,v2v_development,21,1.0,-1.5,2,-3,False,1,253,470
0000,v2v_development,22,1.0,-1.5,2,-3,False,1,230,464
0000,v2v_development,23,1.0,-1.5,2,-3,False,2,243,441
0000,v2v_development,24,1.0,-1.0,2,-2,False,1,242,454
0000,v2v_development,25,1.0,-1.0,2,-2,False,1,232,411
0000,v2v_development,26,1.0,-1.5,2,-3,False,1,194,419
0000,v2v_development,27,1.5,-1.0,3,-2,False,1,211,430
0000,v2v_development,28,1.5,-1.0,3,-2,False,2,243,461
0000,v2v_development,29,2.0,-1.0,4,-2,False,1,239,484
0000,v2v_development,30,1.0,-1.0,2,-2,False,1,240,465
0000,v2v_development,31,1.0,-1.0,2,-2,False,1,256,481
0000,v2v_development,32,1.0,-1.0,2,-2,False,1,292,520
0000,v2v_development,33,1.0,-1.0,2,-2,False,1,280,511
0000,v2v_development,34,1.0,-1.0,2,-2,False,1,294,519
0000,v2v_development,35,1.0,-1.0,2,-2,False,1,291,529
0000,v2v_development,36,1.5,-1.0,3,-2,False,1,257,515
0000,v2v_development,37,1.5,-1.0,3,-2,False,1,265,503
0000,v2v_development,38,1.5,-1.0,3,-2,False,1,258,480
0000,v2v_development,39,1.5,-1.0,3,-2,False,1,252,492
0000,v2v_development,40,1.5,-1.0,3,-2,False,1,248,513
0000,v2v_development,41,1.5,-1.0,3,-2,False,1,244,495
0000,v2v_development,42,1.5,-1.0,3,-2,False,1,248,495
0000,v2v_development,43,1.5,-1.0,3,-2,False,1,252,499
0000,v2v_development,44,1.5,-1.0,3,-2,False,1,262,511
0000,v2v_development,45,1.5,-1.0,3,-2,False,1,248,456
0000,v2v_development,46,2.0,-1.0,4,-2,False,1,219,415
0000,v2v_development,47,1.5,-1.0,3,-2,False,1,226,435
0000,v2v_development,48,3.5,-0.5,7,-1,False,1,212,439
0000,v2v_development,49,3.0,-0.5,6,-1,False,1,227,466
0000,v2v_development,50,2.0,-1.0,4,-2,False,1,243,505
0000,v2v_development,51,3.0,-0.5,6,-1,False,1,274,535
0000,v2v_development,52,2.5,-0.5,5,-1,False,1,280,532
0000,v2v_development,53,3.5,-0.5,7,-1,False,1,285,513
0000,v2v_development,54,2.5,-0.5,5,-1,False,1,303,549
0000,v2v_development,55,3.0,-0.5,6,-1,False,1,259,546
0000,v2v_development,56,2.0,-0.5,4,-1,False,1,308,565
0000,v2v_development,57,2.0,-0.5,4,-1,False,1,285,575
0000,v2v_development,58,2.5,-0.5,5,-1,False,1,285,560
0000,v2v_development,59,2.0,-0.5,4,-1,False,1,298,547
