cohort,sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
development,0000,reliable,marked_lineage,147,2.1112403445538552,2.5475354198425153,0.1435112359521936,16.163265306122447,4.408163265306122,0.24489795918367346,684624,684624,4854528,2.707269875
development,0000,reliable,marked_er,147,2.242465426652271,2.7810313707372782,0.2633034218581524,13.714285714285714,9.306122448979592,0.23809523809523808,633000,633000,4854528,1.3441736666666666
development,0000,reliable,marked_asymmetric,147,1.979611037311224,2.4072117203215764,0.20249777447904754,14.693877551020408,4.408163265306122,0.22448979591836735,646944,646944,4854528,5.8807815833333335
development,0000,reliable,marked_gaussian_evidence_no_curvature,147,1.9973690403082813,2.3800081941575324,0.19031832966701753,13.714285714285714,4.8979591836734695,0.23129251700680273,985152,985152,4854528,2.64072
development,0000,reliable,marked_gaussian_evidence,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1001696,1001696,4854528,6.180642916666667
development,0000,intermittent,marked_lineage,147,2.5395482514421954,3.1271579668644116,1.2141880055959131,16.653061224489797,6.122448979591836,0.2891156462585034,614856,461432,4854528,1.0454215
development,0000,intermittent,marked_er,147,2.6175947589940143,3.307663128448342,1.3339431341298043,14.204081632653061,10.53061224489796,0.2755102040816326,633864,466400,4854528,1.218830875
development,0000,intermittent,marked_asymmetric,147,2.4132499879515246,2.986878221061812,1.2732600814521653,15.183673469387756,6.122448979591836,0.2687074829931973,669216,495808,4854528,2.0006077083333333
development,0000,intermittent,marked_gaussian_evidence_no_curvature,147,2.2984410097241676,2.848731911625065,1.2760808223640328,13.959183673469388,6.122448979591836,0.25170068027210885,1011552,749824,4854528,1.6440575833333333
development,0000,intermittent,marked_gaussian_evidence,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,1016128,754400,4854528,1.6443037083333334
development,0001,reliable,marked_lineage,114,4.266652951077348,4.3122586637801295,0.8709107637021682,21.473684210526315,20.210526315789473,0.543859649122807,509496,509496,3764736,1.0061247083333333
development,0001,reliable,marked_er,114,5.284570949201942,4.994748901378376,0.8812895059693315,20.210526315789473,27.157894736842106,0.6228070175438597,487464,487464,3764736,0.953421125
development,0001,reliable,marked_asymmetric,114,4.048104151053303,3.9357250864807325,0.8950412149618395,18.94736842105263,16.42105263157895,0.45614035087719296,484752,484752,3764736,5.340265125
development,0001,reliable,marked_gaussian_evidence_no_curvature,114,4.037052223160187,3.92203920439619,0.8615224688226395,18.94736842105263,16.42105263157895,0.45614035087719296,699680,699680,3764736,1.9189085
development,0001,reliable,marked_gaussian_evidence,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296,700032,700032,3764736,5.635299833333334
development,0001,intermittent,marked_lineage,114,4.671126059490567,4.530136575509032,0.8845635720473002,19.57894736842105,23.36842105263158,0.543859649122807,491568,367360,3764736,0.8048650833333333
development,0001,intermittent,marked_er,114,5.202650085354024,4.925947904739759,0.8845522310610672,19.57894736842105,27.157894736842106,0.5964912280701754,482712,350944,3764736,0.7912410833333333
development,0001,intermittent,marked_asymmetric,114,4.4871998711539325,4.32972941346079,0.8846721525007876,18.94736842105263,21.473684210526315,0.5263157894736842,482200,352184,3764736,1.5420810833333334
development,0001,intermittent,marked_gaussian_evidence_no_curvature,114,4.491388169430222,4.352179450121221,0.8622860166126227,18.94736842105263,22.105263157894736,0.5350877192982456,790144,575232,3764736,1.3394149166666667
development,0001,intermittent,marked_gaussian_evidence,114,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456,786976,573472,3764736,1.7153700416666666
development,0002,reliable,marked_lineage,144,3.95051734733339,3.5041893371967965,0.08339223829578074,23.0,11.0,0.3055555555555556,335808,335808,4755456,1.2805455
development,0002,reliable,marked_er,144,4.0016379766126455,3.5241810254457397,0.09728976631288716,19.5,12.0,0.3541666666666667,288720,288720,4755456,1.0270850416666666
development,0002,reliable,marked_asymmetric,144,3.926974960639229,3.4676265610767056,0.08554223387384982,22.5,10.5,0.2916666666666667,303856,303856,4755456,5.212981708333333
development,0002,reliable,marked_gaussian_evidence_no_curvature,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,477728,477728,4755456,2.476061
development,0002,reliable,marked_gaussian_evidence,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,478784,478784,4755456,5.496166375
development,0002,intermittent,marked_lineage,144,3.954912228731807,3.4963648789971296,0.1023588537686483,22.5,11.25,0.3020833333333333,380952,307760,4755456,1.060589125
development,0002,intermittent,marked_er,144,4.192447439076712,3.7214945421485774,0.11112508125955875,20.0,14.0,0.3472222222222222,331488,262400,4755456,0.9417513333333334
development,0002,intermittent,marked_asymmetric,144,4.092658078600703,3.547163657763145,0.10234618307487765,22.5,10.25,0.2951388888888889,341440,269512,4755456,1.7022265
development,0002,intermittent,marked_gaussian_evidence_no_curvature,144,4.036525444108323,3.5340761547243553,0.0983341750412885,22.0,11.0,0.2986111111111111,517504,410752,4755456,1.6877717083333332
development,0002,intermittent,marked_gaussian_evidence,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,507648,401248,4755456,2.018793666666667
development,0003,reliable,marked_lineage,198,6.4276549784294845,15.795180802434816,12.030246211614955,251.27272727272728,58.54545454545455,3.272727272727273,6696576,6696576,10601984,16.732221916666667
development,0003,reliable,marked_er,198,6.3867776624809665,15.9818794752686,12.197885488990838,247.63636363636363,69.0909090909091,3.217171717171717,6408864,6408864,10520064,13.861015
development,0003,reliable,marked_asymmetric,198,6.2273227914264915,15.56610600714813,16.077241740683927,254.54545454545453,56.36363636363637,3.2676767676767677,5376976,5376976,8652288,18.825037583333334
development,0003,reliable,marked_gaussian_evidence_no_curvature,198,6.074512900461867,15.172477466382077,15.013479126871314,245.0909090909091,53.45454545454545,3.1464646464646466,7906976,7906976,11109888,16.573849041666666
development,0003,reliable,marked_gaussian_evidence,198,6.122249479331334,15.250273261067981,11.934718309063507,241.8181818181818,55.63636363636363,3.121212121212121,7731328,7731328,10814976,21.429706875
development,0003,intermittent,marked_lineage,198,6.889729521033739,16.738350711820754,13.273366641957713,268.90909090909093,66.18181818181819,3.4823232323232323,4899888,3362088,7407104,9.055817291666667
development,0003,intermittent,marked_er,198,6.705566631599712,16.461443399140787,12.923606215916962,255.63636363636363,70.54545454545455,3.313131313131313,4660344,3199008,7456256,9.373388541666667
development,0003,intermittent,marked_asymmetric,198,6.700680570668571,16.31404133910915,11.832249439633204,270.72727272727275,60.72727272727273,3.477272727272727,5344496,3682376,8865280,14.47895
development,0003,intermittent,marked_gaussian_evidence_no_curvature,198,6.573380283646044,16.017474879209832,10.327618725414343,265.09090909090907,57.81818181818182,3.3585858585858586,6778112,4736832,10782208,12.83367625
development,0003,intermittent,marked_gaussian_evidence,198,6.629738284342926,16.1817846794556,10.327580337150478,262.90909090909093,60.36363636363637,3.3333333333333335,6707008,4713952,10798592,13.1297785
development,0004,reliable,marked_lineage,180,5.116871531476196,22.42015663073348,61.49916915327948,350.8,104.0,3.4277777777777776,6027984,6027984,8795136,44.246819708333334
development,0004,reliable,marked_er,180,5.112904317200598,22.473488765532725,59.79748842292349,350.8,107.6,3.3777777777777778,6019776,6019776,8860672,44.34488075
development,0004,reliable,marked_asymmetric,180,5.2169768477216865,21.213215028754995,58.75442330297585,366.4,44.0,4.477777777777778,6864568,6864568,9417728,67.40544375
development,0004,reliable,marked_gaussian_evidence_no_curvature,180,5.19076158853357,21.057319318212215,59.7882008728571,362.0,41.2,4.455555555555556,10575040,10575040,13939712,71.14662116666666
development,0004,reliable,marked_gaussian_evidence,180,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222,10565536,10565536,14054400,78.215503625
development,0004,intermittent,marked_lineage,180,5.196199370650485,21.68809697083468,58.2769063489444,361.2,67.8,4.075,7174080,5353544,10269696,61.353967708333336
development,0004,intermittent,marked_er,180,5.179138928084923,21.653094617692346,57.736030624383964,358.6,69.4,4.016666666666667,7157664,5347928,10155008,64.696789875
development,0004,intermittent,marked_asymmetric,180,5.226589387384028,21.423333123777773,56.40607808441449,367.8,52.8,4.375,6806568,4985984,9696256,54.18768216666667
development,0004,intermittent,marked_gaussian_evidence_no_curvature,180,5.233483479484172,21.408302948529126,56.00109009570774,368.2,51.6,4.397222222222222,10560256,7735648,13530112,64.66695570833333
development,0004,intermittent,marked_gaussian_evidence,180,5.157977066480075,21.18528848483337,57.55235961007309,354.8,53.2,4.188888888888889,10893952,8055264,13792256,65.06964170833334
development,0005,reliable,marked_lineage,310,4.69068954888509,14.240416458362985,17.180222627856253,137.03225806451613,72.23225806451613,1.732258064516129,13149400,13149400,17921536,37.18373833333333
development,0005,reliable,marked_er,310,4.5987112713477485,14.142873237122231,18.57152141874515,128.20645161290324,77.10967741935484,1.5935483870967742,12662968,12662968,17495552,36.82771420833333
