rho,arm,samples,position_rmse,expected_rmse,reported_position_variance,mean_nees_per_dimension,expected_nees_per_dimension,coverage_95,expected_coverage_95,coverage_wilson_lower,coverage_wilson_upper,admitted_source_fraction
0,No-age spatial pool,10000,1.0046786379748003,0.999260081289737,0.9615384615384615,0.5248771661135078,0.5192307692307694,0.9969,0.9968788646613834,0.9956032190146442,0.9978151493849514,
0,Unit-admission GCE,10000,0.997068977738586,0.9901475429766744,0.49019607843137253,1.0140294772960423,1.0000000000000002,0.945,0.95,0.9403582923301534,0.9492999365646342,1.0
0,Known-correlation oracle,10000,0.997068977738586,0.9901475429766744,0.49019607843137253,1.0140294772960423,1.0000000000000002,0.945,0.95,0.9403582923301534,0.9492999365646342,
0.25,No-age spatial pool,10000,1.108525336844171,1.1089002494875766,0.9615384615384615,0.6389907796612512,0.639423076923077,0.9907,0.9907677730283824,0.988621165509827,0.9924019646444929,
0.25,Unit-admission GCE,10000,1.1063205534797107,1.1048458499592788,0.49019607843137253,1.2484240703926865,1.2450980392156863,0.9129,0.9098266361104558,0.9072133899104451,0.9182694925854153,1.0
0.25,Known-correlation oracle,10000,1.1053114749994433,1.1043152607484654,0.6097560975609756,1.0018050345476652,1.0,0.9507,0.95,0.9462809355358969,0.9547729156166443,
0.5,No-age spatial pool,10000,1.2096834983313045,1.208635104805436,0.9615384615384615,0.7609337663902329,0.7596153846153846,0.9806,0.9806245565413818,0.9777063152939052,0.9831245719124657,
0.5,Unit-admission GCE,10000,1.210664960966624,1.2087086280331327,0.49019607843137253,1.4950238406665637,1.4901960784313726,0.8659,0.8660507156504585,0.8590804035982427,0.8724385760705278,1.0
0.5,Known-correlation oracle,10000,1.2082495150291908,1.2067769800636945,0.7281553398058253,1.0024419315235487,1.0,0.949,0.95,0.9445130043605195,0.953142152434446,
0.75,No-age spatial pool,10000,1.30494701574769,1.300745121006604,0.9615384615384615,0.8855010912325768,0.8798076923076924,0.9667,0.9667926923184086,0.9630002832260631,0.9700412795271895,
0.75,Unit-admission GCE,10000,1.3073475902464873,1.3043269309460854,0.49019607843137253,1.7433408761577638,1.7352941176470589,0.8219,0.82206806537015,0.8142779080986787,0.829274864668135,1.0
0.75,Known-correlation oracle,10000,1.304227963915905,1.30031582934249,0.8454106280193237,1.0060262584144772,0.9999999999999999,0.9505,0.95,0.946072872708346,0.9545811320491863,
0.9,No-age spatial pool,10000,1.3411388404199205,1.3530045461029123,0.9615384615384615,0.9352997624271026,0.9519230769230769,0.9597,0.9570204940764008,0.9556655950415553,0.9633813438863861,
0.9,Unit-admission GCE,10000,1.3455843131340544,1.3584712216226489,0.49019607843137253,1.8468090866274935,1.8823529411764703,0.8055,0.7963765390460225,0.7976253069322747,0.8131400614438098,1.0
0.9,Known-correlation oracle,10000,1.3409740961332681,1.3529387125523937,0.9152215799614644,0.982391349740764,0.9999999999999999,0.9519,0.95,0.9475297208388072,0.9559232086837872,
