sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
0001,reliable,marked_gaussian_evidence_fixed_025,405,3.857002216238211,5.1107186550165595,0.601106871011501,1.7777777777777777,45.68888888888889,0.6493827160493827,4581504,4581504,13374720,30.125528375
0001,intermittent,marked_gaussian_evidence_fixed_025,405,4.343808190049482,6.070838195312178,3.6163333555355397,4.0,60.08888888888889,0.8185185185185185,4620576,3241440,13374720,20.598396166666667
0002,reliable,marked_gaussian_evidence_fixed_025,157,2.0643872375644805,2.7809420840284176,0.5935626076342271,5.961783439490445,15.59235668789809,0.28662420382165604,1313152,1313152,5184768,14.0889305
0002,intermittent,marked_gaussian_evidence_fixed_025,157,2.2480854664179932,3.0991247662313675,0.6941473633800299,5.732484076433121,20.866242038216562,0.34394904458598724,1058656,772512,5184768,5.809183166666666
0003,reliable,marked_gaussian_evidence_fixed_025,1244,1.6317369423302674,2.439448018498997,0.9770050422739129,6.077170418006431,11.864951768488746,0.24115755627009647,15312768,15312768,41081856,116.152768
0003,intermittent,marked_gaussian_evidence_fixed_025,1244,2.031355295156131,2.9996564389619307,1.6272865356745967,11.344051446945338,12.270096463022508,0.3102893890675241,15873856,10568128,41081856,113.49870804166666
0004,reliable,marked_gaussian_evidence_fixed_025,133,3.5133395731534645,4.017993402150835,1.2620082526511538,28.150375939849624,7.578947368421052,0.3007518796992481,550592,550592,4392192,7.279262166666666
0004,intermittent,marked_gaussian_evidence_fixed_025,133,2.9255668476377705,3.4636978879232996,1.2285128515751353,25.172932330827066,4.330827067669173,0.2894736842105263,488640,393728,4392192,4.637449375
0006,reliable,marked_gaussian_evidence_fixed_025,122,0.5957839217882528,0.9814946239361707,0.5604990436155114,2.9508196721311477,0.0,0.040983606557377046,597760,597760,4028928,8.420195958333334
0006,intermittent,marked_gaussian_evidence_fixed_025,122,0.6005129136750431,0.989891877503159,0.5813100162047088,2.9508196721311477,0.0,0.040983606557377046,596352,467104,4028928,4.658365291666667
0007,reliable,marked_gaussian_evidence_fixed_025,148,2.958950083448223,3.0463408990844996,2.2622253241123897,3.4054054054054053,19.45945945945946,0.30405405405405406,992256,992256,4887552,12.946964583333333
0007,intermittent,marked_gaussian_evidence_fixed_025,148,4.984322571230623,5.024947382301222,4.3663228871433315,9.972972972972974,33.32432432432432,0.5135135135135135,1141856,726080,4887552,7.442848583333333
0008,reliable,marked_gaussian_evidence_fixed_025,410,5.972900818837832,16.204445541267216,19.053594569016983,81.30731707317074,186.49756097560976,2.368292682926829,27850080,27850080,36379136,305.25067070833336
0008,intermittent,marked_gaussian_evidence_fixed_025,410,6.228400386225304,16.886225774900197,19.40945194724648,90.70243902439024,197.82439024390243,2.6390243902439026,31341216,20954624,38967808,255.49127808333333
0009,reliable,marked_gaussian_evidence_fixed_025,315,6.699842981399354,19.945386035031692,35.67402624557702,353.37142857142857,40.22857142857143,4.368253968253968,15068864,15068864,20658944,147.73073304166667
0009,intermittent,marked_gaussian_evidence_fixed_025,315,6.986074910523228,20.833921627199004,34.76276290830223,379.77142857142854,49.371428571428574,4.617460317460317,15054432,11297312,20593408,113.32587695833334
0011,reliable,marked_gaussian_evidence_fixed_025,107,3.0271017802195397,6.997398287569186,5.3728454180577305,56.52336448598131,14.80373831775701,0.7850467289719626,2190304,2190304,3746560,13.0280425
0011,intermittent,marked_gaussian_evidence_fixed_025,107,3.505429680855639,7.944006201792488,6.32664502432466,71.32710280373831,14.80373831775701,1.0,2309280,1708416,3746560,10.871402666666667
