sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
0001,reliable,marked_gaussian_evidence_guarded_scalar,405,3.7697330919637837,4.946065498873661,0.7758371522523457,1.6,43.2,0.6172839506172839,4730048,4730048,13374720,24.281421291666668
0001,intermittent,marked_gaussian_evidence_guarded_scalar,405,4.238564725828149,5.872947036154152,3.782856276310625,3.8222222222222224,57.06666666666667,0.7790123456790123,4585728,3177376,13374720,18.987301
0002,reliable,marked_gaussian_evidence_guarded_scalar,157,1.9294402660700851,2.609221910578403,0.5947115385185243,5.961783439490445,13.299363057324841,0.25477707006369427,1256480,1256480,5184768,12.27247275
0002,intermittent,marked_gaussian_evidence_guarded_scalar,157,2.0944081806971053,2.8519545684383227,0.699660340165271,5.732484076433121,16.96815286624204,0.2961783439490446,1071680,782720,5184768,3.871416583333333
0003,reliable,marked_gaussian_evidence_guarded_scalar,1244,1.5223304444493584,2.2656115650148028,0.9707263939034079,6.771704180064309,9.260450160771704,0.21141479099678456,14786528,14786528,41081856,101.72556741666666
0003,intermittent,marked_gaussian_evidence_guarded_scalar,1244,1.9115745636662773,2.7836868831471504,1.3710330828870196,12.241157556270096,9.0,0.2829581993569132,15501440,10428032,41081856,71.76202233333333
0004,reliable,marked_gaussian_evidence_guarded_scalar,133,3.733127725106177,4.182986278952472,1.2381699588836044,29.774436090225564,7.578947368421052,0.3233082706766917,562208,562208,4392192,5.955044333333333
0004,intermittent,marked_gaussian_evidence_guarded_scalar,133,3.0100967906856284,3.649070812378417,1.227568754348172,25.984962406015036,6.496240601503759,0.2706766917293233,487936,394080,4392192,3.165685916666667
0006,reliable,marked_gaussian_evidence_guarded_scalar,122,0.5953747016764852,0.9807233833014833,0.5584397834753181,2.9508196721311477,0.0,0.040983606557377046,597408,597408,4028928,8.608407791666666
0006,intermittent,marked_gaussian_evidence_guarded_scalar,122,0.600254129288863,0.9893963796904124,0.5798799035329667,2.9508196721311477,0.0,0.040983606557377046,596352,466752,4028928,4.748468458333333
0007,reliable,marked_gaussian_evidence_guarded_scalar,148,2.7740044314666785,2.478554247912452,2.983284468839419,9.243243243243244,5.837837837837838,0.18243243243243243,790912,790912,4887552,11.378586958333333
0007,intermittent,marked_gaussian_evidence_guarded_scalar,148,4.472384220118768,4.207857805516047,0.9237569079557304,15.08108108108108,22.135135135135137,0.40878378378378377,1020064,666240,4887552,8.167603541666667
