sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
0000,reliable,marked_gaussian_evidence_assoc_quality,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1182112,1182112,4854528,5.744257583333333
0000,reliable,marked_gaussian_evidence_assoc_nis,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1182112,1182112,4854528,3.7219698333333335
0000,reliable,marked_gaussian_evidence_assoc_quality_nis,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1182112,1182112,4854528,2.3520373333333335
0000,intermittent,marked_gaussian_evidence_assoc_quality,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,1199168,890336,4854528,2.4931257083333334
0000,intermittent,marked_gaussian_evidence_assoc_nis,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,1199168,890336,4854528,2.00383925
0000,intermittent,marked_gaussian_evidence_assoc_quality_nis,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,1199168,890336,4854528,2.49752525
0002,reliable,marked_gaussian_evidence_assoc_quality,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,564160,564160,4755456,8.863334291666666
0002,reliable,marked_gaussian_evidence_assoc_nis,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,564160,564160,4755456,4.198651625
0002,reliable,marked_gaussian_evidence_assoc_quality_nis,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,564160,564160,4755456,3.09389375
0002,intermittent,marked_gaussian_evidence_assoc_quality,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,598272,472992,4755456,2.588671541666667
0002,intermittent,marked_gaussian_evidence_assoc_nis,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,598272,472992,4755456,2.6175542916666665
0002,intermittent,marked_gaussian_evidence_assoc_quality_nis,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,598272,472992,4755456,2.4778062083333334
0003,reliable,marked_gaussian_evidence_assoc_quality,198,6.2346249471123185,15.420720168428323,12.473707315921503,244.0,56.72727272727273,3.176767676767677,8865152,8865152,11601408,37.11402808333333
0003,reliable,marked_gaussian_evidence_assoc_nis,198,6.145954214779965,15.25082477410149,8.332117271649988,244.1818181818182,56.0,3.128787878787879,9637248,9637248,12715520,31.25055654166667
0003,reliable,marked_gaussian_evidence_assoc_quality_nis,198,6.130451610319608,15.274075448751429,11.674418401760997,244.0,54.54545454545455,3.1262626262626263,9227488,9227488,11847168,28.437957791666665
