sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
0000,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,1183776,1183776,4854528,6.953809541666667
0000,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,147,2.4132518976183985,2.9868809486308465,1.2732659723583635,15.183673469387756,6.122448979591836,0.2687074829931973,1198752,890336,4854528,2.5377975416666665
0001,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,114,3.5561268066522946,3.4552381306067885,0.7489018687390199,14.526315789473685,16.42105263157895,0.39473684210526316,869664,869664,3764736,4.397571958333334
0001,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,114,3.9951031248378497,3.8491572083677186,0.7363929342879721,14.526315789473685,21.473684210526315,0.4649122807017544,865504,634752,3764736,2.6337932083333335
0002,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,144,3.9269747205540946,3.4676263209915614,0.08554200387392989,22.5,10.5,0.2916666666666667,541696,541696,4755456,4.740151458333333
0002,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,144,4.092658065279272,3.547163626694582,0.10234571010076057,22.5,10.25,0.2951388888888889,603680,477152,4755456,2.9492904583333335
0003,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,198,6.256155894914889,15.705444251412034,13.090752241786733,253.45454545454547,60.90909090909091,3.1893939393939394,10520000,10520000,14370304,34.40628654166667
0003,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,198,6.7417937658413445,16.47133752359287,11.29557409694467,271.09090909090907,62.36363636363637,3.4444444444444446,10293696,7145600,13649408,32.2952065
0004,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,180,5.004198076160943,20.65008873163957,59.200873973188216,333.6,51.2,3.922222222222222,12348000,12348000,15315968,128.43999541666668
0004,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,180,5.154998800864758,21.177913489040694,57.341295484783224,355.6,53.2,4.2,12939968,9573696,15938560,82.36833125
0005,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,310,4.6115587368259146,14.410717050644962,14.039881405171148,134.94193548387096,86.86451612903225,1.6290322580645162,17823808,17823808,23164416,65.57795245833333
0005,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,310,4.98315195874511,15.344195905808215,17.729593899730382,163.04516129032257,87.09677419354838,1.8,17538848,13461856,23426560,60.90457070833333
0006,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,304,5.529563380703039,10.900735448280079,4.340236685247061,67.73684210526316,82.1842105263158,1.1611842105263157,8760864,8760864,13496320,26.919944708333333
0006,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,304,5.519530165479254,10.83168338710257,2.700882878056794,65.36842105263158,85.73684210526316,1.2401315789473684,9146496,7224512,13922304,26.469393625
0007,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,221,3.0740347549852065,9.567328669290863,14.301448025734906,83.72850678733032,37.14027149321267,1.0452488687782806,12715872,12715872,17145088,45.65678929166667
0007,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,221,3.6238345230415376,11.885996660907402,33.46698824070732,139.92760180995475,61.90045248868778,1.4411764705882353,12658048,7687552,16211200,32.83903745833334
0008,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,375,0.8254245147932215,2.7079278802179965,2.8182424664455286,5.952,8.064,0.184,12742784,12742784,20100864,43.261016875
0008,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,375,0.9857109235185262,3.1270900835811903,2.8980294572939145,9.984,8.352,0.244,15240032,10713472,23394048,52.42869404166667
